* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 8:56:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (UniHP) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.087 -85.5787
20.600000 79.201 -86.3206
20.900000 79.330 -87.1252
21.200001 79.461 -87.9340
21.400000 79.547 -88.4720
21.799999 79.713 -89.5389
22.000000 79.792 -90.0646
22.400000 79.941 -91.0947
22.700001 80.046 -91.8483
23.000000 80.146 -92.5880
23.299999 80.242 -93.3177
23.600000 80.337 -94.0417
24.000000 80.464 -95.0046
24.299999 80.560 -95.7279
24.700001 80.689 -96.6922
25.000000 80.783 -97.4071
25.400000 80.902 -98.3268
25.799999 81.012 -99.1803
26.200001 81.117 -99.9557
26.500000 81.194 -100.5004
26.900000 81.297 -101.2241
27.200001 81.374 -101.8007
27.600000 81.470 -102.6445
28.000000 81.552 -103.5597
28.500000 81.633 -104.7094
29.000000 81.704 -105.7467
29.500000 81.787 -106.6382
30.000000 81.891 -107.4480
30.400000 81.980 -108.0797
30.700001 82.046 -108.5449
31.100000 82.127 -109.1389
31.500000 82.204 -109.6963
32.000000 82.304 -110.3893
32.500000 82.412 -111.1894
33.000000 82.522 -112.1770
33.500000 82.616 -113.2970
34.000000 82.687 -114.3780
34.500000 82.741 -115.2546
35.000000 82.792 -115.8869
35.500000 82.852 -116.3739
36.000000 82.918 -116.8537
36.500000 82.986 -117.4009
37.000000 83.056 -118.0173
37.500000 83.135 -118.6882
38.200001 83.253 -119.7003
38.700001 83.322 -120.4104
39.500000 83.400 -121.3462
40.000000 83.451 -121.8662
40.599998 83.525 -122.6512
41.200001 83.586 -123.6494
41.799999 83.615 -124.5715
42.500000 83.648 -125.2143
43.099998 83.712 -125.5796
43.700001 83.790 -126.1169
44.400002 83.855 -127.0382
45.000000 83.896 -127.9264
45.500000 83.935 -128.6942
46.200001 83.992 -129.7967
46.799999 84.027 -130.6371
47.500000 84.069 -131.3532
48.200001 84.134 -131.9658
48.700001 84.177 -132.4740
49.400002 84.197 -133.1960
50.000000 84.176 -133.6341
50.799999 84.152 -133.9666
51.500000 84.166 -134.3308
52.200001 84.208 -134.9372
53.000000 84.264 -135.8050
53.799999 84.300 -136.6256
54.500000 84.306 -137.1671
55.200001 84.303 -137.5639
56.000000 84.310 -138.0428
57.000000 84.325 -138.8337
58.000000 84.334 -139.5616
59.000000 84.351 -140.0856
60.000000 84.369 -140.4159
60.799999 84.393 -140.6021
61.500000 84.418 -140.8419
62.200001 84.438 -141.1290
63.000000 84.468 -141.4025
64.000000 84.535 -141.7892
65.000000 84.583 -142.3129
66.000000 84.610 -142.7746
67.000000 84.652 -143.2847
68.000000 84.693 -143.7986
69.000000 84.743 -144.3064
70.000000 84.787 -144.9840
71.000000 84.817 -145.7260
72.000000 84.833 -146.3971
73.000000 84.825 -146.9228
74.000000 84.811 -147.3627
75.000000 84.812 -147.8264
76.199997 84.833 -148.3344
77.500000 84.841 -148.7321
78.800003 84.832 -149.0977
80.000000 84.844 -149.4323
81.199997 84.873 -149.6853
82.500000 84.882 -150.1100
83.800003 84.861 -150.7184
85.000000 84.861 -151.0757
86.199997 84.892 -151.2300
87.500000 84.930 -151.3767
88.500000 84.963 -151.5170
90.000000 85.008 -151.8075
91.199997 85.021 -152.1234
92.500000 85.028 -152.5130
93.800003 85.046 -152.9415
95.000000 85.063 -153.2655
96.199997 85.084 -153.5001
97.500000 85.114 -153.7891
98.800003 85.142 -154.1458
100.000000 85.166 -154.4896
101.500000 85.190 -154.8807
103.000000 85.210 -155.2835
104.400002 85.220 -155.7094
106.000000 85.228 -156.1560
107.500000 85.231 -156.5332
109.000000 85.222 -156.9188
110.599998 85.208 -157.3650
112.000000 85.200 -157.6996
113.800003 85.193 -158.0030
115.000000 85.190 -158.1313
117.199997 85.186 -158.3380
118.000000 85.182 -158.4370
120.599998 85.185 -158.7263
122.000000 85.198 -158.8827
124.099998 85.217 -159.1378
125.000000 85.223 -159.2595
126.500000 85.232 -159.4695
128.000000 85.239 -159.6944
131.500000 85.238 -160.2014
132.000000 85.237 -160.2459
134.000000 85.240 -160.3810
136.000000 85.249 -160.5320
138.000000 85.257 -160.7259
140.000000 85.264 -160.9648
143.000000 85.263 -161.3997
145.000000 85.255 -161.6557
147.500000 85.233 -161.8699
150.000000 85.198 -161.9181
152.500000 85.175 -161.8590
155.000000 85.182 -161.6443
157.500000 85.215 -161.3849
160.000000 85.260 -161.2661
162.500000 85.311 -161.2936
165.000000 85.365 -161.3722
167.500000 85.418 -161.4831
170.000000 85.473 -161.6162
172.500000 85.530 -161.8159
175.000000 85.585 -162.1044
177.500000 85.637 -162.4604
180.000000 85.679 -162.8599
182.500000 85.703 -163.2679
185.000000 85.707 -163.6793
187.500000 85.698 -164.0542
190.000000 85.687 -164.3109
192.500000 85.686 -164.4388
195.000000 85.693 -164.5348
197.500000 85.705 -164.6988
200.000000 85.719 -164.8784
203.000000 85.736 -165.1130
206.000000 85.747 -165.4227
209.000000 85.752 -165.7414
212.000000 85.743 -165.9814
214.000000 85.727 -166.0941
218.000000 85.695 -166.1232
220.000000 85.688 -166.0606
224.000000 85.699 -165.8897
227.000000 85.733 -165.7699
230.000000 85.782 -165.7219
233.000000 85.835 -165.7736
236.000000 85.882 -165.8995
240.000000 85.939 -166.1502
243.000000 85.980 -166.4038
247.000000 86.021 -166.7885
250.000000 86.043 -167.0676
254.000000 86.068 -167.3812
258.000000 86.087 -167.6729
262.000000 86.106 -167.9567
265.000000 86.123 -168.1588
269.000000 86.147 -168.4372
272.000000 86.166 -168.6733
276.000000 86.183 -169.0055
280.000000 86.192 -169.3069
285.000000 86.204 -169.6503
290.000000 86.205 -169.9962
295.000000 86.206 -170.2601
300.000000 86.211 -170.5352
304.000000 86.217 -170.7284
307.000000 86.225 -170.8680
311.000000 86.239 -171.0747
315.000000 86.250 -171.3011
320.000000 86.260 -171.5786
325.000000 86.265 -171.8592
330.000000 86.274 -172.1256
335.000000 86.289 -172.3545
340.000000 86.304 -172.5779
345.000000 86.318 -172.8744
350.000000 86.328 -173.2271
355.000000 86.331 -173.5428
360.000000 86.330 -173.8257
365.000000 86.331 -174.1073
370.000000 86.336 -174.4221
375.000000 86.335 -174.7424
382.000000 86.324 -175.1058
387.000000 86.318 -175.3408
395.000000 86.313 -175.7799
400.000000 86.306 -176.0680
406.000000 86.297 -176.3850
412.000000 86.287 -176.7255
418.000000 86.278 -177.0541
425.000000 86.267 -177.4579
431.000000 86.254 -177.8464
437.000000 86.223 -178.2689
444.000000 86.176 -178.6354
450.000000 86.147 -178.8616
455.000000 86.129 -179.0841
462.000000 86.097 -179.4716
468.000000 86.057 -179.7541
475.000000 86.021 -179.9971
482.000000 85.990 179.6695
487.000000 85.962 179.3892
494.000000 85.906 178.9902
500.000000 85.847 178.7126
508.000000 85.768 178.4175
515.000000 85.696 178.1296
522.000000 85.610 177.8879
530.000000 85.503 177.7968
538.000000 85.409 177.8502
545.000000 85.336 177.8923
552.000000 85.262 177.9368
560.000000 85.172 178.0264
570.000000 85.050 178.2373
580.000000 84.938 178.6525
590.000000 84.858 179.1807
600.000000 84.786 179.6296
608.000000 84.729 -179.9226
615.000000 84.692 -179.5065
622.000000 84.661 -179.1138
630.000000 84.629 -178.6812
640.000000 84.594 -178.1220
650.000000 84.555 -177.6165
660.000000 84.503 -176.9082
670.000000 84.486 -175.9393
680.000000 84.511 -175.0188
690.000000 84.565 -174.1774
700.000000 84.632 -173.4584
710.000000 84.718 -172.7169
720.000000 84.846 -172.1149
730.000000 84.988 -171.8329
740.000000 85.129 -171.8337
750.000000 85.234 -172.1321
762.000000 85.318 -172.3927
775.000000 85.416 -172.6350
788.000000 85.502 -173.0246
800.000000 85.572 -173.3886
812.000000 85.648 -173.8882
825.000000 85.699 -174.7271
838.000000 85.688 -175.6252
850.000000 85.628 -176.3409
862.000000 85.518 -176.7431
875.000000 85.411 -176.4282
885.000000 85.403 -175.9915
900.000000 85.459 -175.7584
912.000000 85.517 -175.9330
925.000000 85.539 -176.3910
938.000000 85.543 -176.7124
950.000000 85.546 -177.1574
962.000000 85.519 -177.7172
975.000000 85.446 -178.2622
988.000000 85.345 -178.5120
1000.000000 85.261 -178.4559
1015.000000 85.212 -178.2895
1030.000000 85.157 -178.5745
1044.000000 85.053 -178.6601
1060.000000 84.936 -178.3490
1075.000000 84.869 -177.9229
1090.000000 84.801 -177.6287
1106.000000 84.725 -176.9985
1120.000000 84.710 -176.3065
1138.000000 84.754 -175.9041
1150.000000 84.748 -176.0575
1172.000000 84.547 -175.9388
1180.000000 84.460 -175.1511
1206.000000 84.725 -171.7035
1220.000000 84.964 -172.1512
1241.000000 85.084 -173.2685
1250.000000 85.108 -173.6542
1265.000000 85.118 -174.3903
1280.000000 85.079 -175.0914
1315.000000 84.847 -176.0212
1320.000000 84.805 -176.0280
1340.000000 84.657 -175.7277
1360.000000 84.547 -175.3157
1380.000000 84.438 -174.8264
1400.000000 84.349 -174.1196
1430.000000 84.250 -173.1358
1450.000000 84.170 -172.3472
1475.000000 84.117 -170.9502
1500.000000 84.152 -169.7318
1525.000000 84.192 -168.9096
1550.000000 84.221 -168.1469
1575.000000 84.238 -167.5084
1600.000000 84.242 -166.7254
1625.000000 84.264 -165.9911
1650.000000 84.258 -165.4631
1675.000000 84.163 -164.6230
1700.000000 84.104 -162.5635
1725.000000 84.239 -160.3006
1750.000000 84.462 -158.8660
1775.000000 84.690 -157.9200
1800.000000 84.905 -157.3842
1825.000000 85.090 -157.0309
1850.000000 85.259 -156.7290
1875.000000 85.419 -156.5267
1900.000000 85.557 -156.3990
1925.000000 85.681 -156.1804
1950.000000 85.816 -155.8769
1975.000000 85.968 -155.6440
2000.000000 86.117 -155.5628
2030.000000 86.287 -155.4675
2060.000000 86.465 -155.4384
2090.000000 86.639 -155.5661
2120.000000 86.799 -155.7694
2140.000000 86.901 -155.9100
2180.000000 87.100 -156.2582
2200.000000 87.195 -156.4801
2240.000000 87.365 -157.0266
2270.000000 87.466 -157.4456
2300.000000 87.547 -157.7178
2330.000000 87.637 -157.7684
2360.000000 87.756 -157.7607
2400.000000 87.955 -157.8431
2430.000000 88.127 -158.0818
2470.000000 88.357 -158.7539
2500.000000 88.507 -159.4752
2540.000000 88.667 -160.4945
2580.000000 88.807 -161.4575
2620.000000 88.928 -162.4298
2650.000000 89.008 -163.0963
2690.000000 89.118 -163.8606
2720.000000 89.217 -164.3876
2760.000000 89.380 -165.2144
2800.000000 89.550 -166.3940
2850.000000 89.722 -168.1824
2900.000000 89.853 -170.1428
2950.000000 89.940 -172.2476
3000.000000 89.967 -174.4471
3040.000000 89.933 -176.1171
3070.000000 89.880 -177.1545
3110.000000 89.813 -178.0995
3150.000000 89.817 -178.6805
3200.000000 89.960 -179.8197
3250.000000 90.116 177.7978
3300.000000 90.138 174.6667
3350.000000 90.023 171.5126
3400.000000 89.808 168.5932
3450.000000 89.517 166.0213
3500.000000 89.176 163.8428
3550.000000 88.804 162.0473
3600.000000 88.412 160.5609
3650.000000 87.995 159.3436
3700.000000 87.553 158.4529
3750.000000 87.099 157.9158
3820.000000 86.447 157.6366
3870.000000 85.961 157.8004
3950.000000 85.154 158.9200
4000.000000 84.647 160.1819
4060.000000 84.043 162.3183
4120.000000 83.451 165.2024
4180.000000 82.891 168.9666
4250.000000 82.338 174.6155
4310.000000 81.976 -179.8913
4370.000000 81.658 -173.4867
4440.000000 81.495 -163.4928
4500.000000 81.793 -152.9713
4550.000000 82.511 -143.5634
4620.000000 84.364 -131.9152
4680.000000 86.589 -126.1855
4750.000000 89.406 -127.0185
4820.000000 91.708 -136.1378
4870.000000 92.667 -145.8615
4940.000000 92.955 -159.4565
5000.000000 92.547 -167.8628
