* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:49:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Uni Hy Solid) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.617 -120.4197
20.600000 94.661 -121.1585
20.900000 94.709 -121.9398
21.200001 94.757 -122.7106
21.400000 94.789 -123.2216
21.799999 94.857 -124.2481
22.000000 94.891 -124.7653
22.400000 94.955 -125.7980
22.700001 94.997 -126.5535
23.000000 95.035 -127.2739
23.299999 95.070 -127.9487
23.600000 95.104 -128.5806
24.000000 95.153 -129.3879
24.299999 95.192 -130.0010
24.700001 95.246 -130.8685
25.000000 95.280 -131.5593
25.400000 95.315 -132.4963
25.799999 95.335 -133.3842
26.200001 95.351 -134.1676
26.500000 95.367 -134.6848
26.900000 95.399 -135.3201
27.200001 95.432 -135.7927
27.600000 95.480 -136.4538
28.000000 95.525 -137.1494
28.500000 95.570 -138.0128
29.000000 95.606 -138.8072
29.500000 95.643 -139.5302
30.000000 95.684 -140.2280
30.400000 95.716 -140.7912
30.700001 95.738 -141.2173
31.100000 95.765 -141.7854
31.500000 95.790 -142.3516
32.000000 95.821 -143.0643
32.500000 95.848 -143.7892
33.000000 95.869 -144.5098
33.500000 95.881 -145.1907
34.000000 95.889 -145.8087
34.500000 95.898 -146.3734
35.000000 95.908 -146.9151
35.500000 95.920 -147.4516
36.000000 95.930 -147.9690
36.500000 95.942 -148.4366
37.000000 95.962 -148.8442
37.500000 95.994 -149.2206
38.200001 96.054 -149.7838
38.700001 96.096 -150.2444
39.500000 96.153 -151.0591
40.000000 96.184 -151.5989
40.599998 96.218 -152.2670
41.200001 96.249 -152.9349
41.799999 96.278 -153.5843
42.500000 96.309 -154.3442
43.099998 96.325 -155.0254
43.700001 96.329 -155.7150
44.400002 96.324 -156.4797
45.000000 96.320 -157.0901
45.500000 96.318 -157.5743
46.200001 96.315 -158.2219
46.799999 96.309 -158.7563
47.500000 96.298 -159.3658
48.200001 96.290 -159.9545
48.700001 96.290 -160.3680
49.400002 96.296 -160.9659
50.000000 96.294 -161.4904
50.799999 96.269 -162.1187
51.500000 96.236 -162.5804
52.200001 96.203 -163.0271
53.000000 96.163 -163.5202
53.799999 96.126 -163.9019
54.500000 96.101 -164.1425
55.200001 96.078 -164.3434
56.000000 96.054 -164.5552
57.000000 96.040 -164.8241
58.000000 96.049 -165.0830
59.000000 96.073 -165.3545
60.000000 96.082 -165.7107
60.799999 96.072 -166.0252
61.500000 96.062 -166.3002
62.200001 96.055 -166.5721
63.000000 96.052 -166.8671
64.000000 96.044 -167.1964
65.000000 96.029 -167.4837
66.000000 96.015 -167.7292
67.000000 96.009 -167.9239
68.000000 96.010 -168.0871
69.000000 96.012 -168.2435
70.000000 96.019 -168.3912
71.000000 96.035 -168.5400
72.000000 96.055 -168.6949
73.000000 96.075 -168.8719
74.000000 96.095 -169.0873
75.000000 96.114 -169.3282
76.199997 96.137 -169.6143
77.500000 96.158 -169.8691
78.800003 96.182 -170.0787
80.000000 96.207 -170.2523
81.199997 96.238 -170.4141
82.500000 96.281 -170.5809
83.800003 96.334 -170.7581
85.000000 96.393 -170.9671
86.199997 96.457 -171.2329
87.500000 96.525 -171.6028
88.500000 96.571 -171.9428
90.000000 96.640 -172.4714
91.199997 96.694 -172.9217
92.500000 96.751 -173.4687
93.800003 96.808 -174.1166
95.000000 96.855 -174.7597
96.199997 96.897 -175.3978
97.500000 96.933 -176.1000
98.800003 96.952 -176.8792
100.000000 96.957 -177.6440
101.500000 96.962 -178.4987
103.000000 96.958 -179.2694
104.400002 96.945 -179.9964
106.000000 96.923 179.1705
107.500000 96.885 178.4137
109.000000 96.835 177.7089
110.599998 96.773 177.0610
112.000000 96.715 176.5815
113.800003 96.640 176.1129
115.000000 96.594 175.8796
117.199997 96.523 175.5362
118.000000 96.502 175.4335
120.599998 96.440 175.0977
122.000000 96.409 174.8931
124.099998 96.363 174.6053
125.000000 96.343 174.4922
126.500000 96.309 174.3230
128.000000 96.274 174.1965
131.500000 96.198 174.1267
132.000000 96.190 174.1465
134.000000 96.167 174.2865
136.000000 96.163 174.4746
138.000000 96.183 174.6537
140.000000 96.221 174.7857
143.000000 96.295 174.9003
145.000000 96.358 174.9530
147.500000 96.466 174.9293
150.000000 96.597 174.6856
152.500000 96.734 174.1328
155.000000 96.842 173.3527
157.500000 96.915 172.4952
160.000000 96.959 171.6292
162.500000 97.019 170.9128
165.000000 97.096 170.1966
167.500000 97.159 169.3456
170.000000 97.212 168.4358
172.500000 97.258 167.5264
175.000000 97.287 166.6092
177.500000 97.306 165.6743
180.000000 97.327 164.7243
182.500000 97.355 163.7064
185.000000 97.366 162.7050
187.500000 97.366 161.7082
190.000000 97.371 160.7174
192.500000 97.384 159.6686
195.000000 97.387 158.5733
197.500000 97.368 157.4938
200.000000 97.325 156.4177
203.000000 97.256 155.1118
206.000000 97.188 153.9846
209.000000 97.104 153.0128
212.000000 97.013 152.0291
214.000000 96.957 151.4471
218.000000 96.867 150.3585
220.000000 96.830 149.8237
224.000000 96.747 148.6818
227.000000 96.684 147.7958
230.000000 96.625 146.9143
233.000000 96.573 145.9770
236.000000 96.531 144.9965
240.000000 96.478 143.5796
243.000000 96.405 142.5172
247.000000 96.253 141.0942
250.000000 96.123 140.0020
254.000000 95.938 138.6492
258.000000 95.741 137.4674
262.000000 95.543 136.4378
265.000000 95.395 135.7461
269.000000 95.195 134.8727
272.000000 95.045 134.2701
276.000000 94.844 133.5572
280.000000 94.642 132.8862
285.000000 94.395 132.1325
290.000000 94.154 131.4610
295.000000 93.907 130.8727
300.000000 93.658 130.3290
304.000000 93.454 129.9531
307.000000 93.296 129.7767
311.000000 93.091 129.6219
315.000000 92.897 129.5001
320.000000 92.665 129.4765
325.000000 92.440 129.4752
330.000000 92.223 129.4804
335.000000 92.024 129.5483
340.000000 91.833 129.5947
345.000000 91.640 129.5873
350.000000 91.450 129.6332
355.000000 91.256 129.7244
360.000000 91.067 129.7244
365.000000 90.882 129.7277
370.000000 90.687 129.8260
375.000000 90.483 129.9728
382.000000 90.191 130.2590
387.000000 89.978 130.5597
395.000000 89.638 131.2704
400.000000 89.432 131.8240
406.000000 89.203 132.5570
412.000000 88.987 133.3672
418.000000 88.771 134.3688
425.000000 88.534 135.7262
431.000000 88.352 136.9438
437.000000 88.190 138.3087
444.000000 88.038 139.9998
450.000000 87.937 141.4671
455.000000 87.879 142.6919
462.000000 87.833 144.4052
468.000000 87.827 145.7540
475.000000 87.853 147.1146
482.000000 87.897 148.2756
487.000000 87.935 148.9517
494.000000 87.990 149.7392
500.000000 88.032 150.2875
508.000000 88.080 150.8440
515.000000 88.111 151.2400
522.000000 88.129 151.5909
530.000000 88.139 151.9727
538.000000 88.145 152.2941
545.000000 88.147 152.5253
552.000000 88.140 152.7450
560.000000 88.126 153.0287
570.000000 88.110 153.5051
580.000000 88.112 153.9090
590.000000 88.118 154.2675
600.000000 88.130 154.5587
608.000000 88.144 154.6237
615.000000 88.149 154.6035
622.000000 88.140 154.5673
630.000000 88.109 154.5714
640.000000 88.070 154.7142
650.000000 88.040 154.7929
660.000000 88.009 154.8881
670.000000 87.983 154.9272
680.000000 87.941 154.8073
690.000000 87.858 154.6413
700.000000 87.735 154.8045
710.000000 87.632 155.4535
720.000000 87.601 156.2377
730.000000 87.618 156.6898
740.000000 87.630 156.7935
750.000000 87.609 156.7713
762.000000 87.551 156.7990
775.000000 87.470 156.9488
788.000000 87.399 157.2416
800.000000 87.334 157.4679
812.000000 87.262 157.8106
825.000000 87.203 158.3477
838.000000 87.172 158.7898
850.000000 87.128 159.0579
862.000000 87.083 159.4647
875.000000 87.040 159.8859
885.000000 87.019 160.3737
900.000000 87.046 160.8967
912.000000 87.063 160.9886
925.000000 87.064 160.9658
938.000000 87.031 160.7651
950.000000 86.966 160.6733
962.000000 86.891 160.6919
975.000000 86.799 160.7974
988.000000 86.700 161.0739
1000.000000 86.611 161.4206
1015.000000 86.510 162.0617
1030.000000 86.439 162.7601
1044.000000 86.380 163.3920
1060.000000 86.326 164.1172
1075.000000 86.273 164.8018
1090.000000 86.212 165.5739
1106.000000 86.150 166.8280
1120.000000 86.183 168.1731
1138.000000 86.335 169.3860
1150.000000 86.445 169.6844
1172.000000 86.580 169.6936
1180.000000 86.609 169.6254
1206.000000 86.629 169.6067
1220.000000 86.644 169.8407
1241.000000 86.707 170.1006
1250.000000 86.744 170.1027
1265.000000 86.792 169.8865
1280.000000 86.807 169.5578
1315.000000 86.758 168.9983
1320.000000 86.745 168.9484
1340.000000 86.693 168.9171
1360.000000 86.664 168.9285
1380.000000 86.642 168.7819
1400.000000 86.586 168.4380
1430.000000 86.430 168.2635
1450.000000 86.340 168.4163
1475.000000 86.230 168.4737
1500.000000 86.086 168.6611
1525.000000 85.942 169.1488
1550.000000 85.819 169.7158
1575.000000 85.700 170.2606
1600.000000 85.545 170.8483
1625.000000 85.374 172.0625
1650.000000 85.312 173.7631
1675.000000 85.342 174.9302
1700.000000 85.347 175.5801
1725.000000 85.316 176.2896
1750.000000 85.284 177.0865
1775.000000 85.254 177.8997
1800.000000 85.227 178.7172
1825.000000 85.200 179.5623
1850.000000 85.176 -179.5338
1875.000000 85.163 -178.5864
1900.000000 85.156 -177.6603
1925.000000 85.148 -176.7084
1950.000000 85.144 -175.6844
1975.000000 85.154 -174.6037
2000.000000 85.178 -173.4990
2030.000000 85.229 -172.1536
2060.000000 85.317 -170.8346
2090.000000 85.430 -169.8198
2120.000000 85.514 -169.1009
2140.000000 85.546 -168.6053
2180.000000 85.578 -167.3240
2200.000000 85.594 -166.4910
2240.000000 85.663 -164.5005
2270.000000 85.763 -162.7837
2300.000000 85.924 -160.9721
2330.000000 86.153 -159.2374
2360.000000 86.448 -157.7687
2400.000000 86.901 -156.5936
2430.000000 87.223 -156.3682
2470.000000 87.567 -156.3667
2500.000000 87.798 -156.1904
2540.000000 88.148 -155.8372
2580.000000 88.552 -155.8148
2620.000000 88.965 -156.3370
2650.000000 89.259 -157.0405
2690.000000 89.621 -158.2813
2720.000000 89.867 -159.4052
2760.000000 90.160 -161.1026
2800.000000 90.409 -163.0403
2850.000000 90.634 -165.7013
2900.000000 90.765 -168.3022
2950.000000 90.816 -170.7497
3000.000000 90.789 -172.7901
3040.000000 90.733 -173.8683
3070.000000 90.708 -174.2034
3110.000000 90.779 -174.1250
3150.000000 91.030 -174.2338
3200.000000 91.466 -175.9908
3250.000000 91.804 -179.3487
3300.000000 91.989 176.6508
3350.000000 92.044 172.2827
3400.000000 91.939 167.7352
3450.000000 91.676 163.5392
3500.000000 91.317 159.9891
3550.000000 90.920 157.0059
3600.000000 90.504 154.3923
3650.000000 90.066 152.0320
3700.000000 89.600 149.8979
3750.000000 89.102 147.9962
3820.000000 88.347 145.7346
3870.000000 87.759 144.4449
3950.000000 86.724 143.1274
4000.000000 86.020 142.9263
4060.000000 85.133 143.5231
4120.000000 84.227 145.1060
4180.000000 83.318 147.7585
4250.000000 82.300 152.8740
4310.000000 81.689 159.2868
4370.000000 81.483 164.8212
4440.000000 81.109 167.9067
4500.000000 80.325 172.0322
4550.000000 79.585 179.2250
4620.000000 79.276 -162.9170
4680.000000 80.695 -144.1487
4750.000000 83.948 -132.6496
4820.000000 87.017 -137.0794
4870.000000 88.421 -146.3841
4940.000000 89.087 -161.9948
5000.000000 88.655 -174.0258
5080.000000 87.091 174.5776
5150.000000 85.016 170.4271
5220.000000 82.498 175.5762
5300.000000 80.719 -157.0200
5380.000000 82.969 -124.1196
5450.000000 86.399 -114.8675
5520.000000 89.473 -117.8657
5600.000000 92.080 -129.0846
5700.000000 93.935 -148.2440
5800.000000 94.406 -168.5159
5900.000000 93.713 173.1607
6000.000000 92.145 159.0372
