* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 2:46:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aeolus (Uni Hy Solid) R6
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.369 -91.3156
20.600000 87.466 -91.9959
20.900000 87.572 -92.7332
21.200001 87.677 -93.4769
21.400000 87.745 -93.9726
21.799999 87.878 -94.9540
22.000000 87.944 -95.4345
22.400000 88.074 -96.3676
22.700001 88.172 -97.0438
23.000000 88.270 -97.7060
23.299999 88.366 -98.3605
23.600000 88.459 -99.0106
24.000000 88.574 -99.8673
24.299999 88.656 -100.4954
24.700001 88.760 -101.3069
25.000000 88.838 -101.8993
25.400000 88.945 -102.6846
25.799999 89.056 -103.4840
26.200001 89.167 -104.2984
26.500000 89.246 -104.9019
26.900000 89.346 -105.6636
27.200001 89.416 -106.1879
27.600000 89.509 -106.8326
28.000000 89.601 -107.4584
28.500000 89.711 -108.2918
29.000000 89.805 -109.2014
29.500000 89.884 -110.1145
30.000000 89.968 -110.9578
30.400000 90.049 -111.5897
30.700001 90.121 -112.0625
31.100000 90.222 -112.7119
31.500000 90.321 -113.3772
32.000000 90.429 -114.1827
32.500000 90.517 -114.9178
33.000000 90.592 -115.6008
33.500000 90.658 -116.2824
34.000000 90.720 -116.9836
34.500000 90.783 -117.6902
35.000000 90.855 -118.3876
35.500000 90.937 -119.0706
36.000000 91.021 -119.7240
36.500000 91.102 -120.3252
37.000000 91.178 -120.8771
37.500000 91.249 -121.4214
38.200001 91.337 -122.2551
38.700001 91.393 -122.9115
39.500000 91.483 -124.0003
40.000000 91.544 -124.6644
40.599998 91.619 -125.4135
41.200001 91.689 -126.1118
41.799999 91.751 -126.8079
42.500000 91.809 -127.6868
43.099998 91.848 -128.4873
43.700001 91.889 -129.2819
44.400002 91.948 -130.1780
45.000000 92.000 -130.9408
45.500000 92.035 -131.5791
46.200001 92.059 -132.4456
46.799999 92.059 -133.1230
47.500000 92.050 -133.8256
48.200001 92.042 -134.4675
48.700001 92.033 -134.8916
49.400002 92.017 -135.3986
50.000000 92.004 -135.7346
50.799999 92.001 -136.1039
51.500000 92.006 -136.4240
52.200001 92.009 -136.7420
53.000000 92.008 -137.0479
53.799999 92.006 -137.2344
54.500000 92.009 -137.2598
55.200001 92.027 -137.1761
56.000000 92.074 -137.0814
57.000000 92.161 -137.0822
58.000000 92.286 -137.0330
59.000000 92.445 -137.0535
60.000000 92.563 -137.3159
60.799999 92.636 -137.5865
61.500000 92.717 -137.9290
62.200001 92.808 -138.3986
63.000000 92.902 -138.9348
64.000000 93.008 -139.4774
65.000000 93.097 -140.0847
66.000000 93.166 -140.7872
67.000000 93.234 -141.5065
68.000000 93.311 -142.2476
69.000000 93.392 -142.9579
70.000000 93.469 -143.5694
71.000000 93.528 -144.1749
72.000000 93.560 -144.8955
73.000000 93.580 -145.6714
74.000000 93.605 -146.3890
75.000000 93.632 -147.0061
76.199997 93.654 -147.6618
77.500000 93.661 -148.2766
78.800003 93.670 -148.7056
80.000000 93.686 -149.0567
81.199997 93.696 -149.3782
82.500000 93.726 -149.6187
83.800003 93.788 -149.8111
85.000000 93.844 -150.0153
86.199997 93.893 -150.2119
87.500000 93.973 -150.4911
88.500000 94.046 -150.8163
90.000000 94.139 -151.3153
91.199997 94.212 -151.7069
92.500000 94.296 -152.1578
93.800003 94.380 -152.6378
95.000000 94.458 -153.1431
96.199997 94.536 -153.7231
97.500000 94.617 -154.4089
98.800003 94.703 -155.1455
100.000000 94.776 -155.8432
101.500000 94.832 -156.6261
103.000000 94.868 -157.3640
104.400002 94.904 -158.1558
106.000000 94.938 -159.1245
107.500000 94.959 -159.9188
109.000000 94.969 -160.5789
110.599998 94.988 -161.2338
112.000000 95.011 -161.8097
113.800003 95.033 -162.6091
115.000000 95.045 -163.1563
117.199997 95.056 -164.1417
118.000000 95.059 -164.4833
120.599998 95.051 -165.3752
122.000000 95.024 -165.7564
124.099998 94.996 -166.2463
125.000000 94.991 -166.4384
126.500000 94.988 -166.7137
128.000000 94.997 -166.9303
131.500000 95.071 -167.3393
132.000000 95.085 -167.4203
134.000000 95.144 -167.8433
136.000000 95.205 -168.3778
138.000000 95.256 -169.0396
140.000000 95.286 -169.7189
143.000000 95.303 -170.5362
145.000000 95.311 -170.9094
147.500000 95.359 -171.1946
150.000000 95.435 -171.4727
152.500000 95.513 -171.8724
155.000000 95.636 -172.4291
157.500000 95.776 -173.0079
160.000000 95.916 -173.7581
162.500000 96.013 -174.9585
165.000000 96.094 -176.1778
167.500000 96.170 -177.4417
170.000000 96.240 -178.6521
172.500000 96.289 -179.9189
175.000000 96.314 178.7693
177.500000 96.327 177.4901
180.000000 96.316 176.2123
182.500000 96.281 174.9979
185.000000 96.259 173.9648
187.500000 96.250 173.0195
190.000000 96.262 172.1323
192.500000 96.283 171.2347
195.000000 96.280 170.1928
197.500000 96.274 168.9772
200.000000 96.268 167.6966
203.000000 96.235 166.1893
206.000000 96.200 164.6808
209.000000 96.144 163.2247
212.000000 96.056 161.8405
214.000000 95.991 160.9554
218.000000 95.835 159.3109
220.000000 95.741 158.6303
224.000000 95.557 157.2126
227.000000 95.449 156.1481
230.000000 95.348 155.2598
233.000000 95.231 154.2485
236.000000 95.089 153.1617
240.000000 94.892 151.7163
243.000000 94.770 151.1032
247.000000 94.594 150.4404
250.000000 94.458 149.9431
254.000000 94.295 149.3427
258.000000 94.141 148.7635
262.000000 94.004 148.1403
265.000000 93.892 147.6784
269.000000 93.736 147.1118
272.000000 93.628 146.6938
276.000000 93.501 146.1741
280.000000 93.391 145.6296
285.000000 93.245 144.7751
290.000000 93.061 143.8319
295.000000 92.851 142.8972
300.000000 92.606 141.9793
304.000000 92.385 141.3627
307.000000 92.229 141.0384
311.000000 92.025 140.7104
315.000000 91.811 140.4581
320.000000 91.539 140.3722
325.000000 91.270 140.4841
330.000000 91.018 140.7289
335.000000 90.773 141.0724
340.000000 90.562 141.6313
345.000000 90.399 142.3812
350.000000 90.255 143.1504
355.000000 90.126 143.8682
360.000000 90.030 144.4860
365.000000 89.942 144.9856
370.000000 89.859 145.3497
375.000000 89.788 145.6850
382.000000 89.705 145.9764
387.000000 89.647 146.0516
395.000000 89.556 146.3351
400.000000 89.521 146.1956
406.000000 89.453 145.7707
412.000000 89.339 145.4024
418.000000 89.190 144.8622
425.000000 88.970 144.4543
431.000000 88.765 144.3295
437.000000 88.557 144.2919
444.000000 88.292 144.5364
450.000000 88.060 144.9806
455.000000 87.867 145.5018
462.000000 87.616 146.4059
468.000000 87.411 147.3478
475.000000 87.194 148.7089
482.000000 87.021 150.1856
487.000000 86.915 151.3572
494.000000 86.797 152.9848
500.000000 86.737 154.3442
508.000000 86.721 156.2162
515.000000 86.748 157.6878
522.000000 86.799 158.8299
530.000000 86.857 159.8090
538.000000 86.892 160.5782
545.000000 86.909 161.1143
552.000000 86.912 161.7177
560.000000 86.926 162.5736
570.000000 86.979 163.5425
580.000000 87.057 164.3295
590.000000 87.144 164.8067
600.000000 87.210 164.8807
608.000000 87.239 164.7834
615.000000 87.248 164.7502
622.000000 87.232 164.8242
630.000000 87.191 165.0465
640.000000 87.151 165.4048
650.000000 87.133 165.9077
660.000000 87.145 166.4689
670.000000 87.177 166.8760
680.000000 87.203 167.1601
690.000000 87.228 167.3987
700.000000 87.262 167.5525
710.000000 87.289 167.5482
720.000000 87.301 167.4339
730.000000 87.303 167.3090
740.000000 87.300 167.1723
750.000000 87.274 166.9657
762.000000 87.224 166.8291
775.000000 87.187 166.9294
788.000000 87.170 166.7573
800.000000 87.124 166.2889
812.000000 87.051 165.8157
825.000000 86.930 165.2744
838.000000 86.728 164.8103
850.000000 86.479 164.8290
862.000000 86.226 165.3321
875.000000 85.986 166.5066
885.000000 85.850 167.8098
900.000000 85.755 169.7019
912.000000 85.718 170.9620
925.000000 85.707 172.2155
938.000000 85.714 173.3147
950.000000 85.729 174.1220
962.000000 85.714 174.7893
975.000000 85.685 175.6980
988.000000 85.675 176.7468
1000.000000 85.688 177.8225
1015.000000 85.751 179.2011
1030.000000 85.880 -179.8188
1044.000000 86.001 -179.2864
1060.000000 86.095 -178.8100
1075.000000 86.134 -178.4503
1090.000000 86.176 -177.8165
1106.000000 86.273 -177.2366
1120.000000 86.362 -176.7842
1138.000000 86.503 -176.3315
1150.000000 86.587 -176.4318
1172.000000 86.610 -177.0061
1180.000000 86.582 -177.0019
1206.000000 86.522 -175.4926
1220.000000 86.653 -174.2137
1241.000000 86.941 -173.8914
1250.000000 87.043 -174.0959
1265.000000 87.174 -174.6493
1280.000000 87.250 -175.3503
1315.000000 87.301 -176.5743
1320.000000 87.307 -176.7257
1340.000000 87.314 -177.3122
1360.000000 87.319 -177.8120
1380.000000 87.322 -178.5336
1400.000000 87.272 -179.4347
1430.000000 87.113 179.8062
1450.000000 87.017 179.3425
1475.000000 86.838 178.8144
1500.000000 86.633 178.8046
1525.000000 86.452 179.0735
1550.000000 86.289 179.4504
1575.000000 86.146 179.9362
1600.000000 86.019 -179.7068
1625.000000 85.861 -179.5310
1650.000000 85.652 -179.2850
1675.000000 85.372 -178.7793
1700.000000 85.036 -177.2001
1725.000000 84.843 -174.4323
1750.000000 84.854 -172.0002
1775.000000 84.918 -170.5019
1800.000000 84.944 -169.4515
1825.000000 84.939 -168.4704
1850.000000 84.918 -167.5218
1875.000000 84.882 -166.6125
1900.000000 84.822 -165.6618
1925.000000 84.741 -164.5184
1950.000000 84.662 -163.1374
1975.000000 84.600 -161.6194
2000.000000 84.553 -160.0341
2030.000000 84.506 -158.0327
2060.000000 84.471 -155.8333
2090.000000 84.460 -153.4287
2120.000000 84.484 -150.8297
2140.000000 84.522 -149.0177
2180.000000 84.662 -145.2235
2200.000000 84.775 -143.2454
2240.000000 85.095 -139.4048
2270.000000 85.402 -136.7897
2300.000000 85.746 -134.4289
2330.000000 86.126 -132.2418
2360.000000 86.554 -130.2698
2400.000000 87.182 -128.3350
2430.000000 87.647 -127.4318
2470.000000 88.248 -126.6274
2500.000000 88.688 -126.2335
2540.000000 89.277 -125.9330
2580.000000 89.888 -125.9614
2620.000000 90.511 -126.5817
2650.000000 90.956 -127.4843
2690.000000 91.501 -129.1027
2720.000000 91.871 -130.5661
2760.000000 92.311 -132.7681
2800.000000 92.682 -135.2340
2850.000000 93.038 -138.4609
2900.000000 93.288 -141.6631
2950.000000 93.433 -144.7253
3000.000000 93.468 -147.4143
3040.000000 93.424 -149.0166
3070.000000 93.370 -149.6626
3110.000000 93.345 -149.5326
3150.000000 93.524 -148.5213
3200.000000 94.134 -148.1925
3250.000000 94.836 -150.9271
3300.000000 95.280 -155.6707
3350.000000 95.432 -160.7585
3400.000000 95.372 -165.3123
3450.000000 95.207 -169.0206
3500.000000 95.015 -172.0751
3550.000000 94.818 -174.7485
3600.000000 94.613 -177.1729
3650.000000 94.397 -179.4063
3700.000000 94.166 178.5156
3750.000000 93.918 176.5856
3820.000000 93.535 174.1737
3870.000000 93.238 172.6723
3950.000000 92.723 170.7408
4000.000000 92.385 169.8541
4060.000000 91.963 169.1037
4120.000000 91.524 168.7856
4180.000000 91.084 169.0004
4250.000000 90.612 169.8372
4310.000000 90.235 170.7474
4370.000000 89.832 171.9528
4440.000000 89.336 174.2482
4500.000000 88.924 177.2843
4550.000000 88.621 -179.1632
4620.000000 88.412 -171.8283
4680.000000 88.780 -163.2420
4750.000000 90.248 -154.4347
4820.000000 92.234 -153.6116
4870.000000 93.324 -157.7954
4940.000000 94.118 -165.6652
5000.000000 94.373 -171.5343
5080.000000 94.537 -177.9049
5150.000000 94.613 176.8116
5220.000000 94.554 171.3880
5300.000000 94.255 165.5983
5380.000000 93.788 161.1437
5450.000000 93.385 158.3411
5520.000000 93.046 155.8444
