* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 8:04:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (UniLP) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 79.095 -96.9675
20.600000 79.160 -97.7579
20.900000 79.235 -98.5388
21.200001 79.321 -99.2437
21.400000 79.386 -99.6822
21.799999 79.531 -100.5329
22.000000 79.607 -100.9642
22.400000 79.754 -101.8583
22.700001 79.848 -102.5453
23.000000 79.926 -103.2225
23.299999 79.989 -103.8697
23.600000 80.044 -104.4808
24.000000 80.115 -105.2666
24.299999 80.176 -105.8732
24.700001 80.269 -106.7554
25.000000 80.345 -107.4763
25.400000 80.445 -108.4665
25.799999 80.542 -109.3971
26.200001 80.637 -110.1936
26.500000 80.711 -110.7034
26.900000 80.814 -111.3247
27.200001 80.889 -111.7976
27.600000 80.978 -112.4839
28.000000 81.045 -113.2299
28.500000 81.103 -114.1807
29.000000 81.150 -115.0892
29.500000 81.206 -115.9446
30.000000 81.273 -116.7334
30.400000 81.334 -117.2862
30.700001 81.386 -117.6499
31.100000 81.465 -118.0995
31.500000 81.552 -118.5782
32.000000 81.654 -119.3122
32.500000 81.728 -120.1886
33.000000 81.772 -121.0916
33.500000 81.804 -121.9320
34.000000 81.844 -122.7226
34.500000 81.890 -123.4960
35.000000 81.934 -124.2069
35.500000 81.975 -124.7762
36.000000 82.027 -125.2124
36.500000 82.096 -125.6338
37.000000 82.174 -126.1542
37.500000 82.244 -126.7840
38.200001 82.320 -127.7099
38.700001 82.364 -128.3124
39.500000 82.426 -129.1236
40.000000 82.466 -129.5704
40.599998 82.521 -130.1449
41.200001 82.577 -130.8238
41.799999 82.620 -131.5191
42.500000 82.666 -132.1665
43.099998 82.716 -132.6454
43.700001 82.763 -133.2399
44.400002 82.779 -134.0583
45.000000 82.779 -134.6436
45.500000 82.804 -135.0147
46.200001 82.889 -135.5620
46.799999 82.961 -136.1391
47.500000 83.002 -136.7449
48.200001 83.025 -137.2254
48.700001 83.046 -137.6591
49.400002 83.069 -138.4999
50.000000 83.067 -139.2213
50.799999 83.069 -139.7939
51.500000 83.110 -140.1094
52.200001 83.162 -140.6531
53.000000 83.184 -141.5458
53.799999 83.181 -142.3219
54.500000 83.190 -142.7695
55.200001 83.202 -143.1015
56.000000 83.193 -143.4550
57.000000 83.165 -143.9745
58.000000 83.175 -144.5609
59.000000 83.235 -145.0921
60.000000 83.265 -145.5375
60.799999 83.242 -145.7407
61.500000 83.223 -145.8585
62.200001 83.223 -146.0423
63.000000 83.236 -146.3417
64.000000 83.257 -146.6607
65.000000 83.292 -146.9035
66.000000 83.329 -147.1918
67.000000 83.355 -147.3770
68.000000 83.400 -147.6093
69.000000 83.440 -148.1599
70.000000 83.451 -148.8083
71.000000 83.449 -149.2959
72.000000 83.465 -149.7016
73.000000 83.489 -150.1985
74.000000 83.498 -150.6192
75.000000 83.496 -150.8831
76.199997 83.476 -151.1227
77.500000 83.463 -151.4608
78.800003 83.460 -151.7484
80.000000 83.487 -151.8195
81.199997 83.523 -151.9416
82.500000 83.558 -152.1120
83.800003 83.590 -152.3495
85.000000 83.614 -152.6991
86.199997 83.640 -153.1021
87.500000 83.675 -153.3978
88.500000 83.699 -153.5552
90.000000 83.717 -153.7768
91.199997 83.727 -153.9165
92.500000 83.751 -154.1519
93.800003 83.782 -154.5787
95.000000 83.806 -154.9836
96.199997 83.819 -155.3185
97.500000 83.828 -155.6339
98.800003 83.852 -155.9942
100.000000 83.880 -156.3233
101.500000 83.913 -156.6757
103.000000 83.927 -157.0459
104.400002 83.931 -157.4244
106.000000 83.928 -157.8118
107.500000 83.917 -158.1483
109.000000 83.909 -158.5440
110.599998 83.895 -158.9011
112.000000 83.887 -159.1120
113.800003 83.873 -159.2473
115.000000 83.855 -159.2555
117.199997 83.824 -159.3738
118.000000 83.820 -159.4517
120.599998 83.839 -159.6112
122.000000 83.853 -159.6800
124.099998 83.877 -159.8023
125.000000 83.890 -159.8651
126.500000 83.906 -160.0121
128.000000 83.917 -160.1844
131.500000 83.934 -160.5191
132.000000 83.936 -160.5748
134.000000 83.940 -160.8212
136.000000 83.940 -161.0340
138.000000 83.947 -161.1709
140.000000 83.954 -161.3331
143.000000 83.954 -161.6021
145.000000 83.956 -161.7812
147.500000 83.968 -161.9249
150.000000 83.979 -162.0568
152.500000 83.981 -162.1992
155.000000 83.974 -162.3340
157.500000 83.962 -162.4399
160.000000 83.955 -162.5024
162.500000 83.950 -162.5400
165.000000 83.954 -162.5625
167.500000 83.966 -162.5762
170.000000 83.975 -162.5408
172.500000 83.983 -162.5021
175.000000 83.994 -162.4867
177.500000 84.014 -162.4269
180.000000 84.044 -162.3852
182.500000 84.084 -162.4240
185.000000 84.116 -162.5366
187.500000 84.137 -162.6969
190.000000 84.150 -162.8627
192.500000 84.157 -163.0490
195.000000 84.159 -163.2018
197.500000 84.157 -163.3284
200.000000 84.146 -163.4663
203.000000 84.119 -163.6115
206.000000 84.083 -163.6445
209.000000 84.045 -163.4497
212.000000 84.024 -163.0358
214.000000 84.025 -162.6888
218.000000 84.070 -161.9973
220.000000 84.116 -161.7195
224.000000 84.230 -161.3597
227.000000 84.317 -161.3192
230.000000 84.395 -161.4287
233.000000 84.461 -161.6098
236.000000 84.514 -161.8227
240.000000 84.575 -162.0849
243.000000 84.622 -162.2799
247.000000 84.673 -162.5901
250.000000 84.702 -162.8432
254.000000 84.729 -163.1541
258.000000 84.751 -163.4193
262.000000 84.769 -163.6496
265.000000 84.777 -163.7882
269.000000 84.789 -163.9528
272.000000 84.801 -164.0670
276.000000 84.816 -164.1748
280.000000 84.826 -164.2395
285.000000 84.847 -164.2947
290.000000 84.878 -164.3862
295.000000 84.911 -164.4878
300.000000 84.944 -164.5718
304.000000 84.973 -164.6926
307.000000 84.993 -164.7932
311.000000 85.016 -164.9251
315.000000 85.036 -165.0584
320.000000 85.064 -165.1951
325.000000 85.091 -165.3663
330.000000 85.122 -165.5585
335.000000 85.152 -165.7547
340.000000 85.168 -165.9461
345.000000 85.183 -166.1141
350.000000 85.197 -166.3054
355.000000 85.212 -166.4421
360.000000 85.231 -166.5803
365.000000 85.247 -166.7657
370.000000 85.262 -166.9690
375.000000 85.271 -167.1904
382.000000 85.265 -167.4220
387.000000 85.265 -167.4801
395.000000 85.274 -167.5832
400.000000 85.276 -167.6514
406.000000 85.284 -167.6890
412.000000 85.297 -167.7568
418.000000 85.303 -167.8063
425.000000 85.313 -167.7533
431.000000 85.337 -167.6709
437.000000 85.369 -167.6387
444.000000 85.415 -167.5894
450.000000 85.469 -167.6229
455.000000 85.513 -167.7356
462.000000 85.573 -167.9327
468.000000 85.625 -168.2002
475.000000 85.671 -168.6025
482.000000 85.708 -169.0009
487.000000 85.730 -169.3052
494.000000 85.751 -169.7688
500.000000 85.755 -170.2032
508.000000 85.741 -170.7428
515.000000 85.720 -171.1030
522.000000 85.696 -171.3753
530.000000 85.678 -171.5672
538.000000 85.677 -171.8055
545.000000 85.671 -172.1391
552.000000 85.650 -172.4772
560.000000 85.610 -172.7859
570.000000 85.552 -172.9825
580.000000 85.508 -173.0230
590.000000 85.477 -173.0362
600.000000 85.459 -173.0543
608.000000 85.456 -173.0777
615.000000 85.458 -173.1756
622.000000 85.454 -173.3369
630.000000 85.440 -173.5260
640.000000 85.415 -173.7110
650.000000 85.377 -173.9325
660.000000 85.330 -174.0134
670.000000 85.298 -174.0205
680.000000 85.270 -174.0967
690.000000 85.234 -174.1597
700.000000 85.200 -174.2021
710.000000 85.157 -174.2071
720.000000 85.127 -174.1090
730.000000 85.114 -174.1489
740.000000 85.079 -174.3764
750.000000 85.009 -174.5340
762.000000 84.907 -174.4950
775.000000 84.797 -174.1982
788.000000 84.684 -173.8485
800.000000 84.554 -173.1349
812.000000 84.479 -171.8666
825.000000 84.502 -170.5176
838.000000 84.551 -169.5406
850.000000 84.631 -168.5577
862.000000 84.741 -167.9497
875.000000 84.827 -167.3888
885.000000 84.926 -166.6700
900.000000 85.178 -166.0926
912.000000 85.375 -166.3435
925.000000 85.557 -166.8728
938.000000 85.719 -167.9075
950.000000 85.785 -169.2291
962.000000 85.759 -170.5266
975.000000 85.642 -171.5817
988.000000 85.475 -172.0350
1000.000000 85.326 -171.7947
1015.000000 85.232 -170.8780
1030.000000 85.267 -170.0391
1044.000000 85.343 -169.8392
1060.000000 85.391 -169.9756
1075.000000 85.405 -170.0807
1090.000000 85.416 -170.1445
1106.000000 85.423 -170.2135
1120.000000 85.434 -170.2252
1138.000000 85.451 -170.4769
1150.000000 85.426 -170.7218
1172.000000 85.353 -170.5819
1180.000000 85.342 -170.4087
1206.000000 85.361 -169.7494
1220.000000 85.435 -169.4106
1241.000000 85.605 -169.7745
1250.000000 85.651 -170.3407
1265.000000 85.640 -171.4000
1280.000000 85.555 -172.1040
1315.000000 85.346 -172.6331
1320.000000 85.322 -172.6814
1340.000000 85.216 -172.9723
1360.000000 85.065 -173.1229
1380.000000 84.895 -172.9761
1400.000000 84.722 -172.4404
1430.000000 84.524 -171.1872
1450.000000 84.422 -170.2802
1475.000000 84.309 -168.9778
1500.000000 84.249 -167.4559
1525.000000 84.233 -166.0252
1550.000000 84.235 -164.7043
1575.000000 84.250 -163.4797
1600.000000 84.242 -162.3326
1625.000000 84.205 -160.6855
1650.000000 84.268 -158.3728
1675.000000 84.480 -156.3691
1700.000000 84.729 -155.2247
1725.000000 84.933 -154.4954
1750.000000 85.116 -153.7452
1775.000000 85.306 -153.0029
1800.000000 85.511 -152.4265
1825.000000 85.711 -152.0096
1850.000000 85.907 -151.6850
1875.000000 86.106 -151.4845
1900.000000 86.285 -151.4772
1925.000000 86.443 -151.3824
1950.000000 86.617 -151.2230
1975.000000 86.811 -151.2732
2000.000000 86.980 -151.6175
2030.000000 87.124 -152.0027
2060.000000 87.248 -152.1085
2090.000000 87.390 -152.0208
2120.000000 87.564 -151.9569
2140.000000 87.688 -151.9996
2180.000000 87.934 -152.2427
2200.000000 88.056 -152.4133
2240.000000 88.302 -152.8611
2270.000000 88.480 -153.2983
2300.000000 88.656 -153.8173
2330.000000 88.822 -154.4512
2360.000000 88.971 -155.1240
2400.000000 89.162 -155.9571
2430.000000 89.311 -156.6629
2470.000000 89.485 -157.7813
2500.000000 89.592 -158.5912
2540.000000 89.728 -159.4917
2580.000000 89.897 -160.3551
2620.000000 90.078 -161.5060
2650.000000 90.200 -162.4948
2690.000000 90.346 -163.9120
2720.000000 90.440 -165.0535
2760.000000 90.539 -166.6119
2800.000000 90.617 -168.1243
2850.000000 90.702 -169.9756
2900.000000 90.777 -171.9135
2950.000000 90.823 -173.9356
3000.000000 90.840 -175.9727
3040.000000 90.831 -177.5709
3070.000000 90.817 -178.7184
3110.000000 90.802 179.7521
3150.000000 90.778 178.1135
3200.000000 90.711 175.9767
3250.000000 90.602 173.9019
3300.000000 90.470 171.9512
3350.000000 90.326 169.9864
3400.000000 90.144 167.8999
3450.000000 89.893 165.8900
3500.000000 89.588 164.1807
3550.000000 89.250 162.8751
3600.000000 88.906 161.9469
3650.000000 88.570 161.2992
3700.000000 88.244 160.7924
3750.000000 87.911 160.3898
3820.000000 87.418 160.0759
3870.000000 87.038 160.1403
3950.000000 86.401 160.9965
4000.000000 86.014 162.0309
4060.000000 85.564 163.6700
4120.000000 85.122 165.8207
4180.000000 84.704 168.6736
4250.000000 84.288 173.1062
4310.000000 84.108 177.9417
4370.000000 84.160 -177.6133
4440.000000 84.159 -174.0126
4500.000000 83.977 -169.2562
4550.000000 83.988 -162.7473
4620.000000 84.735 -151.5548
4680.000000 86.199 -143.1261
4750.000000 88.589 -138.8706
4820.000000 90.960 -143.0837
4870.000000 92.177 -150.4191
4940.000000 92.905 -162.8749
