* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 8:15:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Aeolus (UniLP) R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 78.760 -94.5854
20.600000 78.851 -95.2236
20.900000 78.954 -95.9579
21.200001 79.057 -96.7465
21.400000 79.125 -97.2945
21.799999 79.257 -98.4119
22.000000 79.322 -98.9658
22.400000 79.453 -100.0376
22.700001 79.551 -100.8050
23.000000 79.648 -101.5467
23.299999 79.740 -102.2690
23.600000 79.824 -102.9724
24.000000 79.921 -103.8704
24.299999 79.985 -104.5056
24.700001 80.065 -105.3030
25.000000 80.128 -105.8769
25.400000 80.218 -106.6302
25.799999 80.315 -107.3665
26.200001 80.416 -108.0490
26.500000 80.496 -108.5035
26.900000 80.609 -109.0432
27.200001 80.700 -109.4404
27.600000 80.820 -110.0459
28.000000 80.924 -110.7984
28.500000 81.011 -111.8960
29.000000 81.057 -112.9667
29.500000 81.108 -113.8637
30.000000 81.204 -114.6813
30.400000 81.305 -115.4102
30.700001 81.378 -116.0203
31.100000 81.450 -116.8510
31.500000 81.487 -117.5825
32.000000 81.506 -118.2487
32.500000 81.537 -118.7546
33.000000 81.595 -119.3662
33.500000 81.657 -120.1924
34.000000 81.705 -121.0790
34.500000 81.748 -121.8249
35.000000 81.806 -122.4149
35.500000 81.879 -122.9893
36.000000 81.946 -123.6368
36.500000 81.996 -124.3059
37.000000 82.041 -124.9245
37.500000 82.096 -125.5163
38.200001 82.180 -126.4021
38.700001 82.228 -126.9993
39.500000 82.309 -127.6635
40.000000 82.389 -128.0323
40.599998 82.486 -128.6912
41.200001 82.520 -129.4948
41.799999 82.486 -130.0836
42.500000 82.457 -130.4291
43.099998 82.505 -130.9096
43.700001 82.596 -131.8485
44.400002 82.699 -133.1877
45.000000 82.774 -134.1192
45.500000 82.826 -134.6565
46.200001 82.864 -135.1349
46.799999 82.864 -135.4044
47.500000 82.856 -135.7586
48.200001 82.863 -136.3186
48.700001 82.880 -136.7932
49.400002 82.927 -137.4255
50.000000 82.982 -137.9374
50.799999 83.030 -138.6135
51.500000 83.033 -139.0781
52.200001 83.036 -139.4247
53.000000 83.060 -139.9185
53.799999 83.074 -140.4634
54.500000 83.077 -140.7631
55.200001 83.092 -141.0027
56.000000 83.110 -141.5317
57.000000 83.099 -142.4027
58.000000 83.114 -142.8230
59.000000 83.185 -143.0571
60.000000 83.192 -143.4489
60.799999 83.166 -143.6801
61.500000 83.174 -143.8699
62.200001 83.211 -144.1348
63.000000 83.259 -144.4148
64.000000 83.314 -144.6654
65.000000 83.344 -145.1122
66.000000 83.341 -145.5000
67.000000 83.386 -145.7628
68.000000 83.442 -146.2890
69.000000 83.470 -146.8602
70.000000 83.514 -147.4435
71.000000 83.561 -148.0722
72.000000 83.588 -148.5700
73.000000 83.591 -148.8913
74.000000 83.604 -149.1495
75.000000 83.636 -149.5433
76.199997 83.649 -150.1288
77.500000 83.630 -150.7074
78.800003 83.630 -151.2469
80.000000 83.643 -151.7300
81.199997 83.637 -152.1544
82.500000 83.633 -152.4390
83.800003 83.656 -152.6606
85.000000 83.674 -152.8259
86.199997 83.694 -153.0886
87.500000 83.701 -153.5445
88.500000 83.699 -153.8304
90.000000 83.702 -154.1075
91.199997 83.711 -154.3555
92.500000 83.720 -154.6405
93.800003 83.732 -154.8096
95.000000 83.745 -154.8870
96.199997 83.766 -155.0311
97.500000 83.794 -155.3743
98.800003 83.815 -155.7001
100.000000 83.828 -155.8867
101.500000 83.845 -156.2083
103.000000 83.863 -156.5652
104.400002 83.873 -156.8118
106.000000 83.882 -157.1041
107.500000 83.897 -157.3419
109.000000 83.911 -157.5817
110.599998 83.912 -157.8990
112.000000 83.901 -158.1014
113.800003 83.894 -158.3369
115.000000 83.897 -158.5085
117.199997 83.919 -158.7241
118.000000 83.934 -158.7821
120.599998 83.978 -159.0279
122.000000 83.999 -159.2188
124.099998 84.036 -159.6539
125.000000 84.048 -159.8625
126.500000 84.054 -160.2152
128.000000 84.050 -160.5566
131.500000 84.027 -161.0598
132.000000 84.025 -161.1113
134.000000 84.020 -161.3242
136.000000 84.016 -161.5671
138.000000 84.012 -161.8242
140.000000 84.000 -162.0782
143.000000 83.969 -162.3879
145.000000 83.943 -162.5271
147.500000 83.913 -162.6491
150.000000 83.884 -162.6991
152.500000 83.863 -162.6182
155.000000 83.854 -162.4356
157.500000 83.860 -162.2774
160.000000 83.884 -162.1577
162.500000 83.915 -162.0916
165.000000 83.950 -162.0636
167.500000 83.986 -162.1178
170.000000 84.025 -162.1862
172.500000 84.061 -162.2664
175.000000 84.095 -162.4013
177.500000 84.120 -162.6102
180.000000 84.136 -162.8362
182.500000 84.146 -163.0070
185.000000 84.152 -163.1502
187.500000 84.152 -163.2699
190.000000 84.153 -163.3502
192.500000 84.162 -163.3702
195.000000 84.181 -163.3610
197.500000 84.208 -163.3805
200.000000 84.235 -163.5007
203.000000 84.257 -163.7003
206.000000 84.275 -163.8882
209.000000 84.287 -164.1241
212.000000 84.280 -164.3703
214.000000 84.267 -164.4677
218.000000 84.243 -164.3935
220.000000 84.240 -164.2746
224.000000 84.251 -164.0282
227.000000 84.282 -163.8598
230.000000 84.327 -163.7690
233.000000 84.374 -163.7814
236.000000 84.419 -163.8453
240.000000 84.475 -164.0123
243.000000 84.511 -164.1834
247.000000 84.545 -164.4455
250.000000 84.564 -164.6614
254.000000 84.583 -164.9287
258.000000 84.596 -165.1152
262.000000 84.608 -165.2336
265.000000 84.621 -165.3190
269.000000 84.639 -165.4416
272.000000 84.653 -165.5423
276.000000 84.672 -165.7028
280.000000 84.690 -165.8232
285.000000 84.718 -165.9803
290.000000 84.737 -166.2305
295.000000 84.749 -166.4319
300.000000 84.759 -166.6259
304.000000 84.764 -166.7622
307.000000 84.769 -166.8563
311.000000 84.777 -166.9924
315.000000 84.781 -167.1253
320.000000 84.784 -167.2626
325.000000 84.782 -167.3458
330.000000 84.788 -167.3643
335.000000 84.797 -167.4339
340.000000 84.800 -167.5157
345.000000 84.811 -167.5858
350.000000 84.828 -167.6360
355.000000 84.842 -167.6687
360.000000 84.857 -167.7568
365.000000 84.869 -167.8851
370.000000 84.881 -168.0235
375.000000 84.886 -168.1773
382.000000 84.878 -168.3109
387.000000 84.876 -168.3512
395.000000 84.873 -168.4043
400.000000 84.873 -168.3876
406.000000 84.883 -168.3426
412.000000 84.895 -168.3355
418.000000 84.908 -168.2561
425.000000 84.939 -168.2284
431.000000 84.962 -168.3239
437.000000 84.971 -168.4331
444.000000 84.972 -168.4131
450.000000 84.986 -168.3144
455.000000 85.007 -168.2584
462.000000 85.043 -168.2060
468.000000 85.083 -168.1637
475.000000 85.142 -168.2241
482.000000 85.197 -168.4152
487.000000 85.229 -168.5936
494.000000 85.265 -168.9175
500.000000 85.284 -169.2522
508.000000 85.287 -169.6568
515.000000 85.281 -169.8826
522.000000 85.274 -170.0492
530.000000 85.276 -170.1367
538.000000 85.299 -170.3129
545.000000 85.309 -170.5769
552.000000 85.308 -170.8251
560.000000 85.300 -171.1139
570.000000 85.270 -171.4286
580.000000 85.238 -171.4667
590.000000 85.237 -171.5306
600.000000 85.230 -171.6979
608.000000 85.222 -171.7703
615.000000 85.222 -171.8441
622.000000 85.222 -171.9995
630.000000 85.212 -172.1796
640.000000 85.196 -172.4519
650.000000 85.152 -172.8114
660.000000 85.070 -172.9760
670.000000 84.993 -172.8256
680.000000 84.939 -172.5583
690.000000 84.899 -172.2595
700.000000 84.857 -171.9418
710.000000 84.823 -171.4307
720.000000 84.825 -170.8920
730.000000 84.842 -170.4056
740.000000 84.874 -169.9080
750.000000 84.923 -169.4341
762.000000 85.001 -168.9114
775.000000 85.126 -168.3990
788.000000 85.296 -168.2684
800.000000 85.451 -168.5596
812.000000 85.580 -169.1733
825.000000 85.672 -170.0423
838.000000 85.711 -170.9124
850.000000 85.732 -171.6820
862.000000 85.711 -172.5274
875.000000 85.661 -173.0187
885.000000 85.651 -173.3017
900.000000 85.635 -174.0290
912.000000 85.599 -174.6275
925.000000 85.528 -175.2170
938.000000 85.456 -175.5989
950.000000 85.395 -175.9981
962.000000 85.323 -176.4263
975.000000 85.220 -176.9544
988.000000 85.065 -177.3322
1000.000000 84.913 -177.1901
1015.000000 84.779 -176.9420
1030.000000 84.611 -176.6716
1044.000000 84.478 -175.9024
1060.000000 84.385 -175.0220
1075.000000 84.316 -174.2009
1090.000000 84.268 -173.2553
1106.000000 84.260 -172.1154
1120.000000 84.324 -171.1594
1138.000000 84.464 -170.7190
1150.000000 84.510 -170.9621
1172.000000 84.422 -171.1151
1180.000000 84.371 -170.6831
1206.000000 84.550 -168.6729
1220.000000 84.704 -169.0701
1241.000000 84.732 -170.0224
1250.000000 84.709 -170.1382
1265.000000 84.694 -170.0610
1280.000000 84.718 -170.0705
1315.000000 84.733 -170.9954
1320.000000 84.721 -171.1557
1340.000000 84.642 -171.8051
1360.000000 84.496 -172.3631
1380.000000 84.306 -172.4616
1400.000000 84.125 -172.1575
1430.000000 83.873 -171.5870
1450.000000 83.657 -170.9722
1475.000000 83.405 -169.3498
1500.000000 83.231 -167.3468
1525.000000 83.117 -165.1538
1550.000000 83.081 -162.6270
1575.000000 83.157 -160.2328
1600.000000 83.285 -158.4439
1625.000000 83.388 -157.0770
1650.000000 83.460 -155.7155
1675.000000 83.511 -154.1263
1700.000000 83.594 -151.9987
1725.000000 83.806 -149.7149
1750.000000 84.089 -148.1394
1775.000000 84.365 -146.9707
1800.000000 84.652 -145.9889
1825.000000 84.949 -145.3807
1850.000000 85.216 -145.1009
1875.000000 85.454 -144.9298
1900.000000 85.671 -144.8518
1925.000000 85.873 -144.7720
1950.000000 86.064 -144.7197
1975.000000 86.252 -144.6427
2000.000000 86.436 -144.6407
2030.000000 86.644 -144.5860
2060.000000 86.866 -144.5575
2090.000000 87.091 -144.6844
2120.000000 87.296 -144.9513
2140.000000 87.421 -145.1008
2180.000000 87.678 -145.3584
2200.000000 87.801 -145.5435
2240.000000 88.025 -145.7881
2270.000000 88.211 -145.7014
2300.000000 88.462 -145.5810
2330.000000 88.769 -145.8495
2360.000000 89.080 -146.7315
2400.000000 89.398 -148.5773
2430.000000 89.558 -149.9953
2470.000000 89.719 -151.6793
2500.000000 89.818 -152.8357
2540.000000 89.933 -154.2146
2580.000000 90.039 -155.5156
2620.000000 90.131 -156.7251
2650.000000 90.196 -157.5311
2690.000000 90.298 -158.5186
2720.000000 90.388 -159.2701
2760.000000 90.520 -160.4178
2800.000000 90.645 -161.7581
2850.000000 90.767 -163.6273
2900.000000 90.847 -165.5138
2950.000000 90.899 -167.3679
3000.000000 90.926 -169.1979
3040.000000 90.925 -170.6201
3070.000000 90.913 -171.5972
3110.000000 90.897 -172.7260
3150.000000 90.910 -173.7223
3200.000000 90.981 -175.1983
3250.000000 91.047 -177.3067
3300.000000 91.031 -179.8307
3350.000000 90.910 177.6230
3400.000000 90.702 175.4320
3450.000000 90.461 173.8073
3500.000000 90.238 172.5622
3550.000000 90.038 171.4451
3600.000000 89.848 170.3167
3650.000000 89.646 169.1140
3700.000000 89.415 167.9095
3750.000000 89.151 166.7955
3820.000000 88.727 165.4536
3870.000000 88.380 164.7426
3950.000000 87.759 164.3107
4000.000000 87.353 164.5487
4060.000000 86.854 165.3071
4120.000000 86.343 166.7149
4180.000000 85.849 168.9244
4250.000000 85.341 172.3261
4310.000000 84.940 175.8020
4370.000000 84.539 -179.7463
4440.000000 84.199 -172.2066
4500.000000 84.241 -163.6235
4550.000000 84.678 -155.5779
4620.000000 86.065 -144.9768
4680.000000 87.928 -139.2377
4750.000000 90.380 -139.7649
4820.000000 92.296 -148.2509
4870.000000 92.992 -156.8851
4940.000000 93.038 -168.0629
