* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 7, 2024 11:42:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Aut Hy Solid) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.810 -98.0402
20.600000 83.898 -98.6473
20.900000 83.994 -99.2999
21.200001 84.088 -99.9380
21.400000 84.149 -100.3450
21.799999 84.271 -101.0991
22.000000 84.333 -101.4454
22.400000 84.460 -102.0965
22.700001 84.558 -102.5780
23.000000 84.654 -103.0783
23.299999 84.743 -103.6045
23.600000 84.822 -104.1462
24.000000 84.913 -104.8549
24.299999 84.975 -105.3534
24.700001 85.059 -105.9731
25.000000 85.129 -106.4266
25.400000 85.232 -107.0572
25.799999 85.339 -107.7329
26.200001 85.441 -108.4216
26.500000 85.513 -108.9130
26.900000 85.604 -109.5069
27.200001 85.671 -109.9121
27.600000 85.761 -110.4367
28.000000 85.848 -110.9877
28.500000 85.944 -111.7322
29.000000 86.026 -112.4851
29.500000 86.108 -113.1826
30.000000 86.205 -113.8270
30.400000 86.291 -114.3339
30.700001 86.357 -114.7167
31.100000 86.437 -115.2184
31.500000 86.505 -115.6862
32.000000 86.575 -116.2045
32.500000 86.640 -116.6900
33.000000 86.709 -117.2279
33.500000 86.784 -117.8629
34.000000 86.857 -118.5454
34.500000 86.926 -119.1662
35.000000 86.989 -119.6390
35.500000 87.048 -119.9527
36.000000 87.103 -120.1616
36.500000 87.154 -120.3449
37.000000 87.205 -120.5662
37.500000 87.261 -120.8481
38.200001 87.357 -121.2936
38.700001 87.448 -121.6026
39.500000 87.633 -122.1392
40.000000 87.757 -122.5800
40.599998 87.891 -123.2233
41.200001 88.005 -123.9196
41.799999 88.110 -124.6095
42.500000 88.235 -125.3529
43.099998 88.359 -125.9053
43.700001 88.511 -126.4601
44.400002 88.697 -127.3083
45.000000 88.810 -128.1625
45.500000 88.856 -128.7711
46.200001 88.884 -129.2935
46.799999 88.919 -129.6417
47.500000 88.973 -130.3254
48.200001 89.014 -131.2765
48.700001 89.041 -131.9301
49.400002 89.102 -132.6916
50.000000 89.177 -133.2783
50.799999 89.269 -134.0929
51.500000 89.322 -134.8083
52.200001 89.370 -135.5072
53.000000 89.445 -136.3834
53.799999 89.532 -137.4036
54.500000 89.590 -138.3194
55.200001 89.622 -139.1265
56.000000 89.643 -139.8930
57.000000 89.675 -140.8400
58.000000 89.701 -141.9552
59.000000 89.708 -143.0811
60.000000 89.709 -144.1395
60.799999 89.689 -144.9634
61.500000 89.643 -145.5466
62.200001 89.584 -145.9232
63.000000 89.527 -146.2434
64.000000 89.466 -146.7363
65.000000 89.418 -147.2552
66.000000 89.388 -147.7431
67.000000 89.344 -147.8851
68.000000 89.315 -147.6306
69.000000 89.305 -147.4322
70.000000 89.321 -147.3839
71.000000 89.371 -147.4340
72.000000 89.427 -147.4349
73.000000 89.486 -147.3852
74.000000 89.556 -147.4221
75.000000 89.641 -147.5910
76.199997 89.726 -147.9384
77.500000 89.799 -148.4085
78.800003 89.878 -149.0059
80.000000 89.936 -149.4594
81.199997 89.988 -149.9273
82.500000 90.039 -150.5397
83.800003 90.079 -150.9935
85.000000 90.095 -151.3752
86.199997 90.099 -151.8626
87.500000 90.103 -152.3831
88.500000 90.109 -152.5807
90.000000 90.154 -152.7353
91.199997 90.194 -152.8978
92.500000 90.228 -152.9091
93.800003 90.267 -152.8799
95.000000 90.314 -153.0554
96.199997 90.372 -153.2478
97.500000 90.456 -153.4094
98.800003 90.544 -153.6492
100.000000 90.632 -153.9372
101.500000 90.751 -154.3592
103.000000 90.858 -154.8789
104.400002 90.940 -155.4888
106.000000 91.019 -156.2783
107.500000 91.074 -157.0260
109.000000 91.107 -157.7867
110.599998 91.125 -158.5288
112.000000 91.139 -159.0621
113.800003 91.160 -159.6550
115.000000 91.180 -160.0186
117.199997 91.236 -160.7097
118.000000 91.268 -160.9702
120.599998 91.341 -161.7890
122.000000 91.322 -162.2159
124.099998 91.311 -162.7900
125.000000 91.315 -162.9531
126.500000 91.332 -163.1824
128.000000 91.365 -163.4157
131.500000 91.496 -163.9968
132.000000 91.517 -164.1296
134.000000 91.593 -164.7984
136.000000 91.662 -165.5437
138.000000 91.712 -166.2913
140.000000 91.758 -167.0467
143.000000 91.819 -168.0661
145.000000 91.849 -168.7170
147.500000 91.867 -169.3646
150.000000 91.907 -169.9982
152.500000 91.986 -170.7541
155.000000 92.052 -171.5297
157.500000 92.110 -172.3264
160.000000 92.191 -173.2066
162.500000 92.242 -174.2524
165.000000 92.263 -175.2553
167.500000 92.302 -176.1201
170.000000 92.354 -177.2618
172.500000 92.408 -178.6416
175.000000 92.442 179.8238
177.500000 92.435 178.2303
180.000000 92.373 176.7415
182.500000 92.283 175.5472
185.000000 92.182 174.6273
187.500000 92.122 173.9077
190.000000 92.105 173.1390
192.500000 92.088 172.1609
195.000000 92.033 171.1242
197.500000 91.946 170.0963
200.000000 91.823 168.9791
203.000000 91.683 167.7080
206.000000 91.542 166.6285
209.000000 91.410 165.7418
212.000000 91.288 164.9255
214.000000 91.211 164.3684
218.000000 91.037 163.3441
220.000000 90.934 162.9130
224.000000 90.746 162.2006
227.000000 90.619 161.6134
230.000000 90.469 161.0677
233.000000 90.311 160.6153
236.000000 90.172 160.2121
240.000000 89.998 159.6823
243.000000 89.837 159.3074
247.000000 89.616 158.8662
250.000000 89.454 158.6963
254.000000 89.248 158.5647
258.000000 89.056 158.4917
262.000000 88.870 158.5744
265.000000 88.732 158.6997
269.000000 88.562 158.7981
272.000000 88.442 158.8918
276.000000 88.275 159.1575
280.000000 88.116 159.5228
285.000000 87.931 160.0628
290.000000 87.766 160.6730
295.000000 87.641 161.2950
300.000000 87.530 161.9022
304.000000 87.440 162.3673
307.000000 87.375 162.6389
311.000000 87.294 162.9857
315.000000 87.222 163.3270
320.000000 87.140 163.6627
325.000000 87.057 163.9929
330.000000 86.965 164.3366
335.000000 86.871 164.5185
340.000000 86.764 164.6663
345.000000 86.643 164.9184
350.000000 86.511 165.2317
355.000000 86.376 165.6802
360.000000 86.241 166.2352
365.000000 86.117 166.8550
370.000000 85.995 167.5288
375.000000 85.873 168.3585
382.000000 85.720 169.6682
387.000000 85.630 170.7009
395.000000 85.484 172.2791
400.000000 85.403 173.3577
406.000000 85.318 174.9420
412.000000 85.245 176.6229
418.000000 85.215 178.4364
425.000000 85.266 -179.2838
431.000000 85.383 -177.3119
437.000000 85.562 -175.4613
444.000000 85.845 -173.9266
450.000000 86.100 -173.1700
455.000000 86.302 -172.8586
462.000000 86.554 -172.7919
468.000000 86.738 -172.9439
475.000000 86.916 -173.3739
482.000000 87.051 -173.8760
487.000000 87.121 -174.1709
494.000000 87.205 -174.5790
500.000000 87.271 -174.9543
508.000000 87.342 -175.5218
515.000000 87.382 -175.9658
522.000000 87.409 -176.3947
530.000000 87.426 -176.9257
538.000000 87.426 -177.4763
545.000000 87.404 -177.9263
552.000000 87.367 -178.2597
560.000000 87.312 -178.5597
570.000000 87.228 -178.7216
580.000000 87.134 -178.5937
590.000000 87.055 -178.3257
600.000000 86.991 -177.9828
608.000000 86.945 -177.7053
615.000000 86.907 -177.3911
622.000000 86.874 -177.0132
630.000000 86.844 -176.5238
640.000000 86.825 -175.8310
650.000000 86.817 -175.1035
660.000000 86.822 -174.3146
670.000000 86.850 -173.5358
680.000000 86.895 -172.7617
690.000000 86.957 -171.9246
700.000000 87.052 -171.1683
710.000000 87.169 -170.5280
720.000000 87.301 -169.9977
730.000000 87.452 -169.6362
740.000000 87.612 -169.4515
750.000000 87.766 -169.4935
762.000000 87.934 -169.8766
775.000000 88.076 -170.5228
788.000000 88.174 -171.1108
800.000000 88.239 -171.5634
812.000000 88.293 -171.9707
825.000000 88.347 -172.3818
838.000000 88.396 -172.6862
850.000000 88.459 -172.8582
862.000000 88.554 -173.0980
875.000000 88.681 -173.6052
885.000000 88.770 -174.2834
900.000000 88.850 -175.5690
912.000000 88.874 -176.5755
925.000000 88.873 -177.6529
938.000000 88.843 -178.7096
950.000000 88.796 -179.6092
962.000000 88.742 179.5677
975.000000 88.674 178.7107
988.000000 88.591 177.9187
1000.000000 88.500 177.2200
1015.000000 88.368 176.3400
1030.000000 88.210 175.4693
1044.000000 88.012 174.7140
1060.000000 87.718 174.4002
1075.000000 87.445 174.9786
1090.000000 87.262 176.0092
1106.000000 87.163 176.9875
1120.000000 87.110 177.5916
1138.000000 87.051 178.1342
1150.000000 87.007 178.4580
1172.000000 86.927 179.0812
1180.000000 86.903 179.2917
1206.000000 86.830 179.7255
1220.000000 86.758 179.8360
1241.000000 86.614 -179.6117
1250.000000 86.559 -179.2288
1265.000000 86.491 -178.5324
1280.000000 86.446 -177.8456
1315.000000 86.383 -176.3968
1320.000000 86.375 -176.2038
1340.000000 86.346 -175.4524
1360.000000 86.324 -174.7151
1380.000000 86.309 -173.9767
1400.000000 86.303 -173.2479
1430.000000 86.309 -172.1991
1450.000000 86.324 -171.5705
1475.000000 86.356 -170.8801
1500.000000 86.396 -170.4048
1525.000000 86.425 -170.2629
1550.000000 86.405 -170.5619
1575.000000 86.244 -171.1187
1600.000000 85.914 -170.6929
1625.000000 85.666 -168.7757
1650.000000 85.506 -167.5415
1675.000000 85.115 -165.9587
1700.000000 84.733 -160.9357
1725.000000 84.896 -154.2633
1750.000000 85.461 -149.9602
1775.000000 86.033 -147.9795
1800.000000 86.502 -146.9932
1825.000000 86.892 -146.3291
1850.000000 87.239 -145.7685
1875.000000 87.565 -145.2880
1900.000000 87.879 -144.9042
1925.000000 88.186 -144.6225
1950.000000 88.486 -144.4394
1975.000000 88.781 -144.3443
2000.000000 89.073 -144.3425
2030.000000 89.420 -144.4945
2060.000000 89.760 -144.8167
2090.000000 90.089 -145.2824
2120.000000 90.407 -145.8582
2140.000000 90.616 -146.3056
2180.000000 91.025 -147.4001
2200.000000 91.221 -148.0479
2240.000000 91.592 -149.4921
2270.000000 91.854 -150.6765
2300.000000 92.106 -151.9365
2330.000000 92.354 -153.2735
2360.000000 92.606 -154.7592
2400.000000 92.923 -157.1933
2430.000000 93.111 -159.3273
2470.000000 93.277 -162.2924
2500.000000 93.346 -164.4479
2540.000000 93.386 -167.1084
2580.000000 93.394 -169.4898
2620.000000 93.395 -171.6885
2650.000000 93.393 -173.3205
2690.000000 93.373 -175.5193
2720.000000 93.340 -177.1526
2760.000000 93.271 -179.2594
2800.000000 93.181 178.7321
2850.000000 93.043 176.3616
2900.000000 92.884 174.1378
2950.000000 92.705 172.0512
3000.000000 92.509 170.0896
3040.000000 92.344 168.5862
3070.000000 92.214 167.4704
3110.000000 92.030 165.9591
3150.000000 91.817 164.4283
3200.000000 91.497 162.6401
3250.000000 91.124 161.1768
3300.000000 90.720 160.1429
3350.000000 90.310 159.5546
3400.000000 89.916 159.2818
3450.000000 89.523 159.1475
3500.000000 89.104 159.2551
3550.000000 88.661 159.8709
3600.000000 88.229 161.1328
3650.000000 87.848 163.0470
3700.000000 87.559 165.5162
3750.000000 87.402 168.2764
3820.000000 87.428 171.7676
3870.000000 87.574 173.3446
3950.000000 87.808 173.6827
4000.000000 87.822 172.8386
4060.000000 87.631 171.6509
4120.000000 87.237 171.1157
4180.000000 86.718 171.8463
4250.000000 86.093 174.4731
4310.000000 85.588 178.0119
4370.000000 85.142 -176.9627
4440.000000 84.819 -168.8778
4500.000000 84.895 -159.7997
4550.000000 85.421 -151.0403
4620.000000 87.108 -140.1544
4680.000000 89.136 -136.5440
4750.000000 91.205 -141.0262
4820.000000 92.170 -150.2706
4870.000000 92.219 -155.7145
4940.000000 91.985 -158.8202
5000.000000 91.995 -158.1087
5080.000000 92.603 -155.7177
5150.000000 93.620 -154.7669
5220.000000 94.891 -156.3302
5300.000000 96.375 -161.7416
5380.000000 97.634 -170.6216
