* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 7, 2024 11:32:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Aut Hy Solid) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.552 -103.3385
20.600000 84.646 -103.8695
20.900000 84.743 -104.4872
21.200001 84.834 -105.1372
21.400000 84.892 -105.5858
21.799999 85.003 -106.5201
22.000000 85.053 -106.9966
22.400000 85.139 -107.9066
22.700001 85.191 -108.4809
23.000000 85.242 -108.9115
23.299999 85.302 -109.1984
23.600000 85.383 -109.3979
24.000000 85.524 -109.7011
24.299999 85.644 -110.0791
24.700001 85.790 -110.8633
25.000000 85.870 -111.6181
25.400000 85.925 -112.6738
25.799999 85.935 -113.5611
26.200001 85.942 -114.1249
26.500000 85.970 -114.3422
26.900000 86.058 -114.4833
27.200001 86.157 -114.5814
27.600000 86.308 -114.7941
28.000000 86.446 -115.0955
28.500000 86.573 -115.5046
29.000000 86.660 -115.9378
29.500000 86.733 -116.5638
30.000000 86.804 -117.5275
30.400000 86.860 -118.4705
30.700001 86.904 -119.1691
31.100000 86.971 -119.9519
31.500000 87.053 -120.4816
32.000000 87.169 -120.8268
32.500000 87.269 -120.9974
33.000000 87.331 -121.1790
33.500000 87.362 -121.4964
34.000000 87.395 -122.0204
34.500000 87.460 -122.7243
35.000000 87.558 -123.4403
35.500000 87.674 -123.9515
36.000000 87.786 -124.1698
36.500000 87.876 -124.2179
37.000000 87.931 -124.3266
37.500000 87.956 -124.6674
38.200001 87.989 -125.5391
38.700001 88.051 -126.2642
39.500000 88.223 -127.1656
40.000000 88.340 -127.4471
40.599998 88.455 -127.6106
41.200001 88.543 -127.8708
41.799999 88.619 -128.4232
42.500000 88.722 -129.2671
43.099998 88.838 -129.8659
43.700001 88.964 -130.3125
44.400002 89.066 -130.8793
45.000000 89.100 -131.5353
45.500000 89.121 -132.1904
46.200001 89.208 -133.1872
46.799999 89.340 -133.9575
47.500000 89.506 -134.5025
48.200001 89.640 -134.7377
48.700001 89.704 -134.9914
49.400002 89.744 -135.7274
50.000000 89.757 -136.5820
50.799999 89.820 -137.5941
51.500000 89.935 -138.2868
52.200001 90.041 -138.9450
53.000000 90.095 -139.7285
53.799999 90.108 -140.5952
54.500000 90.129 -141.4696
55.200001 90.170 -142.3856
56.000000 90.227 -143.3286
57.000000 90.280 -144.2773
58.000000 90.277 -145.0479
59.000000 90.252 -145.6727
60.000000 90.284 -146.4338
60.799999 90.337 -147.2637
61.500000 90.373 -148.0203
62.200001 90.393 -148.7586
63.000000 90.397 -149.6409
64.000000 90.379 -150.7545
65.000000 90.353 -151.7458
66.000000 90.308 -152.5775
67.000000 90.257 -153.1730
68.000000 90.223 -153.6683
69.000000 90.152 -153.9467
70.000000 90.068 -153.8542
71.000000 90.024 -153.9163
72.000000 90.003 -154.1864
73.000000 90.004 -154.2703
74.000000 90.028 -154.3035
75.000000 90.057 -154.4825
76.199997 90.104 -154.7812
77.500000 90.157 -155.1061
78.800003 90.183 -155.6693
80.000000 90.190 -156.2789
81.199997 90.208 -156.8148
82.500000 90.210 -157.3587
83.800003 90.181 -157.7718
85.000000 90.149 -158.0501
86.199997 90.120 -158.2845
87.500000 90.089 -158.4564
88.500000 90.067 -158.5253
90.000000 90.043 -158.4941
91.199997 90.026 -158.2691
92.500000 90.014 -157.9100
93.800003 90.027 -157.5792
95.000000 90.077 -157.2456
96.199997 90.152 -156.9030
97.500000 90.247 -156.5945
98.800003 90.363 -156.4414
100.000000 90.498 -156.5219
101.500000 90.707 -156.8558
103.000000 90.888 -157.3966
104.400002 90.993 -158.0232
106.000000 91.082 -159.0662
107.500000 91.146 -160.0469
109.000000 91.201 -160.7959
110.599998 91.256 -161.4620
112.000000 91.305 -162.0547
113.800003 91.360 -162.8491
115.000000 91.394 -163.3667
117.199997 91.442 -164.3660
118.000000 91.458 -164.7668
120.599998 91.518 -166.1415
122.000000 91.503 -166.8107
124.099998 91.463 -167.8009
125.000000 91.446 -168.1971
126.500000 91.405 -168.8060
128.000000 91.352 -169.3233
131.500000 91.208 -169.9162
132.000000 91.190 -169.9238
134.000000 91.135 -169.7807
136.000000 91.127 -169.4383
138.000000 91.172 -169.0464
140.000000 91.261 -168.8124
143.000000 91.444 -168.8435
145.000000 91.584 -169.1673
147.500000 91.735 -169.8764
150.000000 91.838 -170.8652
152.500000 91.951 -171.7111
155.000000 92.094 -172.4712
157.500000 92.226 -173.5761
160.000000 92.347 -175.1016
162.500000 92.458 -176.3032
165.000000 92.536 -177.6490
167.500000 92.579 -179.2343
170.000000 92.598 179.1089
172.500000 92.590 177.4288
175.000000 92.550 175.8044
177.500000 92.487 174.1683
180.000000 92.408 172.5947
182.500000 92.305 171.2065
185.000000 92.200 169.9844
187.500000 92.096 168.9193
190.000000 91.965 167.7832
192.500000 91.832 166.7724
195.000000 91.708 165.9425
197.500000 91.577 165.1514
200.000000 91.427 164.2525
203.000000 91.264 163.3514
206.000000 91.110 162.5538
209.000000 90.949 161.7139
212.000000 90.781 161.0903
214.000000 90.672 160.7341
218.000000 90.440 160.1084
220.000000 90.320 159.7933
224.000000 90.097 159.2321
227.000000 89.933 158.9581
230.000000 89.772 158.7369
233.000000 89.622 158.6320
236.000000 89.478 158.5116
240.000000 89.244 158.1445
243.000000 89.097 158.1392
247.000000 88.931 158.2294
250.000000 88.778 158.2509
254.000000 88.565 158.3899
258.000000 88.366 158.7303
262.000000 88.188 159.2269
265.000000 88.066 159.6086
269.000000 87.918 160.1516
272.000000 87.819 160.5731
276.000000 87.701 161.1488
280.000000 87.596 161.6922
285.000000 87.478 162.2881
290.000000 87.371 162.8552
295.000000 87.285 163.3912
300.000000 87.186 163.8113
304.000000 87.099 164.1468
307.000000 87.039 164.4066
311.000000 86.959 164.7900
315.000000 86.875 165.2254
320.000000 86.771 165.8176
325.000000 86.683 166.3801
330.000000 86.604 166.8784
335.000000 86.527 167.3591
340.000000 86.448 167.8087
345.000000 86.353 168.1648
350.000000 86.234 168.5115
355.000000 86.093 168.9632
360.000000 85.948 169.6502
365.000000 85.806 170.6217
370.000000 85.669 171.7628
375.000000 85.546 173.0783
382.000000 85.418 175.2882
387.000000 85.374 177.0681
395.000000 85.405 -179.9500
400.000000 85.492 -178.1583
406.000000 85.660 -176.1939
412.000000 85.876 -174.5364
418.000000 86.122 -173.3647
425.000000 86.427 -172.6513
431.000000 86.672 -172.4499
437.000000 86.887 -172.5382
444.000000 87.094 -172.9010
450.000000 87.232 -173.3385
455.000000 87.322 -173.7338
462.000000 87.414 -174.2422
468.000000 87.472 -174.6015
475.000000 87.527 -174.9207
482.000000 87.578 -175.2078
487.000000 87.616 -175.4160
494.000000 87.665 -175.7357
500.000000 87.696 -176.0493
508.000000 87.715 -176.5483
515.000000 87.705 -176.9513
522.000000 87.676 -177.2209
530.000000 87.634 -177.3814
538.000000 87.590 -177.4178
545.000000 87.549 -177.3289
552.000000 87.515 -177.1195
560.000000 87.487 -176.7616
570.000000 87.481 -176.2125
580.000000 87.497 -175.7215
590.000000 87.523 -175.2725
600.000000 87.548 -174.8267
608.000000 87.568 -174.3837
615.000000 87.594 -173.9274
622.000000 87.634 -173.4083
630.000000 87.703 -172.7659
640.000000 87.832 -172.0571
650.000000 87.993 -171.5663
660.000000 88.174 -171.3326
670.000000 88.358 -171.4014
680.000000 88.532 -171.6965
690.000000 88.691 -172.1880
700.000000 88.822 -172.8473
710.000000 88.922 -173.5894
720.000000 88.993 -174.2974
730.000000 89.049 -174.9314
740.000000 89.095 -175.5159
750.000000 89.133 -176.0218
762.000000 89.185 -176.5262
775.000000 89.261 -177.0506
788.000000 89.350 -177.6402
800.000000 89.441 -178.2812
812.000000 89.541 -179.1026
825.000000 89.649 179.7132
838.000000 89.720 178.2052
850.000000 89.732 176.6939
862.000000 89.697 175.2483
875.000000 89.618 173.8129
885.000000 89.537 172.8446
900.000000 89.409 171.6357
912.000000 89.309 170.7302
925.000000 89.188 169.7580
938.000000 89.049 168.8919
950.000000 88.911 168.2348
962.000000 88.773 167.6887
975.000000 88.630 167.1787
988.000000 88.494 166.6937
1000.000000 88.369 166.2280
1015.000000 88.204 165.5754
1030.000000 88.012 164.7956
1044.000000 87.770 164.0128
1060.000000 87.385 163.6495
1075.000000 87.016 164.5174
1090.000000 86.780 166.0596
1106.000000 86.659 167.4428
1120.000000 86.589 168.2731
1138.000000 86.499 169.0410
1150.000000 86.432 169.4887
1172.000000 86.304 170.3183
1180.000000 86.259 170.6389
1206.000000 86.138 171.6922
1220.000000 86.085 172.1345
1241.000000 85.974 172.5616
1250.000000 85.907 172.7943
1265.000000 85.788 173.3693
1280.000000 85.678 174.1089
1315.000000 85.474 176.1392
1320.000000 85.450 176.4568
1340.000000 85.373 177.7665
1360.000000 85.324 179.0804
1380.000000 85.301 -179.6560
1400.000000 85.294 -178.4867
1430.000000 85.294 -176.8581
1450.000000 85.300 -175.8100
1475.000000 85.314 -174.5538
1500.000000 85.329 -173.3431
1525.000000 85.344 -172.1342
1550.000000 85.363 -170.8881
1575.000000 85.394 -169.6434
1600.000000 85.418 -168.4847
1625.000000 85.419 -167.1576
1650.000000 85.442 -165.3719
1675.000000 85.544 -163.4754
1700.000000 85.690 -161.8646
1725.000000 85.845 -160.4183
1750.000000 86.012 -158.9988
1775.000000 86.202 -157.6317
1800.000000 86.413 -156.3783
1825.000000 86.638 -155.2406
1850.000000 86.878 -154.1957
1875.000000 87.135 -153.2769
1900.000000 87.406 -152.4994
1925.000000 87.687 -151.8767
1950.000000 87.973 -151.4121
1975.000000 88.260 -151.0815
2000.000000 88.551 -150.8519
2030.000000 88.910 -150.6981
2060.000000 89.290 -150.7401
2090.000000 89.688 -151.0988
2120.000000 90.084 -151.8736
2140.000000 90.333 -152.6049
2180.000000 90.777 -154.4219
2200.000000 90.972 -155.4220
2240.000000 91.325 -157.4902
2270.000000 91.570 -159.1283
2300.000000 91.800 -160.9045
2330.000000 92.005 -162.8340
2360.000000 92.178 -164.8753
2400.000000 92.362 -167.7002
2430.000000 92.461 -169.9050
2470.000000 92.532 -172.8385
2500.000000 92.546 -174.9560
2540.000000 92.527 -177.6206
2580.000000 92.478 179.9044
2620.000000 92.412 177.5521
2650.000000 92.348 175.8233
2690.000000 92.240 173.5815
2720.000000 92.142 171.9607
2760.000000 91.991 169.9001
2800.000000 91.825 167.9810
2850.000000 91.600 165.7822
2900.000000 91.357 163.7681
2950.000000 91.100 161.9223
3000.000000 90.839 160.1873
3040.000000 90.626 158.8051
3070.000000 90.456 157.7415
3110.000000 90.203 156.3139
3150.000000 89.911 155.0106
3200.000000 89.522 153.7503
3250.000000 89.153 152.7596
3300.000000 88.796 151.5551
3350.000000 88.363 150.0559
3400.000000 87.802 148.8518
3450.000000 87.153 148.4385
3500.000000 86.477 148.9164
3550.000000 85.813 150.2438
3600.000000 85.187 152.3838
3650.000000 84.636 155.3011
3700.000000 84.204 158.8383
3750.000000 83.931 162.5958
3820.000000 83.798 166.9332
3870.000000 83.751 168.6526
3950.000000 83.360 169.5872
4000.000000 82.781 170.7239
4060.000000 81.862 175.3593
4120.000000 81.263 -175.1502
4180.000000 81.406 -166.4456
4250.000000 81.328 -161.0230
4310.000000 80.883 -151.1397
4370.000000 81.282 -134.6441
4440.000000 83.277 -117.1400
4500.000000 85.726 -108.0025
4550.000000 87.978 -104.6445
4620.000000 91.148 -106.3822
4680.000000 93.539 -113.9330
4750.000000 95.406 -128.3846
4820.000000 95.937 -144.2781
4870.000000 95.649 -153.2135
4940.000000 94.934 -160.1618
5000.000000 94.553 -161.9987
5080.000000 94.665 -162.4153
5150.000000 95.215 -163.1952
5220.000000 96.054 -165.3188
5300.000000 97.239 -170.3828
5380.000000 98.421 -179.1342
5450.000000 99.213 170.2559
