* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:56:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Eikon Hy Solid) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.068 -108.6965
20.600000 87.132 -109.3644
20.900000 87.197 -110.0421
21.200001 87.257 -110.6609
21.400000 87.298 -111.0410
21.799999 87.383 -111.7547
22.000000 87.428 -112.1064
22.400000 87.520 -112.8362
22.700001 87.587 -113.4160
23.000000 87.649 -114.0138
23.299999 87.706 -114.6099
23.600000 87.760 -115.1859
24.000000 87.835 -115.9107
24.299999 87.898 -116.4311
24.700001 87.988 -117.1224
25.000000 88.058 -117.6526
25.400000 88.147 -118.3711
25.799999 88.225 -119.0706
26.200001 88.293 -119.7137
26.500000 88.341 -120.1531
26.900000 88.410 -120.7063
27.200001 88.466 -121.1246
27.600000 88.542 -121.7164
28.000000 88.613 -122.3376
28.500000 88.685 -123.0716
29.000000 88.745 -123.6619
29.500000 88.809 -124.1322
30.000000 88.881 -124.6303
30.400000 88.936 -125.1268
30.700001 88.969 -125.5508
31.100000 89.003 -126.1341
31.500000 89.034 -126.6794
32.000000 89.087 -127.2831
32.500000 89.163 -127.8629
33.000000 89.244 -128.4735
33.500000 89.310 -129.0719
34.000000 89.357 -129.5836
34.500000 89.398 -130.0187
35.000000 89.446 -130.4768
35.500000 89.499 -131.0368
36.000000 89.554 -131.6823
36.500000 89.610 -132.3350
37.000000 89.668 -132.9271
37.500000 89.725 -133.4265
38.200001 89.796 -133.9661
38.700001 89.837 -134.2789
39.500000 89.880 -134.7760
40.000000 89.893 -135.0756
40.599998 89.914 -135.3396
41.200001 89.978 -135.5356
41.799999 90.095 -135.8735
42.500000 90.251 -136.5985
43.099998 90.355 -137.2905
43.700001 90.435 -137.7904
44.400002 90.527 -138.1629
45.000000 90.602 -138.5393
45.500000 90.647 -138.9613
46.200001 90.687 -139.6270
46.799999 90.727 -140.2060
47.500000 90.792 -140.9093
48.200001 90.854 -141.6038
48.700001 90.886 -142.0609
49.400002 90.911 -142.6949
50.000000 90.918 -143.2874
50.799999 90.936 -144.0982
51.500000 90.993 -144.8004
52.200001 91.074 -145.5560
53.000000 91.133 -146.3864
53.799999 91.151 -147.0193
54.500000 91.172 -147.5396
55.200001 91.200 -148.1581
56.000000 91.224 -148.8254
57.000000 91.245 -149.4909
58.000000 91.237 -150.4105
59.000000 91.176 -151.3929
60.000000 91.154 -151.9306
60.799999 91.189 -152.2864
61.500000 91.213 -152.7196
62.200001 91.210 -153.1762
63.000000 91.189 -153.5882
64.000000 91.189 -154.0296
65.000000 91.202 -154.5970
66.000000 91.194 -155.0787
67.000000 91.177 -155.3396
68.000000 91.142 -155.5116
69.000000 91.106 -155.6445
70.000000 91.093 -155.8822
71.000000 91.075 -156.0704
72.000000 91.064 -155.9919
73.000000 91.091 -155.8863
74.000000 91.139 -155.9779
75.000000 91.180 -156.1549
76.199997 91.226 -156.3397
77.500000 91.289 -156.6176
78.800003 91.352 -156.8952
80.000000 91.394 -157.1705
81.199997 91.431 -157.5625
82.500000 91.479 -158.0728
83.800003 91.529 -158.4553
85.000000 91.578 -158.6753
86.199997 91.633 -158.9653
87.500000 91.679 -159.3240
88.500000 91.705 -159.5656
90.000000 91.733 -159.9418
91.199997 91.766 -160.3090
92.500000 91.800 -160.7166
93.800003 91.828 -161.0578
95.000000 91.865 -161.3856
96.199997 91.912 -161.7428
97.500000 91.965 -162.0801
98.800003 92.019 -162.3017
100.000000 92.063 -162.5029
101.500000 92.105 -163.0079
103.000000 92.147 -163.6621
104.400002 92.200 -164.1901
106.000000 92.260 -164.8282
107.500000 92.299 -165.4973
109.000000 92.321 -166.1664
110.599998 92.331 -166.8257
112.000000 92.341 -167.2076
113.800003 92.363 -167.6456
115.000000 92.387 -168.0441
117.199997 92.439 -168.8673
118.000000 92.453 -169.1919
120.599998 92.466 -170.3721
122.000000 92.458 -170.9627
124.099998 92.436 -171.8238
125.000000 92.422 -172.1830
126.500000 92.393 -172.7186
128.000000 92.358 -173.1298
131.500000 92.280 -173.7072
132.000000 92.270 -173.7728
134.000000 92.240 -173.9907
136.000000 92.232 -174.1471
138.000000 92.235 -174.2900
140.000000 92.248 -174.4457
143.000000 92.287 -174.7440
145.000000 92.320 -174.9195
147.500000 92.365 -175.2325
150.000000 92.404 -175.7422
152.500000 92.451 -176.4091
155.000000 92.510 -177.0351
157.500000 92.550 -177.6952
160.000000 92.615 -178.4994
162.500000 92.635 -178.9865
165.000000 92.641 -179.2921
167.500000 92.670 -179.8843
170.000000 92.700 179.4107
172.500000 92.726 178.6762
175.000000 92.750 177.9869
177.500000 92.771 177.2701
180.000000 92.813 176.5334
182.500000 92.857 175.6797
185.000000 92.885 174.7658
187.500000 92.909 173.8885
190.000000 92.938 172.9597
192.500000 92.958 171.8990
195.000000 92.954 170.7747
197.500000 92.906 169.7367
200.000000 92.819 168.6787
203.000000 92.703 167.3371
206.000000 92.596 166.0993
209.000000 92.474 165.0609
212.000000 92.361 164.0867
214.000000 92.282 163.5328
218.000000 92.108 162.5168
220.000000 92.025 162.0031
224.000000 91.848 161.1021
227.000000 91.715 160.6260
230.000000 91.605 160.1564
233.000000 91.511 159.5214
236.000000 91.421 158.9896
240.000000 91.318 158.5930
243.000000 91.190 158.0780
247.000000 90.973 157.2158
250.000000 90.823 156.6682
254.000000 90.625 156.2051
258.000000 90.434 156.0239
262.000000 90.236 155.8144
265.000000 90.073 155.6217
269.000000 89.872 155.4857
272.000000 89.733 155.5374
276.000000 89.552 155.7068
280.000000 89.378 155.8986
285.000000 89.150 156.1832
290.000000 88.933 156.5699
295.000000 88.747 156.9665
300.000000 88.575 157.7237
304.000000 88.428 158.3054
307.000000 88.335 158.6708
311.000000 88.223 159.2698
315.000000 88.114 159.9967
320.000000 87.999 161.0144
325.000000 87.908 162.1309
330.000000 87.846 163.2921
335.000000 87.806 164.3624
340.000000 87.777 165.2264
345.000000 87.779 165.9576
350.000000 87.794 166.5282
355.000000 87.795 167.0429
360.000000 87.784 167.6690
365.000000 87.790 168.0051
370.000000 87.813 168.1835
375.000000 87.824 168.4676
382.000000 87.815 168.7963
387.000000 87.814 168.9807
395.000000 87.796 169.0700
400.000000 87.768 169.3406
406.000000 87.730 169.7331
412.000000 87.687 169.9449
418.000000 87.639 170.2420
425.000000 87.583 170.7553
431.000000 87.557 171.3477
437.000000 87.552 171.9521
444.000000 87.541 172.5364
450.000000 87.543 173.0767
455.000000 87.559 173.5153
462.000000 87.586 174.0819
468.000000 87.617 174.5464
475.000000 87.665 174.9947
482.000000 87.725 175.3401
487.000000 87.771 175.5547
494.000000 87.836 175.7646
500.000000 87.895 175.8692
508.000000 87.980 175.9038
515.000000 88.045 175.8141
522.000000 88.098 175.6110
530.000000 88.143 175.2743
538.000000 88.169 174.8709
545.000000 88.175 174.4973
552.000000 88.161 174.1253
560.000000 88.128 173.7525
570.000000 88.069 173.3880
580.000000 87.992 173.1268
590.000000 87.903 173.0298
600.000000 87.816 173.1516
608.000000 87.750 173.3274
615.000000 87.700 173.5087
622.000000 87.657 173.7110
630.000000 87.614 173.9617
640.000000 87.563 174.3033
650.000000 87.514 174.6659
660.000000 87.461 175.0735
670.000000 87.411 175.6076
680.000000 87.374 176.2743
690.000000 87.361 177.0188
700.000000 87.378 177.8026
710.000000 87.421 178.5148
720.000000 87.491 179.0640
730.000000 87.575 179.4619
740.000000 87.661 179.6664
750.000000 87.735 179.6667
762.000000 87.793 179.5696
775.000000 87.829 179.6299
788.000000 87.878 179.8287
800.000000 87.947 179.9141
812.000000 88.019 179.8702
825.000000 88.088 179.7292
838.000000 88.148 179.5385
850.000000 88.205 179.3543
862.000000 88.268 179.1548
875.000000 88.350 178.8228
885.000000 88.417 178.3900
900.000000 88.496 177.4004
912.000000 88.518 176.4439
925.000000 88.496 175.3842
938.000000 88.440 174.3533
950.000000 88.367 173.4474
962.000000 88.271 172.6027
975.000000 88.137 171.8056
988.000000 87.975 171.2041
1000.000000 87.820 170.8173
1015.000000 87.619 170.4702
1030.000000 87.404 170.3065
1044.000000 87.188 170.3602
1060.000000 86.926 170.8119
1075.000000 86.699 171.7502
1090.000000 86.541 173.0340
1106.000000 86.447 174.3224
1120.000000 86.400 175.2497
1138.000000 86.353 176.2234
1150.000000 86.320 176.8082
1172.000000 86.260 177.8744
1180.000000 86.243 178.2813
1206.000000 86.219 179.5265
1220.000000 86.209 179.9741
1241.000000 86.156 -179.4203
1250.000000 86.127 -179.0758
1265.000000 86.081 -178.3911
1280.000000 86.044 -177.6314
1315.000000 86.017 -175.7392
1320.000000 86.019 -175.4702
1340.000000 86.037 -174.4360
1360.000000 86.073 -173.4995
1380.000000 86.121 -172.6570
1400.000000 86.176 -171.9241
1430.000000 86.261 -171.0441
1450.000000 86.311 -170.5522
1475.000000 86.367 -170.0363
1500.000000 86.419 -169.6301
1525.000000 86.469 -169.4131
1550.000000 86.491 -169.5692
1575.000000 86.403 -170.0696
1600.000000 86.155 -169.9327
1625.000000 85.947 -168.3893
1650.000000 85.847 -167.3800
1675.000000 85.524 -166.6803
1700.000000 85.063 -162.9425
1725.000000 85.048 -156.4189
1750.000000 85.538 -151.4893
1775.000000 86.118 -149.1489
1800.000000 86.605 -148.0725
1825.000000 87.002 -147.4240
1850.000000 87.346 -146.9197
1875.000000 87.663 -146.4708
1900.000000 87.967 -146.0806
1925.000000 88.264 -145.7560
1950.000000 88.557 -145.5092
1975.000000 88.849 -145.3497
2000.000000 89.140 -145.2869
2030.000000 89.490 -145.3393
2060.000000 89.841 -145.5331
2090.000000 90.194 -145.9020
2120.000000 90.548 -146.5003
2140.000000 90.778 -147.0444
2180.000000 91.211 -148.4471
2200.000000 91.410 -149.2767
2240.000000 91.766 -151.1295
2270.000000 91.995 -152.6137
2300.000000 92.193 -154.0994
2330.000000 92.371 -155.5492
2360.000000 92.539 -156.9755
2400.000000 92.753 -158.9668
2430.000000 92.893 -160.5782
2470.000000 93.035 -162.7884
2500.000000 93.112 -164.3994
2540.000000 93.188 -166.4055
2580.000000 93.253 -168.2431
2620.000000 93.328 -170.0229
2650.000000 93.386 -171.4424
2690.000000 93.444 -173.4823
2720.000000 93.464 -175.0562
2760.000000 93.461 -177.1218
2800.000000 93.430 -179.1111
2850.000000 93.364 178.5344
2900.000000 93.275 176.3025
2950.000000 93.164 174.1665
3000.000000 93.028 172.1321
3040.000000 92.897 170.6317
3070.000000 92.792 169.6350
3110.000000 92.658 168.4960
3150.000000 92.550 167.4335
3200.000000 92.431 165.9280
3250.000000 92.280 164.2835
3300.000000 92.086 162.8273
3350.000000 91.900 161.8252
3400.000000 91.809 160.9943
3450.000000 91.801 159.4405
3500.000000 91.733 156.8848
3550.000000 91.519 153.9910
3600.000000 91.178 151.3350
3650.000000 90.754 149.0957
3700.000000 90.274 147.2957
3750.000000 89.753 145.9395
3820.000000 88.975 144.8386
3870.000000 88.403 144.6642
3950.000000 87.501 145.3968
4000.000000 86.967 146.4109
4060.000000 86.369 148.0752
4120.000000 85.830 150.0508
4180.000000 85.341 152.1037
4250.000000 84.789 154.3296
4310.000000 84.248 155.9575
4370.000000 83.550 157.8177
4440.000000 82.458 161.3421
4500.000000 81.250 167.5625
4550.000000 80.269 178.2757
4620.000000 80.577 -154.1328
4680.000000 83.138 -135.3854
4750.000000 86.337 -133.6058
4820.000000 88.079 -142.5699
4870.000000 88.405 -148.9412
4940.000000 88.217 -152.9233
5000.000000 88.105 -151.5897
5080.000000 88.580 -146.4268
5150.000000 89.664 -141.9685
5220.000000 91.194 -140.1352
5300.000000 93.100 -142.5239
5380.000000 94.824 -149.2481
5450.000000 96.033 -157.7598
5520.000000 96.912 -167.8976
5600.000000 97.489 179.2971
