* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 14, 2024 2:53:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Eikon Hy Solid) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 89.528 -125.8402
20.600000 89.561 -126.4107
20.900000 89.596 -127.0238
21.200001 89.632 -127.6456
21.400000 89.658 -128.0672
21.799999 89.711 -128.9221
22.000000 89.739 -129.3467
22.400000 89.795 -130.1598
22.700001 89.838 -130.7191
23.000000 89.881 -131.2307
23.299999 89.925 -131.7047
23.600000 89.966 -132.1595
24.000000 90.015 -132.7659
24.299999 90.043 -133.2307
24.700001 90.068 -133.8570
25.000000 90.082 -134.3198
25.400000 90.103 -134.9172
25.799999 90.136 -135.5027
26.200001 90.184 -136.1032
26.500000 90.227 -136.5747
26.900000 90.284 -137.2223
27.200001 90.321 -137.7008
27.600000 90.360 -138.2943
28.000000 90.389 -138.8229
28.500000 90.423 -139.4387
29.000000 90.459 -140.1001
29.500000 90.492 -140.8375
30.000000 90.516 -141.5546
30.400000 90.533 -142.0304
30.700001 90.550 -142.3178
31.100000 90.579 -142.6426
31.500000 90.611 -142.9606
32.000000 90.642 -143.4054
32.500000 90.654 -143.8696
33.000000 90.660 -144.2789
33.500000 90.685 -144.6313
34.000000 90.735 -144.9984
34.500000 90.794 -145.4168
35.000000 90.842 -145.8336
35.500000 90.876 -146.1888
36.000000 90.903 -146.5132
36.500000 90.930 -146.9091
37.000000 90.952 -147.4334
37.500000 90.966 -148.0311
38.200001 90.982 -148.7876
38.700001 91.004 -149.2025
39.500000 91.058 -149.7197
40.000000 91.093 -149.9951
40.599998 91.135 -150.2926
41.200001 91.182 -150.5935
41.799999 91.236 -150.9611
42.500000 91.301 -151.5236
43.099998 91.357 -152.1256
43.700001 91.410 -152.8250
44.400002 91.461 -153.6904
45.000000 91.493 -154.3592
45.500000 91.512 -154.8084
46.200001 91.537 -155.2978
46.799999 91.561 -155.6820
47.500000 91.590 -156.1786
48.200001 91.627 -156.7364
48.700001 91.657 -157.1621
49.400002 91.694 -157.7702
50.000000 91.707 -158.2604
50.799999 91.693 -158.8448
51.500000 91.668 -159.3796
52.200001 91.645 -160.0111
53.000000 91.628 -160.7565
53.799999 91.622 -161.3492
54.500000 91.619 -161.7103
55.200001 91.612 -162.0530
56.000000 91.588 -162.6102
57.000000 91.532 -163.4463
58.000000 91.494 -164.1071
59.000000 91.465 -164.6785
60.000000 91.395 -165.0126
60.799999 91.350 -165.0566
61.500000 91.340 -165.0933
62.200001 91.346 -165.1966
63.000000 91.352 -165.3762
64.000000 91.341 -165.5700
65.000000 91.331 -165.6013
66.000000 91.361 -165.7649
67.000000 91.386 -166.2917
68.000000 91.373 -166.8741
69.000000 91.336 -167.2962
70.000000 91.296 -167.6281
71.000000 91.265 -167.9573
72.000000 91.249 -168.1927
73.000000 91.239 -168.2776
74.000000 91.218 -168.2856
75.000000 91.203 -168.3327
76.199997 91.204 -168.6052
77.500000 91.187 -168.8662
78.800003 91.178 -169.0949
80.000000 91.184 -169.5164
81.199997 91.183 -169.8177
82.500000 91.166 -169.9711
83.800003 91.117 -170.0432
85.000000 91.072 -170.0509
86.199997 91.032 -170.0999
87.500000 91.007 -170.1208
88.500000 90.989 -170.0872
90.000000 90.943 -169.9288
91.199997 90.906 -169.8506
92.500000 90.902 -169.6366
93.800003 90.930 -169.2230
95.000000 90.955 -168.8067
96.199997 90.979 -168.4878
97.500000 91.006 -168.1520
98.800003 91.038 -167.8630
100.000000 91.073 -167.7437
101.500000 91.155 -167.4494
103.000000 91.266 -167.2011
104.400002 91.365 -167.1102
106.000000 91.503 -167.1142
107.500000 91.627 -167.3422
109.000000 91.741 -167.6942
110.599998 91.861 -168.0834
112.000000 91.943 -168.4070
113.800003 92.043 -168.8834
115.000000 92.116 -169.2607
117.199997 92.238 -170.0898
118.000000 92.280 -170.4516
120.599998 92.385 -171.6012
122.000000 92.417 -172.1594
124.099998 92.453 -173.0099
125.000000 92.470 -173.4066
126.500000 92.495 -174.0705
128.000000 92.508 -174.6532
131.500000 92.489 -175.9476
132.000000 92.484 -176.1175
134.000000 92.460 -176.7321
136.000000 92.426 -177.2802
138.000000 92.392 -177.7092
140.000000 92.367 -177.9457
143.000000 92.361 -178.1198
145.000000 92.388 -178.1400
147.500000 92.458 -178.3199
150.000000 92.561 -178.6906
152.500000 92.648 -179.3300
155.000000 92.661 179.6848
157.500000 92.652 178.8417
160.000000 92.636 178.1222
162.500000 92.652 177.6316
165.000000 92.725 177.3131
167.500000 92.781 176.7264
170.000000 92.816 175.9956
172.500000 92.845 175.1669
175.000000 92.866 174.3038
177.500000 92.890 173.4561
180.000000 92.906 172.5983
182.500000 92.901 171.7193
185.000000 92.891 170.8676
187.500000 92.882 170.0303
190.000000 92.870 169.0892
192.500000 92.833 168.0776
195.000000 92.774 166.8970
197.500000 92.719 165.8709
200.000000 92.661 165.2220
203.000000 92.575 164.3081
206.000000 92.485 163.4995
209.000000 92.387 162.6480
212.000000 92.304 161.7041
214.000000 92.243 161.1880
218.000000 92.093 160.5103
220.000000 92.016 160.1847
224.000000 91.872 159.2772
227.000000 91.766 158.8056
230.000000 91.668 158.3948
233.000000 91.581 157.8896
236.000000 91.501 157.4233
240.000000 91.372 156.8774
243.000000 91.249 156.3005
247.000000 91.096 155.4788
250.000000 90.972 155.0335
254.000000 90.800 154.5299
258.000000 90.627 154.1201
262.000000 90.442 153.8056
265.000000 90.306 153.6881
269.000000 90.132 153.6334
272.000000 89.999 153.6427
276.000000 89.825 153.7524
280.000000 89.681 153.9817
285.000000 89.537 154.3076
290.000000 89.387 154.6615
295.000000 89.231 154.9355
300.000000 89.116 155.1232
304.000000 89.030 155.2731
307.000000 88.963 155.4671
311.000000 88.874 155.7915
315.000000 88.789 155.9873
320.000000 88.697 156.0629
325.000000 88.600 156.2213
330.000000 88.491 156.4528
335.000000 88.378 156.6096
340.000000 88.257 156.7737
345.000000 88.139 157.0757
350.000000 88.040 157.4302
355.000000 87.953 157.7715
360.000000 87.853 158.1489
365.000000 87.743 158.5649
370.000000 87.646 159.0136
375.000000 87.558 159.5124
382.000000 87.442 160.2524
387.000000 87.373 160.7565
395.000000 87.277 161.5386
400.000000 87.232 162.0951
406.000000 87.194 162.7938
412.000000 87.148 163.1854
418.000000 87.092 163.5566
425.000000 87.022 164.0688
431.000000 86.973 164.5551
437.000000 86.919 165.0201
444.000000 86.848 165.5760
450.000000 86.786 166.1745
455.000000 86.740 166.6880
462.000000 86.674 167.3941
468.000000 86.618 168.0467
475.000000 86.570 168.8530
482.000000 86.541 169.6625
487.000000 86.534 170.2361
494.000000 86.526 171.0924
500.000000 86.522 171.8647
508.000000 86.522 172.8761
515.000000 86.534 173.7539
522.000000 86.559 174.5746
530.000000 86.600 175.5121
538.000000 86.670 176.4212
545.000000 86.751 177.1787
552.000000 86.836 177.8640
560.000000 86.944 178.5585
570.000000 87.106 179.1745
580.000000 87.274 179.5418
590.000000 87.432 179.6704
600.000000 87.576 179.5070
608.000000 87.679 179.2751
615.000000 87.756 179.0134
622.000000 87.822 178.6977
630.000000 87.881 178.2657
640.000000 87.924 177.7263
650.000000 87.944 177.2322
660.000000 87.943 176.7517
670.000000 87.922 176.3760
680.000000 87.886 176.0957
690.000000 87.846 175.9340
700.000000 87.810 175.8809
710.000000 87.773 175.9159
720.000000 87.743 176.0267
730.000000 87.720 176.1837
740.000000 87.703 176.3492
750.000000 87.689 176.5536
762.000000 87.681 176.9354
775.000000 87.703 177.4543
788.000000 87.768 177.8988
800.000000 87.857 178.0995
812.000000 87.949 178.1068
825.000000 88.042 177.9207
838.000000 88.133 177.5794
850.000000 88.210 177.1236
862.000000 88.270 176.5264
875.000000 88.310 175.7300
885.000000 88.320 175.0709
900.000000 88.306 174.1547
912.000000 88.276 173.4538
925.000000 88.229 172.7480
938.000000 88.173 172.1421
950.000000 88.119 171.6105
962.000000 88.061 171.0712
975.000000 87.986 170.4592
988.000000 87.899 169.8698
1000.000000 87.817 169.3298
1015.000000 87.708 168.5060
1030.000000 87.556 167.5056
1044.000000 87.337 166.5400
1060.000000 86.962 165.9563
1075.000000 86.574 166.6453
1090.000000 86.304 168.2079
1106.000000 86.162 169.8275
1120.000000 86.095 170.8863
1138.000000 86.023 171.9070
1150.000000 85.970 172.4666
1172.000000 85.867 173.4637
1180.000000 85.827 173.8537
1206.000000 85.709 175.1714
1220.000000 85.665 175.9063
1241.000000 85.606 176.8727
1250.000000 85.572 177.2730
1265.000000 85.508 178.0306
1280.000000 85.453 178.8924
1315.000000 85.393 -179.0299
1320.000000 85.391 -178.7424
1340.000000 85.387 -177.6457
1360.000000 85.390 -176.6307
1380.000000 85.404 -175.6645
1400.000000 85.419 -174.7599
1430.000000 85.430 -173.4487
1450.000000 85.436 -172.5005
1475.000000 85.460 -171.2348
1500.000000 85.512 -169.9475
1525.000000 85.596 -168.7310
1550.000000 85.708 -167.6826
1575.000000 85.830 -166.9209
1600.000000 85.937 -166.5587
1625.000000 85.970 -166.3894
1650.000000 85.936 -165.8518
1675.000000 85.920 -164.7891
1700.000000 85.956 -163.6794
1725.000000 86.007 -162.6983
1750.000000 86.053 -161.7370
1775.000000 86.100 -160.6886
1800.000000 86.158 -159.5434
1825.000000 86.231 -158.3592
1850.000000 86.317 -157.1506
1875.000000 86.415 -155.8751
1900.000000 86.535 -154.5257
1925.000000 86.687 -153.1567
1950.000000 86.870 -151.8435
1975.000000 87.079 -150.6325
2000.000000 87.311 -149.5416
2030.000000 87.617 -148.3943
2060.000000 87.951 -147.4929
2090.000000 88.299 -146.9242
2120.000000 88.645 -146.6945
2140.000000 88.865 -146.7030
2180.000000 89.265 -146.9072
2200.000000 89.451 -147.0255
2240.000000 89.816 -147.2594
2270.000000 90.096 -147.4524
2300.000000 90.388 -147.7202
2330.000000 90.691 -148.1261
2360.000000 91.001 -148.7069
2400.000000 91.412 -149.7970
2430.000000 91.705 -150.8711
2470.000000 92.067 -152.4972
2500.000000 92.323 -153.8351
2540.000000 92.645 -155.8042
2580.000000 92.942 -157.9692
2620.000000 93.212 -160.3623
2650.000000 93.390 -162.3234
2690.000000 93.578 -165.1017
2720.000000 93.680 -167.2286
2760.000000 93.774 -170.0506
2800.000000 93.825 -172.8170
2850.000000 93.839 -176.1736
2900.000000 93.805 -179.4215
2950.000000 93.725 177.4477
3000.000000 93.596 174.4950
3040.000000 93.465 172.3485
3070.000000 93.363 170.8899
3110.000000 93.235 169.0855
3150.000000 93.122 167.2871
3200.000000 92.978 164.9444
3250.000000 92.828 162.5464
3300.000000 92.674 159.8975
3350.000000 92.461 156.8416
3400.000000 92.134 153.7277
3450.000000 91.710 150.9926
3500.000000 91.233 148.7526
3550.000000 90.734 146.9381
3600.000000 90.222 145.4526
3650.000000 89.700 144.2226
3700.000000 89.163 143.2028
3750.000000 88.606 142.3646
3820.000000 87.777 141.4896
3870.000000 87.134 141.1113
3950.000000 85.977 141.1283
4000.000000 85.140 141.8144
4060.000000 84.005 144.1316
4120.000000 82.869 149.3032
4180.000000 82.098 156.4341
4250.000000 81.431 162.1773
4310.000000 80.430 167.9807
4370.000000 79.379 179.9456
4440.000000 79.134 -158.9734
4500.000000 80.269 -139.7429
4550.000000 82.074 -126.7924
4620.000000 85.303 -116.8758
4680.000000 88.124 -116.6950
4750.000000 90.785 -124.9417
4820.000000 92.226 -138.4401
4870.000000 92.444 -147.9860
4940.000000 91.969 -157.2681
5000.000000 91.358 -160.1097
5080.000000 91.012 -158.3721
5150.000000 91.405 -155.2207
5220.000000 92.334 -153.3146
5300.000000 93.784 -154.2778
5380.000000 95.365 -159.4106
5450.000000 96.621 -167.4665
5520.000000 97.559 -178.4958
5600.000000 98.021 166.2624
5700.000000 97.414 146.3754
