* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 8, 2024 9:15:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (Or SL) L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 83.978 -125.3188
20.600000 84.018 -125.8142
20.900000 84.069 -126.3751
21.200001 84.125 -126.9868
21.400000 84.162 -127.4230
21.799999 84.224 -128.3288
22.000000 84.246 -128.7724
22.400000 84.276 -129.5780
22.700001 84.291 -130.0875
23.000000 84.307 -130.5307
23.299999 84.330 -130.9487
23.600000 84.361 -131.3868
24.000000 84.407 -132.0431
24.299999 84.440 -132.5750
24.700001 84.479 -133.2654
25.000000 84.506 -133.7219
25.400000 84.548 -134.2302
25.799999 84.599 -134.6753
26.200001 84.652 -135.1408
26.500000 84.686 -135.5311
26.900000 84.714 -136.0919
27.200001 84.724 -136.5146
27.600000 84.730 -137.0501
28.000000 84.738 -137.5524
28.500000 84.753 -138.1501
29.000000 84.764 -138.6752
29.500000 84.770 -139.0479
30.000000 84.787 -139.3139
30.400000 84.814 -139.5861
30.700001 84.836 -139.8851
31.100000 84.852 -140.3902
31.500000 84.847 -140.8935
32.000000 84.828 -141.2813
32.500000 84.837 -141.3360
33.000000 84.891 -141.2817
33.500000 84.959 -141.3491
34.000000 85.001 -141.5004
34.500000 85.024 -141.5621
35.000000 85.066 -141.5166
35.500000 85.141 -141.5292
36.000000 85.223 -141.6946
36.500000 85.284 -141.9035
37.000000 85.333 -142.0178
37.500000 85.400 -142.0831
38.200001 85.545 -142.4635
38.700001 85.663 -143.0605
39.500000 85.818 -144.2041
40.000000 85.884 -144.7286
40.599998 85.948 -145.0277
41.200001 86.019 -145.1574
41.799999 86.099 -145.4944
42.500000 86.159 -146.3437
43.099998 86.164 -147.1580
43.700001 86.166 -147.7999
44.400002 86.210 -148.5604
45.000000 86.251 -149.4602
45.500000 86.258 -150.2434
46.200001 86.253 -150.9967
46.799999 86.279 -151.3321
47.500000 86.326 -151.7423
48.200001 86.331 -152.3198
48.700001 86.305 -152.7681
49.400002 86.257 -153.3820
50.000000 86.228 -153.8391
50.799999 86.220 -154.2055
51.500000 86.240 -154.3755
52.200001 86.250 -154.6295
53.000000 86.223 -155.0214
53.799999 86.198 -155.3520
54.500000 86.202 -155.5918
55.200001 86.209 -155.8088
56.000000 86.196 -155.9899
57.000000 86.175 -156.1385
58.000000 86.205 -156.3519
59.000000 86.251 -156.6293
60.000000 86.261 -156.8354
60.799999 86.255 -157.1011
61.500000 86.247 -157.4464
62.200001 86.245 -157.7412
63.000000 86.258 -157.8973
64.000000 86.278 -157.8742
65.000000 86.293 -157.7596
66.000000 86.314 -157.7882
67.000000 86.334 -158.0055
68.000000 86.344 -158.2816
69.000000 86.352 -158.3656
70.000000 86.390 -158.3358
71.000000 86.424 -158.4726
72.000000 86.433 -158.5486
73.000000 86.458 -158.4555
74.000000 86.496 -158.3689
75.000000 86.532 -158.3856
76.199997 86.569 -158.5554
77.500000 86.606 -158.7199
78.800003 86.663 -158.7812
80.000000 86.730 -158.8797
81.199997 86.796 -158.9212
82.500000 86.873 -158.9890
83.800003 86.948 -159.0508
85.000000 87.024 -159.0123
86.199997 87.108 -159.0867
87.500000 87.202 -159.3866
88.500000 87.266 -159.6772
90.000000 87.357 -160.0780
91.199997 87.459 -160.4982
92.500000 87.576 -161.0793
93.800003 87.663 -161.6379
95.000000 87.718 -162.1851
96.199997 87.765 -162.7311
97.500000 87.814 -163.3403
98.800003 87.854 -163.9761
100.000000 87.885 -164.5373
101.500000 87.913 -165.1577
103.000000 87.927 -165.7327
104.400002 87.938 -166.1814
106.000000 87.955 -166.6268
107.500000 87.966 -167.0863
109.000000 87.970 -167.5031
110.599998 87.985 -167.8268
112.000000 88.006 -168.1079
113.800003 88.037 -168.4477
115.000000 88.064 -168.6470
117.199997 88.125 -169.0435
118.000000 88.146 -169.1930
120.599998 88.217 -169.6779
122.000000 88.259 -169.9293
124.099998 88.333 -170.3265
125.000000 88.369 -170.5168
126.500000 88.434 -170.8596
128.000000 88.503 -171.2565
131.500000 88.657 -172.4421
132.000000 88.678 -172.6265
134.000000 88.760 -173.3938
136.000000 88.838 -174.2575
138.000000 88.903 -175.1732
140.000000 88.957 -176.0749
143.000000 89.022 -177.5134
145.000000 89.055 -178.5107
147.500000 89.081 -179.8057
150.000000 89.089 178.8325
152.500000 89.073 177.5305
155.000000 89.032 176.4039
157.500000 88.993 175.3781
160.000000 88.957 174.3781
162.500000 88.920 173.4317
165.000000 88.879 172.4512
167.500000 88.825 171.4556
170.000000 88.756 170.4832
172.500000 88.679 169.5819
175.000000 88.596 168.7883
177.500000 88.510 168.1085
180.000000 88.428 167.5685
182.500000 88.361 167.1487
185.000000 88.317 166.7880
187.500000 88.299 166.3808
190.000000 88.295 165.8311
192.500000 88.293 165.0843
195.000000 88.273 164.1808
197.500000 88.227 163.2245
200.000000 88.159 162.3045
203.000000 88.063 161.2725
206.000000 87.955 160.3453
209.000000 87.839 159.5327
212.000000 87.720 158.8197
214.000000 87.643 158.3976
218.000000 87.494 157.6100
220.000000 87.424 157.2201
224.000000 87.286 156.4424
227.000000 87.179 155.8749
230.000000 87.070 155.2959
233.000000 86.961 154.7186
236.000000 86.847 154.1732
240.000000 86.690 153.4825
243.000000 86.568 152.9906
247.000000 86.399 152.3858
250.000000 86.264 151.9789
254.000000 86.080 151.5150
258.000000 85.897 151.1188
262.000000 85.716 150.7844
265.000000 85.582 150.5784
269.000000 85.406 150.3749
272.000000 85.273 150.2446
276.000000 85.095 150.1088
280.000000 84.920 150.0169
285.000000 84.706 149.9803
290.000000 84.495 150.0359
295.000000 84.288 150.1478
300.000000 84.091 150.2525
304.000000 83.936 150.3339
307.000000 83.817 150.4244
311.000000 83.654 150.5722
315.000000 83.492 150.7763
320.000000 83.292 151.0584
325.000000 83.090 151.3876
330.000000 82.889 151.8065
335.000000 82.690 152.3080
340.000000 82.496 152.8885
345.000000 82.302 153.5469
350.000000 82.110 154.2635
355.000000 81.924 155.0467
360.000000 81.747 155.9204
365.000000 81.576 156.8371
370.000000 81.404 157.8083
375.000000 81.231 158.9299
382.000000 81.010 160.7413
387.000000 80.874 162.1588
395.000000 80.700 164.6262
400.000000 80.629 166.3139
406.000000 80.587 168.3126
412.000000 80.577 170.1550
418.000000 80.592 171.8904
425.000000 80.630 173.7889
431.000000 80.683 175.3122
437.000000 80.746 176.7000
444.000000 80.822 178.2599
450.000000 80.904 179.6153
455.000000 80.989 -179.3117
462.000000 81.122 -177.9671
468.000000 81.249 -176.8773
475.000000 81.420 -175.7546
482.000000 81.600 -174.9193
487.000000 81.720 -174.4920
494.000000 81.875 -173.9892
500.000000 82.002 -173.6403
508.000000 82.156 -173.3085
515.000000 82.275 -173.0764
522.000000 82.381 -172.8642
530.000000 82.495 -172.5668
538.000000 82.610 -172.2826
545.000000 82.708 -172.0538
552.000000 82.805 -171.8584
560.000000 82.917 -171.6837
570.000000 83.051 -171.5310
580.000000 83.177 -171.4085
590.000000 83.293 -171.3280
600.000000 83.398 -171.2122
608.000000 83.484 -171.0759
615.000000 83.563 -170.9454
622.000000 83.647 -170.7813
630.000000 83.757 -170.5741
640.000000 83.919 -170.3832
650.000000 84.100 -170.3875
660.000000 84.290 -170.5861
670.000000 84.482 -171.0197
680.000000 84.663 -171.6900
690.000000 84.826 -172.5668
700.000000 84.963 -173.6387
710.000000 85.061 -174.8440
720.000000 85.122 -176.0649
730.000000 85.150 -177.2630
740.000000 85.148 -178.3918
750.000000 85.123 -179.4105
762.000000 85.076 179.5056
775.000000 85.007 178.4866
788.000000 84.920 177.6561
800.000000 84.840 177.0632
812.000000 84.765 176.5992
825.000000 84.699 176.2357
838.000000 84.656 175.8628
850.000000 84.623 175.3790
862.000000 84.575 174.7428
875.000000 84.485 174.0133
885.000000 84.389 173.5659
900.000000 84.229 173.2376
912.000000 84.114 173.2407
925.000000 84.015 173.3424
938.000000 83.939 173.4446
950.000000 83.880 173.5018
962.000000 83.829 173.5336
975.000000 83.778 173.5106
988.000000 83.727 173.4121
1000.000000 83.674 173.2485
1015.000000 83.588 172.9776
1030.000000 83.467 172.7416
1044.000000 83.325 172.7305
1060.000000 83.165 173.1254
1075.000000 83.056 173.7449
1090.000000 82.986 174.3569
1106.000000 82.940 174.8773
1120.000000 82.908 175.2135
1138.000000 82.865 175.5139
1150.000000 82.830 175.6642
1172.000000 82.748 175.9206
1180.000000 82.714 176.0119
1206.000000 82.583 176.3152
1220.000000 82.496 176.5477
1241.000000 82.352 177.1828
1250.000000 82.294 177.5536
1265.000000 82.211 178.2463
1280.000000 82.145 178.9965
1315.000000 82.042 -179.1624
1320.000000 82.032 -178.8949
1340.000000 82.004 -177.8155
1360.000000 81.998 -176.7405
1380.000000 82.014 -175.6970
1400.000000 82.050 -174.7143
1430.000000 82.144 -173.4480
1450.000000 82.223 -172.8089
1475.000000 82.327 -172.2820
1500.000000 82.423 -172.0984
1525.000000 82.493 -172.3121
1550.000000 82.495 -172.9915
1575.000000 82.333 -173.9147
1600.000000 81.993 -173.7454
1625.000000 81.721 -172.2566
1650.000000 81.449 -171.1790
1675.000000 80.985 -168.5225
1700.000000 80.769 -162.4398
1725.000000 81.130 -156.5582
1750.000000 81.714 -153.4170
1775.000000 82.231 -152.0102
1800.000000 82.651 -151.2611
1825.000000 83.008 -150.7345
1850.000000 83.329 -150.2984
1875.000000 83.629 -149.9166
1900.000000 83.918 -149.5938
1925.000000 84.201 -149.3405
1950.000000 84.481 -149.1502
1975.000000 84.762 -149.0347
2000.000000 85.044 -149.0051
2030.000000 85.385 -149.1138
2060.000000 85.723 -149.4041
2090.000000 86.050 -149.8527
2120.000000 86.368 -150.4112
2140.000000 86.577 -150.8344
2180.000000 86.998 -151.8350
2200.000000 87.211 -152.4325
2240.000000 87.637 -153.9597
2270.000000 87.934 -155.4367
2300.000000 88.197 -157.0943
2330.000000 88.430 -158.8517
2360.000000 88.636 -160.7228
2400.000000 88.858 -163.3647
2430.000000 88.978 -165.3510
2470.000000 89.094 -167.8701
2500.000000 89.161 -169.6458
2540.000000 89.239 -171.9447
2580.000000 89.297 -174.2464
2620.000000 89.330 -176.5126
2650.000000 89.342 -178.1790
2690.000000 89.340 179.6074
2720.000000 89.321 177.9643
2760.000000 89.275 175.8428
2800.000000 89.209 173.8220
2850.000000 89.108 171.4459
2900.000000 88.998 169.2043
2950.000000 88.877 166.9474
3000.000000 88.728 164.7382
3040.000000 88.591 163.0672
3070.000000 88.484 161.8758
3110.000000 88.340 160.3146
3150.000000 88.187 158.7034
3200.000000 87.955 156.6890
3250.000000 87.677 154.9257
3300.000000 87.392 153.5740
3350.000000 87.153 152.4369
3400.000000 86.951 150.9977
3450.000000 86.703 149.1506
3500.000000 86.368 147.3201
3550.000000 85.970 145.8067
3600.000000 85.537 144.6466
3650.000000 85.082 143.8094
3700.000000 84.611 143.2884
3750.000000 84.130 143.0834
3820.000000 83.445 143.3110
3870.000000 82.951 143.8433
3950.000000 82.152 145.3781
4000.000000 81.654 146.8185
4060.000000 81.076 149.1129
4120.000000 80.544 151.8130
4180.000000 80.013 154.6735
4250.000000 79.320 158.8298
4310.000000 78.678 163.8310
4370.000000 78.075 170.8986
4440.000000 77.661 -177.1969
4500.000000 77.987 -163.5961
4550.000000 79.083 -151.7867
4620.000000 81.664 -141.6888
4680.000000 83.916 -142.4663
4750.000000 85.553 -150.8805
4820.000000 85.940 -159.6578
4870.000000 85.804 -163.0167
4940.000000 85.655 -163.3406
5000.000000 85.874 -161.3161
5080.000000 86.727 -158.5175
5150.000000 87.839 -157.7499
5220.000000 89.122 -159.2286
5300.000000 90.626 -163.8899
5380.000000 92.022 -171.6185
5450.000000 93.064 179.2363
5520.000000 93.835 167.9137
