* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 8, 2024 9:23:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (Or SL) R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.314 -102.3683
20.600000 81.391 -103.0690
20.900000 81.472 -103.8121
21.200001 81.551 -104.5296
21.400000 81.604 -104.9895
21.799999 81.711 -105.8678
22.000000 81.765 -106.2877
22.400000 81.868 -107.0859
22.700001 81.939 -107.6378
23.000000 82.005 -108.1385
23.299999 82.067 -108.5850
23.600000 82.129 -108.9871
24.000000 82.219 -109.4960
24.299999 82.292 -109.8949
24.700001 82.393 -110.4882
25.000000 82.469 -110.9803
25.400000 82.566 -111.6673
25.799999 82.656 -112.3421
26.200001 82.745 -112.9787
26.500000 82.815 -113.4397
26.900000 82.911 -114.0637
27.200001 82.984 -114.5559
27.600000 83.079 -115.2460
28.000000 83.168 -115.9481
28.500000 83.275 -116.7841
29.000000 83.381 -117.5410
29.500000 83.490 -118.2534
30.000000 83.596 -118.9972
30.400000 83.674 -119.6516
30.700001 83.725 -120.1735
31.100000 83.782 -120.8745
31.500000 83.833 -121.5213
32.000000 83.902 -122.1776
32.500000 83.992 -122.6821
33.000000 84.100 -123.1640
33.500000 84.200 -123.7384
34.000000 84.267 -124.3997
34.500000 84.307 -125.0796
35.000000 84.346 -125.7748
35.500000 84.401 -126.5503
36.000000 84.467 -127.4052
36.500000 84.527 -128.2095
37.000000 84.581 -128.8318
37.500000 84.636 -129.2890
38.200001 84.704 -129.8969
38.700001 84.729 -130.3815
39.500000 84.750 -131.1477
40.000000 84.778 -131.6761
40.599998 84.818 -132.4821
41.200001 84.844 -133.4021
41.799999 84.863 -134.2668
42.500000 84.909 -135.1682
43.099998 84.962 -135.8766
43.700001 85.007 -136.4589
44.400002 85.039 -136.9545
45.000000 85.045 -137.3079
45.500000 85.039 -137.5740
46.200001 85.052 -137.9430
46.799999 85.103 -138.4272
47.500000 85.156 -139.2727
48.200001 85.139 -140.0417
48.700001 85.095 -140.3393
49.400002 85.036 -140.4971
50.000000 85.000 -140.5786
50.799999 84.986 -140.6851
51.500000 85.010 -140.8181
52.200001 85.036 -141.0058
53.000000 85.043 -141.0278
53.799999 85.074 -140.8051
54.500000 85.131 -140.6909
55.200001 85.191 -140.6897
56.000000 85.269 -140.6741
57.000000 85.404 -140.7193
58.000000 85.558 -140.9640
59.000000 85.710 -141.4016
60.000000 85.844 -142.0942
60.799999 85.918 -142.8271
61.500000 85.948 -143.4712
62.200001 85.961 -144.0004
63.000000 85.980 -144.5181
64.000000 86.006 -145.1540
65.000000 86.038 -145.6146
66.000000 86.091 -146.0266
67.000000 86.128 -146.4073
68.000000 86.173 -146.6102
69.000000 86.229 -146.8534
70.000000 86.259 -147.0905
71.000000 86.279 -147.3204
72.000000 86.312 -147.6724
73.000000 86.383 -148.1598
74.000000 86.472 -148.7056
75.000000 86.531 -149.0743
76.199997 86.534 -149.0698
77.500000 86.561 -148.7643
78.800003 86.649 -149.3822
80.000000 86.707 -150.1863
81.199997 86.782 -150.8073
82.500000 86.854 -151.4547
83.800003 86.921 -151.8830
85.000000 86.995 -152.1682
86.199997 87.052 -152.5684
87.500000 87.095 -153.0775
88.500000 87.133 -153.4583
90.000000 87.200 -154.0521
91.199997 87.243 -154.5156
92.500000 87.292 -154.9083
93.800003 87.338 -155.2465
95.000000 87.375 -155.5974
96.199997 87.414 -156.0142
97.500000 87.480 -156.4870
98.800003 87.557 -156.9612
100.000000 87.619 -157.3839
101.500000 87.685 -157.9910
103.000000 87.748 -158.6980
104.400002 87.800 -159.3798
106.000000 87.839 -160.1783
107.500000 87.872 -160.8912
109.000000 87.899 -161.5468
110.599998 87.918 -162.2026
112.000000 87.937 -162.7556
113.800003 87.958 -163.4664
115.000000 87.963 -163.9270
117.199997 87.958 -164.7134
118.000000 87.953 -164.9542
120.599998 87.945 -165.4711
122.000000 87.956 -165.6432
124.099998 87.995 -165.8150
125.000000 88.020 -165.9192
126.500000 88.071 -166.1400
128.000000 88.135 -166.3958
131.500000 88.309 -167.3096
132.000000 88.335 -167.4762
134.000000 88.432 -168.1870
136.000000 88.516 -169.0152
138.000000 88.589 -169.9825
140.000000 88.650 -171.0041
143.000000 88.720 -172.5482
145.000000 88.749 -173.6137
147.500000 88.763 -174.9460
150.000000 88.748 -176.2121
152.500000 88.716 -177.3285
155.000000 88.683 -178.3002
157.500000 88.672 -179.2673
160.000000 88.662 179.6906
162.500000 88.633 178.6030
165.000000 88.590 177.5278
167.500000 88.536 176.5244
170.000000 88.471 175.5921
172.500000 88.400 174.7372
175.000000 88.328 173.9938
177.500000 88.259 173.3391
180.000000 88.198 172.7255
182.500000 88.146 172.0917
185.000000 88.091 171.4371
187.500000 88.032 170.8067
190.000000 87.975 170.2065
192.500000 87.917 169.6460
195.000000 87.859 169.0895
197.500000 87.801 168.5215
200.000000 87.744 167.9486
203.000000 87.669 167.2592
206.000000 87.586 166.6221
209.000000 87.501 166.0634
212.000000 87.423 165.5547
214.000000 87.377 165.2057
218.000000 87.279 164.4613
220.000000 87.224 164.0773
224.000000 87.106 163.3755
227.000000 87.021 162.9004
230.000000 86.941 162.4264
233.000000 86.859 161.9625
236.000000 86.771 161.4918
240.000000 86.647 160.8909
243.000000 86.551 160.5154
247.000000 86.420 160.0577
250.000000 86.326 159.7428
254.000000 86.209 159.3286
258.000000 86.095 159.0071
262.000000 85.978 158.6203
265.000000 85.887 158.3549
269.000000 85.760 158.0244
272.000000 85.662 157.8047
276.000000 85.529 157.5450
280.000000 85.397 157.3737
285.000000 85.229 157.2249
290.000000 85.061 157.1193
295.000000 84.906 157.1346
300.000000 84.759 157.1741
304.000000 84.642 157.2126
307.000000 84.557 157.2563
311.000000 84.444 157.3694
315.000000 84.332 157.5594
320.000000 84.196 157.7969
325.000000 84.067 158.0491
330.000000 83.946 158.3192
335.000000 83.846 158.6061
340.000000 83.755 158.9260
345.000000 83.664 159.2162
350.000000 83.571 159.4643
355.000000 83.478 159.6952
360.000000 83.389 159.9672
365.000000 83.304 160.2145
370.000000 83.215 160.4374
375.000000 83.118 160.6589
382.000000 82.977 161.0422
387.000000 82.878 161.3851
395.000000 82.719 162.0958
400.000000 82.627 162.6245
406.000000 82.535 163.3125
412.000000 82.456 163.9596
418.000000 82.381 164.5496
425.000000 82.285 165.2763
431.000000 82.201 166.0061
437.000000 82.126 166.8115
444.000000 82.053 167.8297
450.000000 82.013 168.7824
455.000000 82.000 169.5754
462.000000 82.001 170.6146
468.000000 82.017 171.4717
475.000000 82.056 172.3788
482.000000 82.102 173.1248
487.000000 82.133 173.5622
494.000000 82.175 174.1067
500.000000 82.210 174.5518
508.000000 82.258 175.0527
515.000000 82.298 175.4493
522.000000 82.336 175.8256
530.000000 82.378 176.2352
538.000000 82.424 176.6229
545.000000 82.462 176.9238
552.000000 82.498 177.1939
560.000000 82.540 177.5026
570.000000 82.593 177.8840
580.000000 82.653 178.1971
590.000000 82.717 178.4545
600.000000 82.779 178.6481
608.000000 82.824 178.7623
615.000000 82.865 178.8388
622.000000 82.908 178.8996
630.000000 82.957 178.9090
640.000000 83.012 178.8652
650.000000 83.061 178.7738
660.000000 83.102 178.6217
670.000000 83.132 178.4253
680.000000 83.151 178.2256
690.000000 83.164 178.0378
700.000000 83.172 177.8325
710.000000 83.167 177.5884
720.000000 83.145 177.3888
730.000000 83.108 177.2393
740.000000 83.062 177.2017
750.000000 83.017 177.3155
762.000000 82.972 177.6319
775.000000 82.955 178.1282
788.000000 82.982 178.5827
800.000000 83.033 178.8309
812.000000 83.088 178.8669
825.000000 83.128 178.7103
838.000000 83.136 178.5335
850.000000 83.131 178.4630
862.000000 83.126 178.4733
875.000000 83.132 178.5325
885.000000 83.145 178.5685
900.000000 83.176 178.6070
912.000000 83.208 178.5609
925.000000 83.244 178.3930
938.000000 83.273 178.1038
950.000000 83.291 177.7762
962.000000 83.301 177.3950
975.000000 83.298 176.9161
988.000000 83.277 176.3915
1000.000000 83.246 175.8832
1015.000000 83.190 175.2074
1030.000000 83.107 174.4019
1044.000000 82.964 173.4769
1060.000000 82.672 172.8331
1075.000000 82.359 173.5021
1090.000000 82.177 175.0268
1106.000000 82.129 176.3557
1120.000000 82.120 177.0663
1138.000000 82.098 177.6787
1150.000000 82.072 178.0170
1172.000000 82.012 178.6570
1180.000000 81.990 178.9077
1206.000000 81.922 179.7568
1220.000000 81.886 -179.8092
1241.000000 81.821 -179.1198
1250.000000 81.792 -178.7842
1265.000000 81.746 -178.1837
1280.000000 81.705 -177.5294
1315.000000 81.632 -175.7791
1320.000000 81.625 -175.5092
1340.000000 81.609 -174.3871
1360.000000 81.618 -173.2328
1380.000000 81.649 -172.0863
1400.000000 81.702 -170.9891
1430.000000 81.809 -169.4993
1450.000000 81.894 -168.6110
1475.000000 82.009 -167.6625
1500.000000 82.123 -166.8556
1525.000000 82.233 -166.0892
1550.000000 82.346 -165.3568
1575.000000 82.468 -164.7078
1600.000000 82.577 -164.2963
1625.000000 82.626 -163.8916
1650.000000 82.658 -162.9264
1675.000000 82.777 -161.5903
1700.000000 82.967 -160.5866
1725.000000 83.162 -159.9636
1750.000000 83.346 -159.5068
1775.000000 83.525 -159.1363
1800.000000 83.700 -158.8432
1825.000000 83.868 -158.6208
1850.000000 84.028 -158.4284
1875.000000 84.185 -158.2232
1900.000000 84.346 -158.0089
1925.000000 84.512 -157.8142
1950.000000 84.684 -157.6579
1975.000000 84.860 -157.5421
2000.000000 85.039 -157.4664
2030.000000 85.256 -157.4161
2060.000000 85.477 -157.3672
2090.000000 85.715 -157.2933
2120.000000 85.989 -157.2416
2140.000000 86.196 -157.3067
2180.000000 86.653 -157.9556
2200.000000 86.882 -158.6029
2240.000000 87.294 -160.4462
2270.000000 87.548 -162.1138
2300.000000 87.755 -163.8776
2330.000000 87.924 -165.6406
2360.000000 88.070 -167.3531
2400.000000 88.244 -169.6902
2430.000000 88.346 -171.5299
2470.000000 88.438 -174.0007
2500.000000 88.476 -175.8179
2540.000000 88.492 -178.1017
2580.000000 88.485 179.7748
2620.000000 88.463 177.7549
2650.000000 88.437 176.2926
2690.000000 88.390 174.4121
2720.000000 88.347 173.0579
2760.000000 88.282 171.3327
2800.000000 88.212 169.6743
2850.000000 88.118 167.6415
2900.000000 88.013 165.6255
2950.000000 87.895 163.6171
3000.000000 87.755 161.5954
3040.000000 87.621 160.0016
3070.000000 87.511 158.8669
3110.000000 87.356 157.4615
3150.000000 87.205 156.1296
3200.000000 87.023 154.4069
3250.000000 86.828 152.5380
3300.000000 86.596 150.5191
3350.000000 86.304 148.4538
3400.000000 85.948 146.5414
3450.000000 85.541 144.9202
3500.000000 85.099 143.6282
3550.000000 84.632 142.6570
3600.000000 84.145 141.9952
3650.000000 83.642 141.6355
3700.000000 83.122 141.6095
3750.000000 82.588 141.9484
3820.000000 81.828 143.0734
3870.000000 81.279 144.3807
3950.000000 80.401 147.4894
4000.000000 79.863 150.2536
4060.000000 79.280 154.7523
4120.000000 78.922 160.4196
4180.000000 78.846 165.1489
4250.000000 78.615 168.4866
4310.000000 78.105 172.6509
4370.000000 77.586 -179.8407
4440.000000 77.438 -166.6875
4500.000000 78.133 -152.8543
4550.000000 79.497 -141.8237
4620.000000 82.347 -132.3673
4680.000000 84.993 -132.6342
4750.000000 87.386 -141.9439
4820.000000 88.428 -155.6940
4870.000000 88.390 -164.2979
4940.000000 87.784 -171.2637
5000.000000 87.313 -172.4119
5080.000000 87.319 -170.1683
5150.000000 87.972 -167.9982
5220.000000 89.059 -167.6483
5300.000000 90.589 -170.7155
5380.000000 92.126 -178.1499
5450.000000 93.234 171.9089
5520.000000 93.939 159.4324
5600.000000 94.068 143.3960
5700.000000 93.072 124.0971
