* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 8, 2024 9:17:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (Or SL) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 84.090 -123.8660
20.600000 84.120 -124.4441
20.900000 84.152 -125.0681
21.200001 84.185 -125.7042
21.400000 84.208 -126.1362
21.799999 84.258 -127.0078
22.000000 84.284 -127.4357
22.400000 84.339 -128.2427
22.700001 84.384 -128.7892
23.000000 84.431 -129.2869
23.299999 84.478 -129.7511
23.600000 84.525 -130.2034
24.000000 84.579 -130.8204
24.299999 84.611 -131.3059
24.700001 84.640 -131.9802
25.000000 84.655 -132.4927
25.400000 84.670 -133.1575
25.799999 84.688 -133.7758
26.200001 84.715 -134.3396
26.500000 84.743 -134.7365
26.900000 84.787 -135.2550
27.200001 84.819 -135.6483
27.600000 84.852 -136.1784
28.000000 84.869 -136.6951
28.500000 84.872 -137.2891
29.000000 84.869 -137.8270
29.500000 84.871 -138.3362
30.000000 84.880 -138.8019
30.400000 84.892 -139.1081
30.700001 84.905 -139.2935
31.100000 84.928 -139.5082
31.500000 84.950 -139.7290
32.000000 84.962 -140.0333
32.500000 84.952 -140.2870
33.000000 84.944 -140.4006
33.500000 84.973 -140.4367
34.000000 85.044 -140.5467
34.500000 85.128 -140.7465
35.000000 85.201 -140.8786
35.500000 85.275 -140.8583
36.000000 85.364 -140.8451
36.500000 85.454 -141.0734
37.000000 85.512 -141.5577
37.500000 85.539 -142.0849
38.200001 85.595 -142.6420
38.700001 85.681 -143.0704
39.500000 85.831 -144.1149
40.000000 85.890 -144.8286
40.599998 85.943 -145.5372
41.200001 86.010 -146.1476
41.799999 86.087 -146.7680
42.500000 86.157 -147.4023
43.099998 86.195 -147.7575
43.700001 86.218 -148.0146
44.400002 86.228 -148.4220
45.000000 86.225 -148.9876
45.500000 86.215 -149.5777
46.200001 86.203 -150.3713
46.799999 86.213 -150.8789
47.500000 86.262 -151.3740
48.200001 86.314 -151.9729
48.700001 86.329 -152.4518
49.400002 86.323 -153.0771
50.000000 86.311 -153.5446
50.799999 86.289 -154.0815
51.500000 86.259 -154.3836
52.200001 86.236 -154.5083
53.000000 86.237 -154.6910
53.799999 86.252 -155.1558
54.500000 86.263 -155.6702
55.200001 86.286 -156.0667
56.000000 86.340 -156.3861
57.000000 86.390 -156.8152
58.000000 86.380 -157.2225
59.000000 86.355 -157.5213
60.000000 86.338 -157.6777
60.799999 86.316 -157.7240
61.500000 86.283 -157.7927
62.200001 86.251 -157.9278
63.000000 86.240 -158.1821
64.000000 86.263 -158.5720
65.000000 86.279 -158.7737
66.000000 86.276 -158.7635
67.000000 86.275 -158.7233
68.000000 86.306 -158.7266
69.000000 86.349 -158.8424
70.000000 86.358 -158.9405
71.000000 86.354 -158.9502
72.000000 86.366 -159.0076
73.000000 86.387 -159.0812
74.000000 86.414 -159.0711
75.000000 86.449 -159.0321
76.199997 86.492 -159.0552
77.500000 86.539 -159.0112
78.800003 86.588 -158.9771
80.000000 86.638 -159.0411
81.199997 86.703 -159.1750
82.500000 86.768 -159.1055
83.800003 86.834 -159.0010
85.000000 86.894 -159.0709
86.199997 86.972 -159.2233
87.500000 87.064 -159.4181
88.500000 87.131 -159.5593
90.000000 87.240 -159.7547
91.199997 87.338 -159.9522
92.500000 87.439 -160.2210
93.800003 87.528 -160.5222
95.000000 87.608 -160.8955
96.199997 87.687 -161.3954
97.500000 87.768 -162.0033
98.800003 87.839 -162.6260
100.000000 87.894 -163.2137
101.500000 87.952 -163.9269
103.000000 88.002 -164.6216
104.400002 88.034 -165.2700
106.000000 88.053 -165.9765
107.500000 88.063 -166.5523
109.000000 88.070 -167.0562
110.599998 88.071 -167.5002
112.000000 88.073 -167.8185
113.800003 88.091 -168.1802
115.000000 88.111 -168.4030
117.199997 88.158 -168.7446
118.000000 88.180 -168.8499
120.599998 88.260 -169.2283
122.000000 88.309 -169.4703
124.099998 88.395 -169.8783
125.000000 88.437 -170.0894
126.500000 88.507 -170.4858
128.000000 88.574 -170.9295
131.500000 88.724 -172.1787
132.000000 88.745 -172.3675
134.000000 88.819 -173.1335
136.000000 88.885 -173.9230
138.000000 88.946 -174.7965
140.000000 89.003 -175.6950
143.000000 89.080 -177.1035
145.000000 89.122 -178.1194
147.500000 89.155 -179.4414
150.000000 89.167 179.1752
152.500000 89.150 177.8511
155.000000 89.102 176.6869
157.500000 89.052 175.6906
160.000000 89.017 174.7574
162.500000 88.988 173.7740
165.000000 88.949 172.7971
167.500000 88.902 171.8469
170.000000 88.846 170.9224
172.500000 88.779 170.0465
175.000000 88.706 169.2048
177.500000 88.629 168.4342
180.000000 88.549 167.7954
182.500000 88.471 167.2901
185.000000 88.408 166.8744
187.500000 88.368 166.4662
190.000000 88.345 165.9572
192.500000 88.327 165.3313
195.000000 88.303 164.6235
197.500000 88.268 163.8739
200.000000 88.222 163.1083
203.000000 88.154 162.1950
206.000000 88.077 161.3025
209.000000 87.990 160.4461
212.000000 87.898 159.6429
214.000000 87.833 159.1397
218.000000 87.704 158.1636
220.000000 87.638 157.6857
224.000000 87.494 156.7703
227.000000 87.379 156.1086
230.000000 87.262 155.4874
233.000000 87.142 154.9153
236.000000 87.017 154.3798
240.000000 86.852 153.7396
243.000000 86.727 153.3104
247.000000 86.555 152.8195
250.000000 86.424 152.4970
254.000000 86.257 152.1342
258.000000 86.099 151.8322
262.000000 85.945 151.5810
265.000000 85.832 151.4194
269.000000 85.681 151.2122
272.000000 85.570 151.0605
276.000000 85.423 150.8895
280.000000 85.277 150.7521
285.000000 85.101 150.5927
290.000000 84.927 150.4791
295.000000 84.758 150.3995
300.000000 84.589 150.3242
304.000000 84.446 150.2342
307.000000 84.337 150.1789
311.000000 84.193 150.1416
315.000000 84.049 150.1567
320.000000 83.867 150.2396
325.000000 83.682 150.3549
330.000000 83.496 150.5152
335.000000 83.311 150.7216
340.000000 83.124 150.9880
345.000000 82.939 151.3216
350.000000 82.758 151.7267
355.000000 82.581 152.1898
360.000000 82.408 152.6648
365.000000 82.234 153.1400
370.000000 82.051 153.6511
375.000000 81.864 154.2794
382.000000 81.605 155.3671
387.000000 81.425 156.2374
395.000000 81.142 157.8398
400.000000 80.977 159.0264
406.000000 80.803 160.6030
412.000000 80.651 162.2921
418.000000 80.528 164.1310
425.000000 80.431 166.3768
431.000000 80.394 168.2780
437.000000 80.389 170.0826
444.000000 80.407 172.0649
450.000000 80.443 173.6969
455.000000 80.488 174.9900
462.000000 80.567 176.6545
468.000000 80.647 177.9938
475.000000 80.754 179.3810
482.000000 80.862 -179.3846
487.000000 80.936 -178.5333
494.000000 81.042 -177.3266
500.000000 81.148 -176.2879
508.000000 81.313 -175.0152
515.000000 81.470 -174.0892
522.000000 81.623 -173.3369
530.000000 81.791 -172.5450
538.000000 81.963 -171.7971
545.000000 82.114 -171.2132
552.000000 82.268 -170.6726
560.000000 82.457 -170.0739
570.000000 82.720 -169.4751
580.000000 83.004 -169.2237
590.000000 83.285 -169.3619
600.000000 83.532 -169.8787
608.000000 83.697 -170.4231
615.000000 83.821 -170.9267
622.000000 83.929 -171.4310
630.000000 84.040 -172.0169
640.000000 84.168 -172.6901
650.000000 84.293 -173.3841
660.000000 84.409 -174.1884
670.000000 84.509 -175.1197
680.000000 84.582 -176.1511
690.000000 84.627 -177.2022
700.000000 84.642 -178.2173
710.000000 84.628 -179.1646
720.000000 84.593 -179.9764
730.000000 84.547 179.3425
740.000000 84.495 178.7821
750.000000 84.441 178.3575
762.000000 84.384 177.9575
775.000000 84.329 177.6331
788.000000 84.282 177.4099
800.000000 84.251 177.2738
812.000000 84.235 177.1428
825.000000 84.230 176.9677
838.000000 84.239 176.7452
850.000000 84.262 176.4205
862.000000 84.290 175.8771
875.000000 84.294 175.0123
885.000000 84.259 174.2428
900.000000 84.140 173.2293
912.000000 84.016 172.6968
925.000000 83.881 172.3622
938.000000 83.753 172.1894
950.000000 83.640 172.1274
962.000000 83.533 172.1564
975.000000 83.427 172.2307
988.000000 83.330 172.3265
1000.000000 83.244 172.4094
1015.000000 83.130 172.5138
1030.000000 83.001 172.6722
1044.000000 82.866 172.9941
1060.000000 82.721 173.7037
1075.000000 82.626 174.5894
1090.000000 82.579 175.4573
1106.000000 82.561 176.2336
1120.000000 82.557 176.7882
1138.000000 82.560 177.3750
1150.000000 82.562 177.6877
1172.000000 82.557 178.1182
1180.000000 82.552 178.2518
1206.000000 82.524 178.6126
1220.000000 82.491 178.7769
1241.000000 82.422 179.2264
1250.000000 82.396 179.4953
1265.000000 82.364 179.9602
1280.000000 82.343 -179.5849
1315.000000 82.312 -178.5891
1320.000000 82.309 -178.4561
1340.000000 82.295 -177.9455
1360.000000 82.278 -177.4546
1380.000000 82.257 -176.9310
1400.000000 82.235 -176.3401
1430.000000 82.218 -175.3369
1450.000000 82.228 -174.6616
1475.000000 82.262 -173.8955
1500.000000 82.314 -173.2841
1525.000000 82.378 -172.9723
1550.000000 82.412 -173.1853
1575.000000 82.314 -173.8242
1600.000000 82.053 -173.6098
1625.000000 81.856 -172.2615
1650.000000 81.648 -171.5047
1675.000000 81.222 -169.3788
1700.000000 80.994 -163.8014
1725.000000 81.326 -158.1443
1750.000000 81.897 -155.1200
1775.000000 82.410 -153.8245
1800.000000 82.830 -153.1556
1825.000000 83.194 -152.6968
1850.000000 83.531 -152.3562
1875.000000 83.854 -152.1319
1900.000000 84.168 -152.0415
1925.000000 84.473 -152.0949
1950.000000 84.768 -152.2990
1975.000000 85.049 -152.6283
2000.000000 85.319 -153.0502
2030.000000 85.629 -153.6783
2060.000000 85.923 -154.4477
2090.000000 86.198 -155.3273
2120.000000 86.455 -156.2916
2140.000000 86.617 -156.9691
2180.000000 86.928 -158.3964
2200.000000 87.078 -159.1512
2240.000000 87.370 -160.7858
2270.000000 87.578 -162.2029
2300.000000 87.760 -163.7554
2330.000000 87.916 -165.3650
2360.000000 88.050 -167.0341
2400.000000 88.183 -169.3265
2430.000000 88.249 -171.0007
2470.000000 88.305 -173.0889
2500.000000 88.333 -174.5435
2540.000000 88.366 -176.3781
2580.000000 88.398 -178.1781
2620.000000 88.424 179.9977
2650.000000 88.436 178.6004
2690.000000 88.436 176.6792
2720.000000 88.418 175.2207
2760.000000 88.370 173.3183
2800.000000 88.300 171.5035
2850.000000 88.194 169.3780
2900.000000 88.081 167.3641
2950.000000 87.954 165.3488
3000.000000 87.808 163.3951
3040.000000 87.685 161.8621
3070.000000 87.589 160.6781
3110.000000 87.445 159.0173
3150.000000 87.265 157.3189
3200.000000 86.987 155.3205
3250.000000 86.664 153.5778
3300.000000 86.309 152.1448
3350.000000 85.935 151.0873
3400.000000 85.567 150.3704
3450.000000 85.217 149.8271
3500.000000 84.871 149.3473
3550.000000 84.517 148.9355
3600.000000 84.146 148.6298
3650.000000 83.755 148.4860
3700.000000 83.345 148.5665
3750.000000 82.923 148.8845
3820.000000 82.311 149.7119
3870.000000 81.852 150.6011
3950.000000 81.053 152.7323
4000.000000 80.509 154.7834
4060.000000 79.844 158.3419
4120.000000 79.217 163.1558
4180.000000 78.641 169.5430
4250.000000 78.238 -179.9262
4310.000000 78.435 -168.8411
4370.000000 79.301 -158.1372
4440.000000 80.934 -149.5072
4500.000000 82.502 -146.3185
4550.000000 83.758 -146.1012
4620.000000 85.359 -148.6392
4680.000000 86.492 -153.4195
4750.000000 87.227 -161.3275
4820.000000 87.199 -168.2737
4870.000000 86.935 -170.7888
4940.000000 86.653 -170.8774
5000.000000 86.708 -169.0464
5080.000000 87.292 -166.1818
5150.000000 88.193 -164.9520
5220.000000 89.296 -165.8025
5300.000000 90.617 -169.5765
5380.000000 91.855 -176.1753
5450.000000 92.779 175.9182
5520.000000 93.465 166.1534
5600.000000 93.797 153.1423
