* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 8, 2024 9:20:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (Or SL) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 81.252 -103.4172
20.600000 81.328 -104.0602
20.900000 81.412 -104.7716
21.200001 81.495 -105.4900
21.400000 81.549 -105.9624
21.799999 81.659 -106.8743
22.000000 81.714 -107.3103
22.400000 81.827 -108.1464
22.700001 81.911 -108.7502
23.000000 81.992 -109.3396
23.299999 82.071 -109.9142
23.600000 82.147 -110.4714
24.000000 82.250 -111.1860
24.299999 82.330 -111.7063
24.700001 82.441 -112.3904
25.000000 82.524 -112.8965
25.400000 82.629 -113.5435
25.799999 82.723 -114.1298
26.200001 82.807 -114.6491
26.500000 82.867 -115.0192
26.900000 82.944 -115.5444
27.200001 82.999 -115.9930
27.600000 83.066 -116.6633
28.000000 83.127 -117.3559
28.500000 83.208 -118.1247
29.000000 83.317 -118.7349
29.500000 83.455 -119.2951
30.000000 83.591 -119.9470
30.400000 83.674 -120.5549
30.700001 83.717 -121.0368
31.100000 83.755 -121.6787
31.500000 83.785 -122.3048
32.000000 83.840 -123.0917
32.500000 83.922 -123.9215
33.000000 84.021 -124.7701
33.500000 84.114 -125.5468
34.000000 84.189 -126.1756
34.500000 84.245 -126.6733
35.000000 84.289 -127.1536
35.500000 84.329 -127.7363
36.000000 84.367 -128.4448
36.500000 84.409 -129.1960
37.000000 84.464 -129.9023
37.500000 84.533 -130.5574
38.200001 84.612 -131.4387
38.700001 84.630 -131.9793
39.500000 84.638 -132.5829
40.000000 84.681 -133.0116
40.599998 84.770 -133.8887
41.200001 84.847 -135.0320
41.799999 84.890 -135.9673
42.500000 84.927 -136.4762
43.099998 84.954 -136.6313
43.700001 84.951 -136.7672
44.400002 84.918 -137.0312
45.000000 84.905 -137.5266
45.500000 84.914 -138.2288
46.200001 84.941 -139.4651
46.799999 84.969 -140.3975
47.500000 85.012 -141.1116
48.200001 85.043 -141.5298
48.700001 85.041 -141.7074
49.400002 85.016 -141.8294
50.000000 85.001 -141.9198
50.799999 85.001 -142.1896
51.500000 85.004 -142.5092
52.200001 84.999 -142.7530
53.000000 84.991 -142.8713
53.799999 84.985 -142.8298
54.500000 84.996 -142.6743
55.200001 85.033 -142.4680
56.000000 85.107 -142.2873
57.000000 85.220 -142.2294
58.000000 85.337 -142.3131
59.000000 85.455 -142.5262
60.000000 85.590 -142.9483
60.799999 85.718 -143.4475
61.500000 85.838 -143.9800
62.200001 85.947 -144.5732
63.000000 86.030 -145.2436
64.000000 86.087 -146.0029
65.000000 86.143 -146.8732
66.000000 86.198 -147.8398
67.000000 86.228 -148.5648
68.000000 86.237 -149.0237
69.000000 86.255 -149.5836
70.000000 86.274 -150.4311
71.000000 86.269 -151.1021
72.000000 86.270 -151.3532
73.000000 86.291 -151.4986
74.000000 86.316 -151.6670
75.000000 86.341 -151.8327
76.199997 86.361 -152.1611
77.500000 86.378 -152.7217
78.800003 86.444 -153.0699
80.000000 86.504 -153.2327
81.199997 86.522 -153.3535
82.500000 86.556 -153.7816
83.800003 86.606 -154.4243
85.000000 86.653 -154.8043
86.199997 86.705 -155.0360
87.500000 86.760 -155.3149
88.500000 86.810 -155.6582
90.000000 86.900 -156.2698
91.199997 86.971 -156.7628
92.500000 87.020 -157.3549
93.800003 87.054 -157.9201
95.000000 87.076 -158.3592
96.199997 87.099 -158.7925
97.500000 87.134 -159.2629
98.800003 87.178 -159.6577
100.000000 87.221 -160.0175
101.500000 87.271 -160.4934
103.000000 87.322 -160.9771
104.400002 87.376 -161.5219
106.000000 87.438 -162.2108
107.500000 87.478 -162.8398
109.000000 87.509 -163.4573
110.599998 87.539 -164.1937
112.000000 87.560 -164.8622
113.800003 87.569 -165.7107
115.000000 87.564 -166.2285
117.199997 87.544 -166.9970
118.000000 87.536 -167.2274
120.599998 87.513 -167.8579
122.000000 87.508 -168.1432
124.099998 87.507 -168.4529
125.000000 87.511 -168.5487
126.500000 87.524 -168.7109
128.000000 87.548 -168.8524
131.500000 87.665 -169.1783
132.000000 87.689 -169.2596
134.000000 87.795 -169.7145
136.000000 87.900 -170.3714
138.000000 87.988 -171.1767
140.000000 88.059 -172.1046
143.000000 88.130 -173.6030
145.000000 88.154 -174.5964
147.500000 88.165 -175.8122
150.000000 88.157 -176.9814
152.500000 88.135 -178.0500
155.000000 88.100 -178.9664
157.500000 88.070 -179.7392
160.000000 88.063 179.5099
162.500000 88.063 178.6705
165.000000 88.055 177.7748
167.500000 88.036 176.8650
170.000000 88.009 175.9730
172.500000 87.977 175.1324
175.000000 87.948 174.3306
177.500000 87.921 173.5254
180.000000 87.891 172.6866
182.500000 87.856 171.8251
185.000000 87.813 170.9253
187.500000 87.761 170.0023
190.000000 87.700 169.1255
192.500000 87.629 168.3052
195.000000 87.550 167.5159
197.500000 87.466 166.8046
200.000000 87.380 166.1659
203.000000 87.280 165.4460
206.000000 87.187 164.7542
209.000000 87.094 164.0816
212.000000 87.000 163.4023
214.000000 86.936 162.9622
218.000000 86.804 162.1011
220.000000 86.737 161.6665
224.000000 86.593 160.8131
227.000000 86.476 160.2111
230.000000 86.355 159.6604
233.000000 86.231 159.1648
236.000000 86.104 158.7105
240.000000 85.934 158.1444
243.000000 85.805 157.7806
247.000000 85.631 157.3679
250.000000 85.501 157.1008
254.000000 85.332 156.8264
258.000000 85.165 156.6094
262.000000 85.000 156.4264
265.000000 84.878 156.3314
269.000000 84.719 156.2573
272.000000 84.599 156.2271
276.000000 84.437 156.2018
280.000000 84.276 156.2506
285.000000 84.084 156.4204
290.000000 83.900 156.6537
295.000000 83.728 156.9554
300.000000 83.567 157.2602
304.000000 83.442 157.4898
307.000000 83.349 157.6715
311.000000 83.223 157.9534
315.000000 83.101 158.2680
320.000000 82.960 158.6898
325.000000 82.823 159.1354
330.000000 82.689 159.5957
335.000000 82.558 160.0744
340.000000 82.430 160.5637
345.000000 82.301 161.0468
350.000000 82.167 161.5186
355.000000 82.029 162.0294
360.000000 81.889 162.6208
365.000000 81.746 163.3153
370.000000 81.600 164.0876
375.000000 81.450 164.9699
382.000000 81.253 166.5184
387.000000 81.137 167.8030
395.000000 80.995 170.1029
400.000000 80.944 171.6666
406.000000 80.935 173.5868
412.000000 80.975 175.4040
418.000000 81.055 177.0687
425.000000 81.190 178.7543
431.000000 81.337 179.9227
437.000000 81.491 -179.2287
444.000000 81.655 -178.5413
450.000000 81.784 -178.1198
455.000000 81.882 -177.9163
462.000000 81.992 -177.7893
468.000000 82.061 -177.6671
475.000000 82.126 -177.5122
482.000000 82.171 -177.3317
487.000000 82.194 -177.1599
494.000000 82.222 -176.8249
500.000000 82.252 -176.4606
508.000000 82.304 -175.9169
515.000000 82.361 -175.4283
522.000000 82.430 -174.9648
530.000000 82.525 -174.4363
538.000000 82.634 -173.9855
545.000000 82.734 -173.7115
552.000000 82.840 -173.5309
560.000000 82.965 -173.4362
570.000000 83.113 -173.4997
580.000000 83.246 -173.7673
590.000000 83.358 -174.1366
600.000000 83.448 -174.5935
608.000000 83.502 -175.0130
615.000000 83.538 -175.3996
622.000000 83.565 -175.7786
630.000000 83.578 -176.2078
640.000000 83.575 -176.6777
650.000000 83.553 -177.0516
660.000000 83.516 -177.2590
670.000000 83.477 -177.3176
680.000000 83.444 -177.2174
690.000000 83.428 -176.9722
700.000000 83.436 -176.6981
710.000000 83.458 -176.4631
720.000000 83.488 -176.2538
730.000000 83.528 -176.0727
740.000000 83.577 -175.9381
750.000000 83.630 -175.8687
762.000000 83.698 -175.8273
775.000000 83.789 -175.8494
788.000000 83.896 -176.0952
800.000000 83.984 -176.5719
812.000000 84.044 -177.2199
825.000000 84.069 -178.0323
838.000000 84.053 -178.7583
850.000000 84.020 -179.2388
862.000000 83.985 -179.6012
875.000000 83.947 -179.9095
885.000000 83.921 179.9060
900.000000 83.895 179.6556
912.000000 83.876 179.4131
925.000000 83.851 179.1165
938.000000 83.819 178.7863
950.000000 83.779 178.4889
962.000000 83.731 178.2388
975.000000 83.676 178.0241
988.000000 83.621 177.8776
1000.000000 83.577 177.7794
1015.000000 83.533 177.5810
1030.000000 83.486 177.1591
1044.000000 83.394 176.5064
1060.000000 83.172 176.0450
1075.000000 82.937 176.7071
1090.000000 82.835 177.9808
1106.000000 82.844 178.8620
1120.000000 82.859 179.1406
1138.000000 82.835 179.2228
1150.000000 82.793 179.2731
1172.000000 82.689 179.5502
1180.000000 82.648 179.7075
1206.000000 82.527 -179.6213
1220.000000 82.467 -179.2206
1241.000000 82.370 -178.5257
1250.000000 82.329 -178.1471
1265.000000 82.270 -177.4250
1280.000000 82.228 -176.6284
1315.000000 82.198 -174.7389
1320.000000 82.200 -174.4843
1340.000000 82.218 -173.5253
1360.000000 82.247 -172.6465
1380.000000 82.283 -171.8309
1400.000000 82.322 -171.0732
1430.000000 82.382 -169.9941
1450.000000 82.425 -169.2825
1475.000000 82.480 -168.4209
1500.000000 82.537 -167.5506
1525.000000 82.606 -166.6556
1550.000000 82.688 -165.7475
1575.000000 82.790 -164.9149
1600.000000 82.885 -164.3164
1625.000000 82.929 -163.6878
1650.000000 82.969 -162.4749
1675.000000 83.110 -160.9603
1700.000000 83.328 -159.8905
1725.000000 83.549 -159.2672
1750.000000 83.755 -158.8490
1775.000000 83.951 -158.5439
1800.000000 84.138 -158.3439
1825.000000 84.312 -158.2222
1850.000000 84.476 -158.1093
1875.000000 84.635 -157.9825
1900.000000 84.794 -157.8384
1925.000000 84.961 -157.6838
1950.000000 85.136 -157.5477
1975.000000 85.321 -157.4586
2000.000000 85.513 -157.4316
2030.000000 85.752 -157.4901
2060.000000 85.997 -157.6579
2090.000000 86.248 -157.9081
2120.000000 86.513 -158.2420
2140.000000 86.703 -158.5531
2180.000000 87.106 -159.5916
2200.000000 87.303 -160.3816
2240.000000 87.642 -162.3929
2270.000000 87.836 -164.0695
2300.000000 87.989 -165.7282
2330.000000 88.117 -167.3024
2360.000000 88.237 -168.8163
2400.000000 88.386 -170.9193
2430.000000 88.475 -172.5752
2470.000000 88.560 -174.7889
2500.000000 88.600 -176.4291
2540.000000 88.628 -178.5175
2580.000000 88.642 179.4890
2620.000000 88.646 177.5226
2650.000000 88.640 176.0502
2690.000000 88.618 174.0966
2720.000000 88.591 172.6423
2760.000000 88.542 170.7201
2800.000000 88.479 168.8044
2850.000000 88.379 166.4025
2900.000000 88.251 163.9673
2950.000000 88.079 161.4846
3000.000000 87.846 159.0645
3040.000000 87.613 157.3233
3070.000000 87.418 156.2092
3110.000000 87.148 155.0299
3150.000000 86.885 154.1685
3200.000000 86.590 153.5145
3250.000000 86.401 153.1365
3300.000000 86.327 152.1084
3350.000000 86.215 149.8867
3400.000000 85.931 147.2281
3450.000000 85.498 144.9641
3500.000000 84.984 143.3468
3550.000000 84.434 142.3154
3600.000000 83.869 141.7872
3650.000000 83.295 141.7097
3700.000000 82.712 142.0353
3750.000000 82.118 142.7691
3820.000000 81.264 144.6198
3870.000000 80.644 146.6608
3950.000000 79.673 151.5729
4000.000000 79.126 155.9770
4060.000000 78.672 162.9521
4120.000000 78.667 170.7343
4180.000000 79.006 175.9408
4250.000000 79.153 179.4051
4310.000000 79.076 -176.1284
4370.000000 79.153 -169.5806
4440.000000 79.702 -160.5752
4500.000000 80.704 -153.0189
4550.000000 81.935 -148.2594
4620.000000 84.017 -146.4991
4680.000000 85.681 -150.6463
4750.000000 86.862 -160.6728
4820.000000 86.867 -171.5509
4870.000000 86.290 -176.5234
4940.000000 85.299 -177.2868
5000.000000 84.854 -173.4782
5080.000000 85.152 -166.8558
5150.000000 86.045 -162.6241
5220.000000 87.281 -160.8809
5300.000000 88.913 -162.3903
5380.000000 90.547 -168.1066
5450.000000 91.758 -176.4293
