* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 12:01:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Ov Su Solid) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.837 -126.1345
20.600000 85.871 -126.8696
20.900000 85.909 -127.6646
21.200001 85.946 -128.4701
21.400000 85.971 -129.0148
21.799999 86.019 -130.1235
22.000000 86.042 -130.6824
22.400000 86.078 -131.7866
22.700001 86.100 -132.5845
23.000000 86.116 -133.3490
23.299999 86.130 -134.0874
23.600000 86.141 -134.8183
24.000000 86.152 -135.8167
24.299999 86.152 -136.5958
24.700001 86.134 -137.6581
25.000000 86.106 -138.4406
25.400000 86.048 -139.4132
25.799999 85.970 -140.2665
26.200001 85.871 -140.9750
26.500000 85.779 -141.3825
26.900000 85.630 -141.6715
27.200001 85.504 -141.6070
27.600000 85.344 -141.0244
28.000000 85.244 -139.8703
28.500000 85.280 -138.0055
29.000000 85.511 -136.4538
29.500000 85.850 -135.8150
30.000000 86.185 -136.0756
30.400000 86.409 -136.6817
30.700001 86.548 -137.2410
31.100000 86.702 -138.0406
31.500000 86.830 -138.8738
32.000000 86.965 -139.9779
32.500000 87.076 -141.1605
33.000000 87.167 -142.3923
33.500000 87.242 -143.6316
34.000000 87.304 -144.8512
34.500000 87.351 -146.0313
35.000000 87.384 -147.1536
35.500000 87.405 -148.2125
36.000000 87.421 -149.2243
36.500000 87.436 -150.2206
37.000000 87.448 -151.2301
37.500000 87.454 -152.2649
38.200001 87.438 -153.7304
38.700001 87.405 -154.7464
39.500000 87.332 -156.2974
40.000000 87.278 -157.2793
40.599998 87.196 -158.5101
41.200001 87.077 -159.6956
41.799999 86.927 -160.6841
42.500000 86.731 -161.5739
43.099998 86.537 -162.1687
43.700001 86.303 -162.4711
44.400002 86.017 -162.1899
45.000000 85.821 -161.5491
45.500000 85.698 -161.0011
46.200001 85.543 -160.3107
46.799999 85.416 -159.5219
47.500000 85.322 -158.1781
48.200001 85.309 -156.6196
48.700001 85.332 -155.5277
49.400002 85.393 -154.1325
50.000000 85.474 -153.1439
50.799999 85.638 -152.1784
51.500000 85.850 -151.6396
52.200001 86.107 -151.4298
53.000000 86.378 -151.5441
53.799999 86.586 -151.8333
54.500000 86.742 -152.2489
55.200001 86.887 -152.9255
56.000000 87.036 -153.9166
57.000000 87.188 -155.1931
58.000000 87.277 -156.5274
59.000000 87.276 -157.9260
60.000000 87.234 -159.1754
60.799999 87.208 -160.1321
61.500000 87.177 -161.0057
62.200001 87.119 -161.8071
63.000000 87.021 -162.5072
64.000000 86.865 -163.1119
65.000000 86.662 -163.4005
66.000000 86.434 -163.0754
67.000000 86.237 -162.0704
68.000000 86.111 -160.5803
69.000000 86.099 -158.9283
70.000000 86.184 -157.4235
71.000000 86.315 -155.8805
72.000000 86.508 -154.4019
73.000000 86.752 -153.4732
74.000000 87.023 -153.0799
75.000000 87.307 -153.0533
76.199997 87.622 -153.4165
77.500000 87.924 -154.2817
78.800003 88.189 -155.5648
80.000000 88.395 -156.8791
81.199997 88.564 -158.2352
82.500000 88.709 -159.9147
83.800003 88.807 -161.7903
85.000000 88.849 -163.5112
86.199997 88.833 -165.2003
87.500000 88.746 -166.8878
88.500000 88.646 -167.8020
90.000000 88.515 -168.5113
91.199997 88.428 -168.9757
92.500000 88.369 -169.2206
93.800003 88.380 -169.4846
95.000000 88.395 -170.0624
96.199997 88.386 -170.8628
97.500000 88.342 -171.8001
98.800003 88.262 -172.6398
100.000000 88.167 -173.2443
101.500000 88.017 -173.7852
103.000000 87.834 -174.0307
104.400002 87.661 -173.7821
106.000000 87.508 -172.8370
107.500000 87.451 -171.5686
109.000000 87.493 -170.2763
110.599998 87.630 -169.2199
112.000000 87.792 -168.7707
113.800003 88.009 -168.7802
115.000000 88.138 -169.0162
117.199997 88.323 -169.7569
118.000000 88.381 -170.1024
120.599998 88.535 -171.1883
122.000000 88.582 -171.7196
124.099998 88.643 -172.5946
125.000000 88.669 -172.9919
126.500000 88.713 -173.6423
128.000000 88.748 -174.2475
131.500000 88.803 -175.5661
132.000000 88.811 -175.7490
134.000000 88.847 -176.4856
136.000000 88.879 -177.2510
138.000000 88.905 -178.0216
140.000000 88.929 -178.8289
143.000000 88.956 179.8088
145.000000 88.956 178.8776
147.500000 88.931 177.7917
150.000000 88.887 176.7305
152.500000 88.825 175.8730
155.000000 88.784 175.1468
157.500000 88.762 174.3668
160.000000 88.732 173.4951
162.500000 88.686 172.6386
165.000000 88.628 171.8370
167.500000 88.569 171.0796
170.000000 88.513 170.3953
172.500000 88.458 169.7197
175.000000 88.403 169.0134
177.500000 88.337 168.2616
180.000000 88.254 167.5419
182.500000 88.180 166.9198
185.000000 88.111 166.3984
187.500000 88.047 165.9217
190.000000 87.996 165.3652
192.500000 87.948 164.7198
195.000000 87.892 164.0476
197.500000 87.823 163.3411
200.000000 87.743 162.6427
203.000000 87.635 161.8344
206.000000 87.517 161.0333
209.000000 87.389 160.2958
212.000000 87.255 159.6440
214.000000 87.165 159.2279
218.000000 86.981 158.4478
220.000000 86.888 158.0634
224.000000 86.691 157.3565
227.000000 86.537 156.8847
230.000000 86.378 156.4585
233.000000 86.216 156.1121
236.000000 86.058 155.8523
240.000000 85.851 155.5399
243.000000 85.688 155.3453
247.000000 85.469 155.1166
250.000000 85.304 154.9623
254.000000 85.082 154.8085
258.000000 84.855 154.7126
262.000000 84.624 154.6510
265.000000 84.439 154.6492
269.000000 84.180 154.7863
272.000000 83.985 155.0002
276.000000 83.720 155.3811
280.000000 83.455 155.9307
285.000000 83.138 156.7594
290.000000 82.824 157.7032
295.000000 82.494 158.8735
300.000000 82.155 160.3544
304.000000 81.894 161.8685
307.000000 81.714 163.2671
311.000000 81.508 165.4526
315.000000 81.367 167.8582
320.000000 81.312 170.8530
325.000000 81.363 173.3718
330.000000 81.455 175.1932
335.000000 81.517 176.4635
340.000000 81.505 177.4718
345.000000 81.434 178.6826
350.000000 81.335 -179.6133
355.000000 81.271 -177.4059
360.000000 81.283 -174.9898
365.000000 81.368 -172.6747
370.000000 81.501 -170.6138
375.000000 81.671 -168.8396
382.000000 81.932 -167.0022
387.000000 82.098 -165.9654
395.000000 82.341 -164.1612
400.000000 82.519 -162.9977
406.000000 82.774 -161.7107
412.000000 83.056 -160.6882
418.000000 83.348 -160.0712
425.000000 83.681 -159.8205
431.000000 83.946 -159.9501
437.000000 84.164 -160.2957
444.000000 84.361 -160.7466
450.000000 84.503 -161.0839
455.000000 84.613 -161.3446
462.000000 84.752 -161.7109
468.000000 84.855 -162.0415
475.000000 84.952 -162.4644
482.000000 85.012 -162.7948
487.000000 85.043 -162.8758
494.000000 85.093 -162.7697
500.000000 85.158 -162.5211
508.000000 85.287 -162.0495
515.000000 85.449 -161.6931
522.000000 85.650 -161.6223
530.000000 85.889 -161.9983
538.000000 86.101 -162.7757
545.000000 86.253 -163.5959
552.000000 86.382 -164.4943
560.000000 86.504 -165.7092
570.000000 86.587 -167.3819
580.000000 86.595 -168.9410
590.000000 86.546 -170.2260
600.000000 86.474 -171.1787
608.000000 86.409 -171.7070
615.000000 86.357 -172.0451
622.000000 86.310 -172.3131
630.000000 86.264 -172.5247
640.000000 86.220 -172.6502
650.000000 86.205 -172.6940
660.000000 86.221 -172.7884
670.000000 86.252 -173.0990
680.000000 86.273 -173.6054
690.000000 86.275 -174.1877
700.000000 86.264 -174.7997
710.000000 86.232 -175.4910
720.000000 86.170 -176.2240
730.000000 86.073 -176.9205
740.000000 85.945 -177.4667
750.000000 85.789 -177.7932
762.000000 85.585 -177.7869
775.000000 85.378 -177.1998
788.000000 85.232 -176.1645
800.000000 85.171 -175.0682
812.000000 85.173 -174.0534
825.000000 85.210 -173.1891
838.000000 85.269 -172.5281
850.000000 85.350 -172.0330
862.000000 85.457 -171.7842
875.000000 85.571 -171.9401
885.000000 85.632 -172.3287
900.000000 85.658 -173.0084
912.000000 85.642 -173.4331
925.000000 85.614 -173.7716
938.000000 85.581 -174.0357
950.000000 85.550 -174.2407
962.000000 85.517 -174.4881
975.000000 85.471 -174.7834
988.000000 85.413 -175.0587
1000.000000 85.349 -175.3136
1015.000000 85.247 -175.6334
1030.000000 85.109 -175.9183
1044.000000 84.940 -175.9796
1060.000000 84.728 -175.5258
1075.000000 84.567 -174.6067
1090.000000 84.476 -173.5400
1106.000000 84.429 -172.5722
1120.000000 84.398 -171.9289
1138.000000 84.344 -171.2471
1150.000000 84.294 -170.7908
1172.000000 84.188 -169.6949
1180.000000 84.156 -169.1593
1206.000000 84.138 -167.2420
1220.000000 84.175 -166.4582
1241.000000 84.219 -165.6647
1250.000000 84.227 -165.3606
1265.000000 84.228 -164.8458
1280.000000 84.221 -164.2900
1315.000000 84.198 -162.8087
1320.000000 84.195 -162.5784
1340.000000 84.188 -161.5887
1360.000000 84.194 -160.4761
1380.000000 84.225 -159.2789
1400.000000 84.284 -158.1098
1430.000000 84.410 -156.5112
1450.000000 84.517 -155.5777
1475.000000 84.671 -154.6272
1500.000000 84.836 -154.0128
1525.000000 84.990 -153.8320
1550.000000 85.091 -154.1669
1575.000000 85.050 -154.8316
1600.000000 84.849 -154.6024
1625.000000 84.725 -153.2153
1650.000000 84.616 -152.6255
1675.000000 84.240 -151.2534
1700.000000 83.927 -146.1712
1725.000000 84.196 -139.8304
1750.000000 84.825 -136.0649
1775.000000 85.433 -134.5294
1800.000000 85.929 -133.9144
1825.000000 86.343 -133.5588
1850.000000 86.715 -133.2793
1875.000000 87.066 -133.0900
1900.000000 87.403 -133.0143
1925.000000 87.725 -133.0445
1950.000000 88.033 -133.1478
1975.000000 88.334 -133.3009
2000.000000 88.636 -133.5299
2030.000000 88.992 -133.9838
2060.000000 89.330 -134.6349
2090.000000 89.644 -135.4179
2120.000000 89.935 -136.2723
2140.000000 90.118 -136.8619
2180.000000 90.467 -138.0749
2200.000000 90.634 -138.7142
2240.000000 90.952 -140.0692
2270.000000 91.174 -141.1233
2300.000000 91.384 -142.1895
2330.000000 91.587 -143.2409
2360.000000 91.794 -144.2847
2400.000000 92.078 -145.8687
2430.000000 92.277 -147.2698
2470.000000 92.497 -149.3205
2500.000000 92.623 -150.8743
2540.000000 92.751 -152.7982
2580.000000 92.862 -154.4745
2620.000000 92.991 -156.0117
2650.000000 93.100 -157.2209
2690.000000 93.239 -159.0073
2720.000000 93.327 -160.4361
2760.000000 93.420 -162.3733
2800.000000 93.491 -164.3059
2850.000000 93.554 -166.7212
2900.000000 93.583 -169.1194
2950.000000 93.582 -171.4502
3000.000000 93.554 -173.6824
3040.000000 93.516 -175.3798
3070.000000 93.483 -176.6004
3110.000000 93.436 -178.1897
3150.000000 93.382 -179.7799
3200.000000 93.295 178.2452
3250.000000 93.184 176.3655
3300.000000 93.062 174.6205
3350.000000 92.943 172.9230
3400.000000 92.813 171.1035
3450.000000 92.635 169.2169
3500.000000 92.404 167.5335
3550.000000 92.145 166.1673
3600.000000 91.877 165.0801
3650.000000 91.605 164.2258
3700.000000 91.334 163.5830
3750.000000 91.065 163.1339
3820.000000 90.694 162.7957
3870.000000 90.432 162.7422
3950.000000 90.015 162.9783
4000.000000 89.753 163.3405
4060.000000 89.430 164.0498
4120.000000 89.102 165.1957
4180.000000 88.798 166.8692
4250.000000 88.489 169.2302
4310.000000 88.224 171.6563
4370.000000 87.965 174.9156
4440.000000 87.743 -179.8465
4500.000000 87.714 -173.7952
4550.000000 87.929 -167.4168
4620.000000 88.942 -157.1422
4680.000000 90.621 -150.4417
4750.000000 92.887 -150.1307
4820.000000 94.547 -156.4447
4870.000000 95.274 -161.7314
4940.000000 96.022 -167.8092
5000.000000 96.695 -172.2185
5080.000000 97.737 -178.9670
5150.000000 98.635 173.0205
5220.000000 99.297 162.8898
