* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 7, 2024 11:57:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Ov Su Solid) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.480 -134.2684
20.600000 86.491 -134.9528
20.900000 86.500 -135.6781
21.200001 86.507 -136.4114
21.400000 86.510 -136.9132
21.799999 86.504 -137.9386
22.000000 86.491 -138.4379
22.400000 86.442 -139.3037
22.700001 86.393 -139.7428
23.000000 86.350 -139.9495
23.299999 86.332 -139.9476
23.600000 86.355 -139.8358
24.000000 86.453 -139.7747
24.299999 86.562 -139.9635
24.700001 86.713 -140.6243
25.000000 86.803 -141.3657
25.400000 86.873 -142.4720
25.799999 86.891 -143.4654
26.200001 86.890 -144.1975
26.500000 86.898 -144.5954
26.900000 86.935 -145.0621
27.200001 86.981 -145.4674
27.600000 87.047 -146.1614
28.000000 87.098 -146.9968
28.500000 87.128 -148.0493
29.000000 87.136 -148.9125
29.500000 87.153 -149.5752
30.000000 87.190 -150.1961
30.400000 87.226 -150.7598
30.700001 87.252 -151.2339
31.100000 87.282 -151.9174
31.500000 87.311 -152.6400
32.000000 87.350 -153.5959
32.500000 87.386 -154.6073
33.000000 87.402 -155.6078
33.500000 87.394 -156.4980
34.000000 87.371 -157.2801
34.500000 87.344 -158.0982
35.000000 87.303 -159.0845
35.500000 87.238 -160.1798
36.000000 87.164 -161.1811
36.500000 87.118 -161.9758
37.000000 87.120 -162.6758
37.500000 87.143 -163.4721
38.200001 87.109 -164.7683
38.700001 87.012 -165.6272
39.500000 86.800 -166.7878
40.000000 86.668 -167.5553
40.599998 86.499 -168.5557
41.200001 86.305 -169.3948
41.799999 86.091 -169.8811
42.500000 85.803 -170.0547
43.099998 85.502 -169.8585
43.700001 85.174 -169.1862
44.400002 84.854 -167.8659
45.000000 84.674 -166.6263
45.500000 84.565 -165.5773
46.200001 84.446 -163.6827
46.799999 84.409 -161.4019
47.500000 84.491 -158.3320
48.200001 84.685 -155.4992
48.700001 84.871 -153.8928
49.400002 85.178 -152.5053
50.000000 85.448 -152.2047
50.799999 85.763 -152.6051
51.500000 86.016 -153.0786
52.200001 86.287 -153.5469
53.000000 86.583 -154.4226
53.799999 86.779 -155.7025
54.500000 86.849 -156.8771
55.200001 86.861 -157.8996
56.000000 86.862 -158.8929
57.000000 86.881 -160.1283
58.000000 86.865 -161.2561
59.000000 86.804 -161.9002
60.000000 86.734 -162.3630
60.799999 86.682 -162.8054
61.500000 86.653 -163.2956
62.200001 86.617 -163.8883
63.000000 86.530 -164.4677
64.000000 86.373 -164.7638
65.000000 86.188 -164.7938
66.000000 85.981 -164.1408
67.000000 85.865 -162.5221
68.000000 85.861 -160.6952
69.000000 85.910 -159.0157
70.000000 86.033 -157.4034
71.000000 86.255 -155.9671
72.000000 86.536 -154.8614
73.000000 86.840 -154.1564
74.000000 87.152 -154.1055
75.000000 87.421 -154.7792
76.199997 87.671 -155.7966
77.500000 87.948 -156.8385
78.800003 88.187 -157.9633
80.000000 88.356 -159.0038
81.199997 88.495 -160.2605
82.500000 88.628 -161.6964
83.800003 88.745 -163.0515
85.000000 88.831 -164.2715
86.199997 88.902 -165.4937
87.500000 88.978 -166.8758
88.500000 89.026 -168.0672
90.000000 89.059 -169.9311
91.199997 89.054 -171.4059
92.500000 89.014 -172.9261
93.800003 88.933 -174.3337
95.000000 88.833 -175.5742
96.199997 88.727 -176.7726
97.500000 88.611 -177.9519
98.800003 88.465 -179.0505
100.000000 88.274 179.9515
101.500000 87.960 178.9637
103.000000 87.580 178.8550
104.400002 87.234 179.8856
106.000000 86.975 -177.8581
107.500000 86.926 -175.4059
109.000000 87.045 -173.3600
110.599998 87.283 -171.9100
112.000000 87.523 -171.3215
113.800003 87.817 -171.3457
115.000000 87.982 -171.7016
117.199997 88.203 -172.7146
118.000000 88.263 -173.1236
120.599998 88.413 -174.6053
122.000000 88.465 -175.3888
124.099998 88.504 -176.4210
125.000000 88.516 -176.7786
126.500000 88.539 -177.2572
128.000000 88.573 -177.6775
131.500000 88.696 -179.0407
132.000000 88.713 -179.2903
134.000000 88.768 179.6494
136.000000 88.798 178.5426
138.000000 88.807 177.4315
140.000000 88.800 176.3162
143.000000 88.765 174.6780
145.000000 88.728 173.6198
147.500000 88.652 172.3612
150.000000 88.550 171.2670
152.500000 88.440 170.4159
155.000000 88.343 169.6420
157.500000 88.250 168.9444
160.000000 88.159 168.2648
162.500000 88.063 167.6561
165.000000 87.969 167.1534
167.500000 87.880 166.7217
170.000000 87.804 166.3949
172.500000 87.749 166.0913
175.000000 87.711 165.6768
177.500000 87.678 165.1163
180.000000 87.642 164.4682
182.500000 87.593 163.7881
185.000000 87.531 163.0671
187.500000 87.457 162.3300
190.000000 87.379 161.5766
192.500000 87.295 160.8051
195.000000 87.197 160.0259
197.500000 87.084 159.2357
200.000000 86.957 158.4566
203.000000 86.786 157.6194
206.000000 86.609 156.9252
209.000000 86.427 156.3307
212.000000 86.234 155.8043
214.000000 86.096 155.4881
218.000000 85.808 155.0005
220.000000 85.662 154.8371
224.000000 85.368 154.6254
227.000000 85.142 154.6215
230.000000 84.913 154.7767
233.000000 84.688 155.0980
236.000000 84.474 155.5390
240.000000 84.201 156.1658
243.000000 84.003 156.6951
247.000000 83.736 157.6832
250.000000 83.541 158.6820
254.000000 83.324 160.3055
258.000000 83.163 162.1317
262.000000 83.071 163.9257
265.000000 83.040 165.1923
269.000000 83.029 166.7475
272.000000 83.037 167.7555
276.000000 83.066 168.9521
280.000000 83.120 170.0433
285.000000 83.220 171.1609
290.000000 83.347 171.9086
295.000000 83.482 172.2195
300.000000 83.592 172.0112
304.000000 83.646 171.5750
307.000000 83.660 171.1330
311.000000 83.639 170.4713
315.000000 83.577 169.8278
320.000000 83.448 169.1346
325.000000 83.267 168.6155
330.000000 83.054 168.3842
335.000000 82.821 168.4680
340.000000 82.579 168.8548
345.000000 82.320 169.4624
350.000000 82.054 170.4438
355.000000 81.814 171.8316
360.000000 81.609 173.4950
365.000000 81.441 175.3408
370.000000 81.318 177.3232
375.000000 81.244 179.3915
382.000000 81.221 -177.8615
387.000000 81.231 -176.1633
395.000000 81.215 -173.6521
400.000000 81.175 -171.8933
406.000000 81.130 -169.2797
412.000000 81.168 -165.8244
418.000000 81.389 -161.9165
425.000000 81.905 -158.0635
431.000000 82.474 -156.1128
437.000000 83.048 -155.5371
444.000000 83.614 -156.2202
450.000000 83.968 -157.4348
455.000000 84.166 -158.5852
462.000000 84.325 -159.9514
468.000000 84.399 -160.6786
475.000000 84.474 -161.0088
482.000000 84.589 -161.1015
487.000000 84.686 -161.2805
494.000000 84.810 -161.7164
500.000000 84.885 -162.1178
508.000000 84.948 -162.4411
515.000000 85.006 -162.3882
522.000000 85.102 -162.2072
530.000000 85.255 -162.1681
538.000000 85.413 -162.4821
545.000000 85.527 -162.9420
552.000000 85.611 -163.4313
560.000000 85.682 -163.8774
570.000000 85.771 -164.2607
580.000000 85.866 -164.6090
590.000000 85.966 -164.9711
600.000000 86.061 -165.4071
608.000000 86.131 -165.7376
615.000000 86.196 -166.0065
622.000000 86.263 -166.3080
630.000000 86.336 -166.6766
640.000000 86.428 -167.1404
650.000000 86.529 -167.6114
660.000000 86.647 -168.2377
670.000000 86.754 -169.1811
680.000000 86.821 -170.2556
690.000000 86.855 -171.3255
700.000000 86.861 -172.3615
710.000000 86.847 -173.3113
720.000000 86.823 -174.1646
730.000000 86.793 -174.9688
740.000000 86.752 -175.7579
750.000000 86.696 -176.5143
762.000000 86.613 -177.3228
775.000000 86.504 -178.0459
788.000000 86.387 -178.5399
800.000000 86.288 -178.8283
812.000000 86.198 -179.0698
825.000000 86.106 -179.2861
838.000000 86.021 -179.4101
850.000000 85.949 -179.5003
862.000000 85.883 -179.5998
875.000000 85.808 -179.7331
885.000000 85.745 -179.8016
900.000000 85.647 -179.7835
912.000000 85.576 -179.6834
925.000000 85.507 -179.5417
938.000000 85.443 -179.3783
950.000000 85.392 -179.1757
962.000000 85.357 -178.9665
975.000000 85.336 -178.8172
988.000000 85.323 -178.7915
1000.000000 85.313 -178.8922
1015.000000 85.287 -179.2547
1030.000000 85.213 -179.8873
1044.000000 85.054 179.4500
1060.000000 84.757 179.3855
1075.000000 84.502 -179.3794
1090.000000 84.403 -177.7016
1106.000000 84.411 -176.4052
1120.000000 84.435 -175.7245
1138.000000 84.446 -175.1802
1150.000000 84.438 -174.8763
1172.000000 84.401 -174.3404
1180.000000 84.380 -174.1255
1206.000000 84.309 -173.2461
1220.000000 84.279 -172.6975
1241.000000 84.244 -171.9163
1250.000000 84.226 -171.5817
1265.000000 84.194 -170.9598
1280.000000 84.169 -170.2574
1315.000000 84.161 -168.4892
1320.000000 84.165 -168.2468
1340.000000 84.187 -167.3298
1360.000000 84.211 -166.4635
1380.000000 84.238 -165.6020
1400.000000 84.272 -164.7244
1430.000000 84.345 -163.4209
1450.000000 84.403 -162.6140
1475.000000 84.474 -161.6955
1500.000000 84.538 -160.7733
1525.000000 84.604 -159.7629
1550.000000 84.691 -158.6380
1575.000000 84.819 -157.5289
1600.000000 84.965 -156.7540
1625.000000 85.068 -156.1727
1650.000000 85.147 -155.2642
1675.000000 85.281 -154.1001
1700.000000 85.463 -153.1916
1725.000000 85.644 -152.5463
1750.000000 85.814 -151.9991
1775.000000 85.978 -151.4860
1800.000000 86.144 -150.9812
1825.000000 86.316 -150.4845
1850.000000 86.494 -150.0303
1875.000000 86.677 -149.6377
1900.000000 86.863 -149.2980
1925.000000 87.052 -148.9926
1950.000000 87.247 -148.7201
1975.000000 87.451 -148.4858
2000.000000 87.665 -148.3157
2030.000000 87.933 -148.2450
2060.000000 88.208 -148.3560
2090.000000 88.481 -148.6500
2120.000000 88.748 -149.1114
2140.000000 88.920 -149.4962
2180.000000 89.246 -150.4042
2200.000000 89.401 -150.9236
2240.000000 89.694 -152.0287
2270.000000 89.914 -152.9263
2300.000000 90.130 -153.9786
2330.000000 90.329 -155.1913
2360.000000 90.503 -156.4910
2400.000000 90.704 -158.2749
2430.000000 90.831 -159.6757
2470.000000 90.963 -161.5333
2500.000000 91.040 -162.8701
2540.000000 91.124 -164.5524
2580.000000 91.199 -166.1208
2620.000000 91.274 -167.6430
2650.000000 91.329 -168.8112
2690.000000 91.392 -170.4280
2720.000000 91.427 -171.6566
2760.000000 91.461 -173.2927
2800.000000 91.478 -174.9246
2850.000000 91.478 -176.9494
2900.000000 91.450 -178.9402
2950.000000 91.398 179.1730
3000.000000 91.330 177.3914
3040.000000 91.267 176.0315
3070.000000 91.216 175.0495
3110.000000 91.144 173.7838
3150.000000 91.068 172.5533
3200.000000 90.975 171.0513
3250.000000 90.888 169.4814
3300.000000 90.784 167.6666
3350.000000 90.617 165.6986
3400.000000 90.380 163.9023
3450.000000 90.100 162.4536
3500.000000 89.801 161.3313
3550.000000 89.495 160.4649
3600.000000 89.180 159.8207
3650.000000 88.855 159.3915
3700.000000 88.520 159.2007
3750.000000 88.175 159.2803
3820.000000 87.683 159.8796
3870.000000 87.329 160.6775
3950.000000 86.758 162.6922
4000.000000 86.400 164.5581
4060.000000 85.995 167.7736
4120.000000 85.742 172.4263
4180.000000 85.843 177.2523
4250.000000 86.068 179.8222
4310.000000 85.922 -178.3499
4370.000000 85.648 -174.0392
4440.000000 85.564 -165.6074
4500.000000 85.986 -155.8598
4550.000000 86.923 -146.8011
4620.000000 89.277 -136.6452
4680.000000 91.818 -134.5993
4750.000000 94.422 -141.2178
4820.000000 95.973 -153.1797
4870.000000 96.464 -161.5689
4940.000000 96.736 -170.4716
5000.000000 96.987 -175.6540
5080.000000 97.641 178.4120
5150.000000 98.429 171.9601
5220.000000 99.190 163.4221
5300.000000 99.792 151.4473
5380.000000 99.980 138.0985
