* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 12:00:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Ov Su Solid) R5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.119 -134.6825
20.600000 86.138 -135.3997
20.900000 86.157 -136.2108
21.200001 86.169 -137.0828
21.400000 86.171 -137.6952
21.799999 86.157 -138.9498
22.000000 86.140 -139.5603
22.400000 86.092 -140.6712
22.700001 86.052 -141.3772
23.000000 86.014 -141.9828
23.299999 85.981 -142.5209
23.600000 85.948 -143.0226
24.000000 85.895 -143.6444
24.299999 85.843 -144.0460
24.700001 85.764 -144.4402
25.000000 85.708 -144.6285
25.400000 85.653 -144.8110
25.799999 85.615 -145.0225
26.200001 85.572 -145.2699
26.500000 85.525 -145.3780
26.900000 85.452 -145.2163
27.200001 85.413 -144.7857
27.600000 85.429 -143.9040
28.000000 85.545 -143.0396
28.500000 85.779 -142.5723
29.000000 85.997 -142.8562
29.500000 86.145 -143.3414
30.000000 86.280 -143.5940
30.400000 86.432 -143.7682
30.700001 86.574 -144.0880
31.100000 86.762 -144.9278
31.500000 86.899 -146.1794
32.000000 86.960 -147.8616
32.500000 86.941 -149.1099
33.000000 86.944 -149.7946
33.500000 87.027 -150.3693
34.000000 87.152 -151.3468
34.500000 87.238 -152.8041
35.000000 87.238 -154.4178
35.500000 87.172 -155.8210
36.000000 87.089 -156.8576
36.500000 87.032 -157.6103
37.000000 87.011 -158.2582
37.500000 87.011 -158.9490
38.200001 87.007 -160.1458
38.700001 86.980 -161.2316
39.500000 86.861 -163.3620
40.000000 86.728 -164.7919
40.599998 86.506 -166.3115
41.200001 86.221 -167.2940
41.799999 85.902 -167.5313
42.500000 85.550 -166.9960
43.099998 85.309 -166.2625
43.700001 85.124 -165.5532
44.400002 84.974 -164.6282
45.000000 84.916 -163.5939
45.500000 84.909 -162.6496
46.200001 84.891 -161.3286
46.799999 84.830 -160.0045
47.500000 84.774 -158.0613
48.200001 84.836 -156.1744
48.700001 84.947 -155.1754
49.400002 85.150 -154.2360
50.000000 85.345 -153.7068
50.799999 85.614 -153.4046
51.500000 85.829 -153.5063
52.200001 86.032 -153.8243
53.000000 86.263 -154.4360
53.799999 86.453 -155.2391
54.500000 86.566 -155.9282
55.200001 86.643 -156.6370
56.000000 86.693 -157.6496
57.000000 86.687 -159.0604
58.000000 86.640 -160.1990
59.000000 86.573 -161.1238
60.000000 86.465 -161.8710
60.799999 86.382 -162.1205
61.500000 86.351 -162.1246
62.200001 86.351 -162.1621
63.000000 86.334 -162.3800
64.000000 86.234 -162.6449
65.000000 86.077 -162.4820
66.000000 85.916 -161.7227
67.000000 85.788 -160.3864
68.000000 85.742 -158.5782
69.000000 85.832 -156.6895
70.000000 86.028 -155.0983
71.000000 86.284 -153.7698
72.000000 86.594 -152.8431
73.000000 86.918 -152.5349
74.000000 87.223 -152.7526
75.000000 87.502 -153.3391
76.199997 87.797 -154.3231
77.500000 88.061 -155.5299
78.800003 88.280 -156.8412
80.000000 88.462 -158.1320
81.199997 88.621 -159.4197
82.500000 88.758 -160.8243
83.800003 88.862 -162.3296
85.000000 88.941 -163.7432
86.199997 89.015 -165.1181
87.500000 89.083 -166.5832
88.500000 89.123 -167.6808
90.000000 89.155 -169.3706
91.199997 89.156 -170.7228
92.500000 89.153 -172.1935
93.800003 89.145 -173.7106
95.000000 89.127 -175.2041
96.199997 89.077 -176.8225
97.500000 88.974 -178.6007
98.800003 88.821 179.7006
100.000000 88.635 178.2156
101.500000 88.328 176.5873
103.000000 87.939 175.5831
104.400002 87.522 175.5062
106.000000 87.059 176.6946
107.500000 86.753 178.9834
109.000000 86.650 -178.1728
110.599998 86.758 -175.5544
112.000000 86.971 -174.1134
113.800003 87.284 -173.3441
115.000000 87.466 -173.3438
117.199997 87.714 -173.9578
118.000000 87.772 -174.2405
120.599998 87.910 -175.1697
122.000000 87.995 -175.7084
124.099998 88.122 -176.4808
125.000000 88.175 -176.8812
126.500000 88.255 -177.6756
128.000000 88.315 -178.6137
131.500000 88.364 179.0454
132.000000 88.358 178.7195
134.000000 88.303 177.5391
136.000000 88.211 176.6753
138.000000 88.119 176.1551
140.000000 88.066 175.9553
143.000000 88.093 175.6663
145.000000 88.156 175.0881
147.500000 88.211 173.9251
150.000000 88.193 172.5535
152.500000 88.122 171.2924
155.000000 88.049 170.3135
157.500000 87.990 169.4149
160.000000 87.926 168.4323
162.500000 87.838 167.4088
165.000000 87.728 166.4277
167.500000 87.605 165.6160
170.000000 87.491 164.9763
172.500000 87.392 164.3496
175.000000 87.297 163.6862
177.500000 87.195 163.0472
180.000000 87.085 162.3759
182.500000 86.969 161.5803
185.000000 86.841 160.7431
187.500000 86.689 159.9379
190.000000 86.515 159.3350
192.500000 86.334 158.9745
195.000000 86.168 158.6719
197.500000 86.013 158.2960
200.000000 85.850 157.8988
203.000000 85.634 157.4843
206.000000 85.391 157.2079
209.000000 85.140 157.1275
212.000000 84.897 157.1540
214.000000 84.738 157.3013
218.000000 84.424 157.8333
220.000000 84.264 158.1619
224.000000 83.969 159.0288
227.000000 83.770 159.8455
230.000000 83.589 160.8020
233.000000 83.430 161.8449
236.000000 83.300 162.8360
240.000000 83.159 164.0746
243.000000 83.082 164.8663
247.000000 82.973 165.6538
250.000000 82.858 166.1717
254.000000 82.658 166.9784
258.000000 82.428 168.2098
262.000000 82.199 170.0695
265.000000 82.063 171.8563
269.000000 81.970 174.5972
272.000000 81.978 176.7769
276.000000 82.103 179.5894
280.000000 82.362 -178.0428
285.000000 82.809 -176.3709
290.000000 83.261 -176.4538
295.000000 83.571 -178.0668
300.000000 83.634 179.5635
304.000000 83.496 177.8693
307.000000 83.305 177.0266
311.000000 82.979 176.6761
315.000000 82.635 177.3286
320.000000 82.285 179.3611
325.000000 82.076 -177.7666
330.000000 82.039 -174.6548
335.000000 82.151 -171.8414
340.000000 82.358 -169.5938
345.000000 82.599 -167.9973
350.000000 82.840 -166.8685
355.000000 83.084 -166.0440
360.000000 83.332 -165.4910
365.000000 83.580 -165.2485
370.000000 83.810 -165.4532
375.000000 83.991 -166.0758
382.000000 84.136 -167.3337
387.000000 84.154 -168.2999
395.000000 84.006 -169.1797
400.000000 83.835 -168.7986
406.000000 83.667 -167.3433
412.000000 83.660 -165.1886
418.000000 83.833 -163.1607
425.000000 84.158 -161.7315
431.000000 84.456 -161.4474
437.000000 84.703 -161.7794
444.000000 84.909 -162.4300
450.000000 85.027 -163.0748
455.000000 85.093 -163.6183
462.000000 85.144 -164.2237
468.000000 85.156 -164.4992
475.000000 85.158 -164.4852
482.000000 85.182 -164.1143
487.000000 85.231 -163.6948
494.000000 85.360 -163.1078
500.000000 85.516 -162.8727
508.000000 85.736 -163.0859
515.000000 85.901 -163.6176
522.000000 86.028 -164.3378
530.000000 86.131 -165.2253
538.000000 86.208 -166.0519
545.000000 86.258 -166.7719
552.000000 86.285 -167.5114
560.000000 86.288 -168.3384
570.000000 86.247 -169.2083
580.000000 86.171 -169.5771
590.000000 86.129 -169.4318
600.000000 86.158 -169.1718
608.000000 86.219 -169.1346
615.000000 86.281 -169.2716
622.000000 86.338 -169.5483
630.000000 86.385 -169.9444
640.000000 86.430 -170.3999
650.000000 86.473 -170.8947
660.000000 86.506 -171.4715
670.000000 86.518 -172.0836
680.000000 86.514 -172.6069
690.000000 86.517 -173.0123
700.000000 86.536 -173.4275
710.000000 86.559 -173.9686
720.000000 86.573 -174.6536
730.000000 86.564 -175.4402
740.000000 86.531 -176.2620
750.000000 86.472 -177.0749
762.000000 86.368 -177.9356
775.000000 86.221 -178.6577
788.000000 86.058 -179.0750
800.000000 85.909 -179.1908
812.000000 85.775 -179.0982
825.000000 85.657 -178.8388
838.000000 85.569 -178.5039
850.000000 85.514 -178.1791
862.000000 85.489 -177.9303
875.000000 85.472 -177.9122
885.000000 85.444 -178.0352
900.000000 85.372 -178.2423
912.000000 85.300 -178.3277
925.000000 85.219 -178.3450
938.000000 85.137 -178.3136
950.000000 85.062 -178.2289
962.000000 84.993 -178.1481
975.000000 84.921 -178.1029
988.000000 84.842 -178.0785
1000.000000 84.763 -178.0422
1015.000000 84.659 -178.0113
1030.000000 84.538 -178.1416
1044.000000 84.375 -178.3418
1060.000000 84.094 -178.1491
1075.000000 83.819 -176.9176
1090.000000 83.658 -175.0881
1106.000000 83.600 -173.3608
1120.000000 83.585 -172.1889
1138.000000 83.572 -170.9519
1150.000000 83.561 -170.2032
1172.000000 83.536 -168.8772
1180.000000 83.529 -168.4043
1206.000000 83.517 -166.8557
1220.000000 83.517 -166.0318
1241.000000 83.520 -164.8694
1250.000000 83.522 -164.3772
1265.000000 83.530 -163.5509
1280.000000 83.544 -162.7527
1315.000000 83.572 -160.9663
1320.000000 83.575 -160.7149
1340.000000 83.587 -159.6871
1360.000000 83.602 -158.5664
1380.000000 83.627 -157.4060
1400.000000 83.662 -156.2615
1430.000000 83.729 -154.5664
1450.000000 83.779 -153.4020
1475.000000 83.858 -151.9016
1500.000000 83.956 -150.3904
1525.000000 84.078 -148.8923
1550.000000 84.233 -147.4259
1575.000000 84.426 -146.2211
1600.000000 84.604 -145.5473
1625.000000 84.699 -144.9810
1650.000000 84.758 -143.8609
1675.000000 84.875 -142.3449
1700.000000 85.044 -140.9558
1725.000000 85.230 -139.7234
1750.000000 85.427 -138.5650
1775.000000 85.638 -137.4924
1800.000000 85.860 -136.4979
1825.000000 86.091 -135.5873
1850.000000 86.329 -134.7613
1875.000000 86.575 -134.0167
1900.000000 86.824 -133.3700
1925.000000 87.075 -132.7860
1950.000000 87.333 -132.2390
1975.000000 87.603 -131.7545
2000.000000 87.881 -131.3795
2030.000000 88.220 -131.0924
2060.000000 88.560 -130.9384
2090.000000 88.908 -130.9113
2120.000000 89.262 -131.0505
2140.000000 89.499 -131.2550
2180.000000 89.963 -131.9634
2200.000000 90.182 -132.4320
2240.000000 90.602 -133.4410
2270.000000 90.917 -134.3058
2300.000000 91.228 -135.3442
2330.000000 91.525 -136.5636
2360.000000 91.802 -137.9312
2400.000000 92.139 -139.9598
2430.000000 92.355 -141.6012
2470.000000 92.600 -143.7708
2500.000000 92.763 -145.3844
2540.000000 92.955 -147.5202
2580.000000 93.124 -149.6226
2620.000000 93.277 -151.7150
2650.000000 93.383 -153.3125
2690.000000 93.504 -155.4978
2720.000000 93.577 -157.1623
2760.000000 93.647 -159.3812
2800.000000 93.689 -161.5538
2850.000000 93.707 -164.1630
2900.000000 93.696 -166.6371
2950.000000 93.659 -168.9785
3000.000000 93.599 -171.1389
3040.000000 93.544 -172.6874
3070.000000 93.510 -173.7438
3110.000000 93.487 -175.1070
3150.000000 93.484 -176.5825
3200.000000 93.482 -178.6833
3250.000000 93.461 178.9306
3300.000000 93.392 176.2044
3350.000000 93.228 173.3460
3400.000000 92.974 170.7531
3450.000000 92.667 168.5884
3500.000000 92.338 166.8026
3550.000000 91.996 165.3145
3600.000000 91.642 164.0839
3650.000000 91.275 163.1060
3700.000000 90.892 162.4135
3750.000000 90.500 162.0514
3820.000000 89.950 162.1130
3870.000000 89.563 162.5745
3950.000000 88.967 164.1105
4000.000000 88.622 165.6689
4060.000000 88.282 168.3452
4120.000000 88.145 171.7855
4180.000000 88.290 174.3263
4250.000000 88.372 174.3718
4310.000000 88.088 174.6568
4370.000000 87.720 177.1220
4440.000000 87.481 -177.8067
4500.000000 87.563 -172.1432
4550.000000 87.933 -166.9046
4620.000000 89.047 -160.5163
4680.000000 90.442 -158.4892
4750.000000 91.995 -162.2422
4820.000000 92.797 -170.4145
4870.000000 92.826 -176.0694
4940.000000 92.443 179.0989
5000.000000 92.105 178.0265
5080.000000 92.002 179.1741
5150.000000 92.336 -179.1782
5220.000000 93.053 -178.5006
