* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 1:48:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Uni Hy Solid) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.150 -119.2076
20.600000 88.198 -119.7810
20.900000 88.254 -120.3822
21.200001 88.314 -120.9868
21.400000 88.356 -121.4008
21.799999 88.439 -122.2627
22.000000 88.477 -122.7033
22.400000 88.544 -123.5648
22.700001 88.586 -124.1583
23.000000 88.623 -124.6869
23.299999 88.662 -125.1536
23.600000 88.704 -125.5810
24.000000 88.766 -126.1461
24.299999 88.815 -126.6005
24.700001 88.875 -127.2637
25.000000 88.913 -127.7916
25.400000 88.957 -128.5038
25.799999 88.998 -129.2031
26.200001 89.042 -129.8932
26.500000 89.078 -130.4149
26.900000 89.125 -131.1158
27.200001 89.158 -131.6286
27.600000 89.195 -132.2533
28.000000 89.229 -132.7727
28.500000 89.276 -133.2775
29.000000 89.335 -133.7180
29.500000 89.397 -134.2098
30.000000 89.448 -134.7903
30.400000 89.476 -135.2864
30.700001 89.490 -135.6530
31.100000 89.507 -136.1191
31.500000 89.525 -136.5630
32.000000 89.553 -137.1153
32.500000 89.584 -137.6855
33.000000 89.609 -138.2490
33.500000 89.631 -138.7483
34.000000 89.659 -139.1506
34.500000 89.701 -139.4848
35.000000 89.755 -139.8104
35.500000 89.808 -140.1377
36.000000 89.850 -140.4104
36.500000 89.887 -140.5782
37.000000 89.934 -140.6860
37.500000 89.996 -140.8593
38.200001 90.089 -141.3388
38.700001 90.151 -141.7654
39.500000 90.264 -142.4171
40.000000 90.348 -142.8810
40.599998 90.435 -143.5731
41.200001 90.484 -144.2787
41.799999 90.517 -144.8458
42.500000 90.577 -145.4448
43.099998 90.639 -146.0572
43.700001 90.685 -146.6689
44.400002 90.730 -147.2191
45.000000 90.781 -147.6856
45.500000 90.820 -148.1986
46.200001 90.848 -149.0363
46.799999 90.856 -149.6878
47.500000 90.877 -150.3497
48.200001 90.903 -151.0209
48.700001 90.913 -151.4899
49.400002 90.923 -152.0698
50.000000 90.941 -152.5245
50.799999 90.978 -153.1615
51.500000 91.008 -153.7617
52.200001 91.023 -154.4174
53.000000 91.007 -155.2077
53.799999 90.970 -155.9103
54.500000 90.951 -156.4602
55.200001 90.942 -157.0425
56.000000 90.915 -157.6543
57.000000 90.862 -158.1067
58.000000 90.806 -158.4053
59.000000 90.744 -158.6282
60.000000 90.720 -158.8195
60.799999 90.722 -159.0756
61.500000 90.725 -159.2971
62.200001 90.731 -159.4641
63.000000 90.741 -159.6174
64.000000 90.748 -159.7918
65.000000 90.744 -159.9837
66.000000 90.733 -160.1951
67.000000 90.727 -160.3941
68.000000 90.723 -160.3714
69.000000 90.737 -160.0839
70.000000 90.759 -159.8914
71.000000 90.778 -159.8699
72.000000 90.823 -159.9552
73.000000 90.889 -160.1264
74.000000 90.956 -160.3476
75.000000 91.014 -160.6140
76.199997 91.076 -160.9465
77.500000 91.133 -161.3552
78.800003 91.183 -161.8388
80.000000 91.226 -162.2687
81.199997 91.251 -162.6708
82.500000 91.265 -163.1116
83.800003 91.300 -163.5603
85.000000 91.322 -163.9278
86.199997 91.320 -164.1666
87.500000 91.329 -164.3669
88.500000 91.346 -164.5271
90.000000 91.362 -164.7755
91.199997 91.386 -164.9270
92.500000 91.431 -164.9977
93.800003 91.471 -165.0298
95.000000 91.512 -165.1944
96.199997 91.573 -165.4312
97.500000 91.648 -165.6786
98.800003 91.719 -165.9732
100.000000 91.793 -166.3076
101.500000 91.883 -166.8417
103.000000 91.941 -167.4984
104.400002 91.980 -168.2014
106.000000 92.012 -169.0155
107.500000 92.027 -169.6786
109.000000 92.023 -170.2317
110.599998 92.011 -170.7759
112.000000 92.004 -171.1910
113.800003 92.005 -171.5903
115.000000 92.011 -171.8079
117.199997 92.027 -172.1960
118.000000 92.040 -172.3890
120.599998 92.100 -172.9990
122.000000 92.124 -173.1126
124.099998 92.178 -173.4503
125.000000 92.207 -173.6790
126.500000 92.252 -174.1103
128.000000 92.293 -174.5921
131.500000 92.358 -175.8303
132.000000 92.363 -176.0095
134.000000 92.379 -176.7105
136.000000 92.395 -177.3533
138.000000 92.402 -177.9167
140.000000 92.411 -178.4512
143.000000 92.461 -179.1941
145.000000 92.505 -179.8068
147.500000 92.546 179.3654
150.000000 92.537 178.4654
152.500000 92.509 177.7686
155.000000 92.555 177.0632
157.500000 92.607 176.1520
160.000000 92.641 175.1454
162.500000 92.657 174.0634
165.000000 92.640 172.9607
167.500000 92.613 171.9312
170.000000 92.595 170.9936
172.500000 92.581 170.1785
175.000000 92.554 169.2209
177.500000 92.516 168.1960
180.000000 92.471 167.1694
182.500000 92.423 166.2017
185.000000 92.377 165.3214
187.500000 92.323 164.3445
190.000000 92.250 163.3094
192.500000 92.164 162.3726
195.000000 92.068 161.5229
197.500000 91.961 160.6174
200.000000 91.848 159.6989
203.000000 91.704 158.8052
206.000000 91.555 158.0019
209.000000 91.414 157.1666
212.000000 91.300 156.4386
214.000000 91.217 155.9307
218.000000 91.002 154.9894
220.000000 90.884 154.6095
224.000000 90.661 153.9070
227.000000 90.498 153.4052
230.000000 90.328 152.9123
233.000000 90.164 152.5247
236.000000 90.000 152.2185
240.000000 89.761 151.8083
243.000000 89.583 151.5084
247.000000 89.340 151.2590
250.000000 89.147 151.1887
254.000000 88.892 151.2697
258.000000 88.647 151.5435
262.000000 88.421 152.0030
265.000000 88.266 152.3786
269.000000 88.076 152.8774
272.000000 87.937 153.2736
276.000000 87.754 153.8084
280.000000 87.578 154.4948
285.000000 87.382 155.5486
290.000000 87.199 156.5450
295.000000 87.040 157.5562
300.000000 86.909 158.7697
304.000000 86.825 159.7051
307.000000 86.755 160.3736
311.000000 86.670 161.2047
315.000000 86.616 161.9379
320.000000 86.568 162.9274
325.000000 86.523 163.8336
330.000000 86.499 164.7449
335.000000 86.499 165.5579
340.000000 86.490 166.1639
345.000000 86.469 166.6315
350.000000 86.430 167.0228
355.000000 86.381 167.3204
360.000000 86.321 167.6992
365.000000 86.244 168.3399
370.000000 86.165 169.0319
375.000000 86.087 169.7743
382.000000 86.001 171.0640
387.000000 85.968 171.9273
395.000000 85.942 173.3712
400.000000 85.933 174.3630
406.000000 85.953 175.5068
412.000000 85.997 176.5805
418.000000 86.060 177.7734
425.000000 86.148 178.8536
431.000000 86.246 179.5551
437.000000 86.370 -179.7738
444.000000 86.496 -179.3210
450.000000 86.595 -179.1390
455.000000 86.668 -179.1100
462.000000 86.742 -179.2331
468.000000 86.776 -179.3985
475.000000 86.788 -179.5432
482.000000 86.773 -179.6438
487.000000 86.749 -179.6726
494.000000 86.708 -179.5564
500.000000 86.662 -179.2740
508.000000 86.603 -178.6469
515.000000 86.567 -177.9602
522.000000 86.555 -177.1521
530.000000 86.564 -176.1658
538.000000 86.610 -175.1584
545.000000 86.687 -174.2373
552.000000 86.783 -173.4995
560.000000 86.905 -172.8210
570.000000 87.091 -172.2117
580.000000 87.294 -171.9498
590.000000 87.478 -172.0719
600.000000 87.638 -172.6351
608.000000 87.723 -173.2083
615.000000 87.758 -173.6889
622.000000 87.769 -174.0892
630.000000 87.755 -174.4417
640.000000 87.715 -174.6628
650.000000 87.681 -174.5722
660.000000 87.673 -174.2674
670.000000 87.692 -173.9180
680.000000 87.731 -173.6124
690.000000 87.788 -173.3744
700.000000 87.854 -173.1820
710.000000 87.918 -173.0599
720.000000 87.986 -173.0217
730.000000 88.055 -173.0513
740.000000 88.113 -173.1505
750.000000 88.163 -173.2798
762.000000 88.217 -173.4483
775.000000 88.266 -173.4801
788.000000 88.327 -173.3832
800.000000 88.408 -173.3049
812.000000 88.510 -173.3233
825.000000 88.645 -173.4734
838.000000 88.798 -173.8793
850.000000 88.937 -174.5945
862.000000 89.051 -175.6079
875.000000 89.137 -176.8536
885.000000 89.173 -177.8996
900.000000 89.186 -179.5537
912.000000 89.150 179.0711
925.000000 89.058 177.6613
938.000000 88.927 176.4258
950.000000 88.780 175.4464
962.000000 88.612 174.6613
975.000000 88.409 174.0471
988.000000 88.197 173.6803
1000.000000 88.007 173.5986
1015.000000 87.781 173.7292
1030.000000 87.573 173.8981
1044.000000 87.364 174.1688
1060.000000 87.109 174.9637
1075.000000 86.903 176.3544
1090.000000 86.794 178.0851
1106.000000 86.792 179.6901
1120.000000 86.836 -179.3669
1138.000000 86.902 -178.5925
1150.000000 86.936 -178.2216
1172.000000 86.973 -177.6439
1180.000000 86.985 -177.4398
1206.000000 87.044 -176.8140
1220.000000 87.089 -176.6462
1241.000000 87.143 -176.6660
1250.000000 87.153 -176.7197
1265.000000 87.159 -176.8228
1280.000000 87.159 -176.9539
1315.000000 87.117 -177.3829
1320.000000 87.105 -177.4542
1340.000000 87.039 -177.7375
1360.000000 86.948 -177.9414
1380.000000 86.836 -178.0246
1400.000000 86.708 -177.9662
1430.000000 86.509 -177.5875
1450.000000 86.376 -177.1649
1475.000000 86.221 -176.4942
1500.000000 86.089 -175.7193
1525.000000 85.978 -175.0118
1550.000000 85.860 -174.5603
1575.000000 85.665 -174.2786
1600.000000 85.374 -173.2993
1625.000000 85.183 -171.3631
1650.000000 85.074 -170.5548
1675.000000 84.673 -170.3670
1700.000000 84.002 -167.0586
1725.000000 83.706 -159.5491
1750.000000 84.087 -152.7468
1775.000000 84.690 -149.1497
1800.000000 85.214 -147.4077
1825.000000 85.634 -146.3469
1850.000000 85.989 -145.5347
1875.000000 86.304 -144.8881
1900.000000 86.592 -144.3959
1925.000000 86.852 -144.0350
1950.000000 87.083 -143.7655
1975.000000 87.285 -143.5166
2000.000000 87.468 -143.2200
2030.000000 87.675 -142.7572
2060.000000 87.885 -142.2178
2090.000000 88.103 -141.6610
2120.000000 88.331 -141.1380
2140.000000 88.487 -140.8347
2180.000000 88.797 -140.3753
2200.000000 88.945 -140.2005
2240.000000 89.220 -139.8286
2270.000000 89.417 -139.4977
2300.000000 89.601 -139.1087
2330.000000 89.767 -138.3907
2360.000000 89.992 -136.9969
2400.000000 90.521 -135.1124
2430.000000 91.028 -134.5168
2470.000000 91.720 -134.8614
2500.000000 92.219 -135.7530
2540.000000 92.840 -137.6226
2580.000000 93.392 -140.1537
2620.000000 93.863 -143.1953
2650.000000 94.155 -145.7357
2690.000000 94.453 -149.3292
2720.000000 94.607 -152.0574
2760.000000 94.733 -155.5951
2800.000000 94.785 -158.9174
2850.000000 94.779 -162.7122
2900.000000 94.715 -166.1383
2950.000000 94.608 -169.2184
3000.000000 94.466 -171.9388
3040.000000 94.339 -173.8208
3070.000000 94.247 -175.0573
3110.000000 94.144 -176.5506
3150.000000 94.068 -178.0597
3200.000000 93.972 179.8442
3250.000000 93.834 177.6408
3300.000000 93.646 175.5950
3350.000000 93.435 173.9320
3400.000000 93.265 172.6343
3450.000000 93.173 171.1118
3500.000000 93.069 168.8233
3550.000000 92.845 166.1743
3600.000000 92.505 163.8107
3650.000000 92.100 161.9498
3700.000000 91.667 160.5642
3750.000000 91.221 159.5865
3820.000000 90.587 158.8184
3870.000000 90.132 158.6964
3950.000000 89.424 159.2784
4000.000000 89.014 160.0807
4060.000000 88.569 161.3428
4120.000000 88.178 162.7809
4180.000000 87.829 164.1764
4250.000000 87.414 165.6176
4310.000000 86.999 166.9118
4370.000000 86.502 168.6917
4440.000000 85.843 172.0630
4500.000000 85.272 176.6623
4550.000000 84.877 -177.8104
4620.000000 84.767 -166.9408
4680.000000 85.494 -156.4151
4750.000000 87.210 -149.2827
4820.000000 88.788 -150.6808
4870.000000 89.424 -154.0704
4940.000000 89.796 -157.9543
5000.000000 89.978 -159.6633
5080.000000 90.286 -161.1093
5150.000000 90.550 -162.7832
5220.000000 90.660 -164.5984
5300.000000 90.621 -165.0695
5380.000000 90.812 -162.6858
