* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Dec 8, 2024 1:52:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Atticus (Uni Hy Solid) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 85.345 -107.5985
20.600000 85.411 -108.1322
20.900000 85.484 -108.6920
21.200001 85.557 -109.2424
21.400000 85.606 -109.6072
21.799999 85.702 -110.3378
22.000000 85.748 -110.7016
22.400000 85.836 -111.4129
22.700001 85.899 -111.9209
23.000000 85.961 -112.4048
23.299999 86.025 -112.8743
23.600000 86.093 -113.3473
24.000000 86.189 -114.0153
24.299999 86.261 -114.5537
24.700001 86.352 -115.3022
25.000000 86.415 -115.8551
25.400000 86.491 -116.5312
25.799999 86.566 -117.1114
26.200001 86.646 -117.6163
26.500000 86.710 -117.9789
26.900000 86.797 -118.4824
27.200001 86.859 -118.8852
27.600000 86.933 -119.4379
28.000000 86.997 -119.9687
28.500000 87.071 -120.5555
29.000000 87.148 -121.0681
29.500000 87.229 -121.5611
30.000000 87.306 -122.0645
30.400000 87.361 -122.4693
30.700001 87.399 -122.7713
31.100000 87.448 -123.1788
31.500000 87.496 -123.6048
32.000000 87.555 -124.1635
32.500000 87.614 -124.7079
33.000000 87.682 -125.1809
33.500000 87.766 -125.5714
34.000000 87.865 -125.9249
34.500000 87.964 -126.2873
35.000000 88.050 -126.6737
35.500000 88.118 -127.0921
36.000000 88.171 -127.5602
36.500000 88.216 -128.0767
37.000000 88.263 -128.5934
37.500000 88.325 -129.0511
38.200001 88.447 -129.5988
38.700001 88.544 -129.9970
39.500000 88.671 -130.6680
40.000000 88.735 -131.0511
40.599998 88.828 -131.5085
41.200001 88.952 -132.0999
41.799999 89.077 -132.8510
42.500000 89.173 -133.7132
43.099998 89.209 -134.2863
43.700001 89.229 -134.7627
44.400002 89.270 -135.3932
45.000000 89.336 -136.0665
45.500000 89.407 -136.6670
46.200001 89.507 -137.4085
46.799999 89.578 -137.8778
47.500000 89.643 -138.3558
48.200001 89.690 -138.9816
48.700001 89.712 -139.5160
49.400002 89.739 -140.2206
50.000000 89.779 -140.7469
50.799999 89.847 -141.5768
51.500000 89.878 -142.5054
52.200001 89.879 -143.4205
53.000000 89.892 -144.2850
53.799999 89.925 -145.0127
54.500000 89.944 -145.5469
55.200001 89.939 -145.9762
56.000000 89.910 -146.3913
57.000000 89.865 -146.8454
58.000000 89.849 -147.2596
59.000000 89.873 -147.6242
60.000000 89.927 -147.8921
60.799999 89.970 -148.0742
61.500000 89.996 -148.2462
62.200001 90.011 -148.4632
63.000000 90.027 -148.7985
64.000000 90.060 -149.3409
65.000000 90.086 -149.7956
66.000000 90.093 -149.8709
67.000000 90.106 -149.8859
68.000000 90.124 -150.2727
69.000000 90.167 -150.8777
70.000000 90.247 -151.4600
71.000000 90.322 -151.8925
72.000000 90.376 -152.2220
73.000000 90.413 -152.6244
74.000000 90.439 -153.1007
75.000000 90.460 -153.6342
76.199997 90.465 -154.3102
77.500000 90.458 -154.8983
78.800003 90.457 -155.3226
80.000000 90.455 -155.5632
81.199997 90.445 -155.6924
82.500000 90.442 -155.7086
83.800003 90.465 -155.7826
85.000000 90.493 -155.8640
86.199997 90.550 -155.8913
87.500000 90.630 -155.9899
88.500000 90.682 -156.0905
90.000000 90.744 -156.2965
91.199997 90.794 -156.4498
92.500000 90.870 -156.6167
93.800003 90.948 -156.9586
95.000000 91.011 -157.3024
96.199997 91.083 -157.5449
97.500000 91.165 -157.7619
98.800003 91.230 -158.0296
100.000000 91.285 -158.3087
101.500000 91.370 -158.6574
103.000000 91.467 -159.0159
104.400002 91.564 -159.3848
106.000000 91.676 -159.8522
107.500000 91.786 -160.3432
109.000000 91.905 -160.9736
110.599998 92.035 -161.8426
112.000000 92.146 -162.8073
113.800003 92.268 -164.1449
115.000000 92.323 -165.0896
117.199997 92.375 -166.9059
118.000000 92.384 -167.5612
120.599998 92.368 -169.5116
122.000000 92.330 -170.3908
124.099998 92.260 -171.5333
125.000000 92.231 -171.9512
126.500000 92.183 -172.5650
128.000000 92.135 -173.1428
131.500000 92.027 -174.4452
132.000000 92.009 -174.6055
134.000000 91.930 -175.1119
136.000000 91.851 -175.3659
138.000000 91.791 -175.3942
140.000000 91.768 -175.2009
143.000000 91.826 -174.8505
145.000000 91.917 -174.8399
147.500000 92.065 -175.1814
150.000000 92.202 -175.9456
152.500000 92.311 -176.9892
155.000000 92.416 -178.1043
157.500000 92.495 -179.2988
160.000000 92.560 179.4312
162.500000 92.597 178.1719
165.000000 92.596 176.7926
167.500000 92.598 175.4271
170.000000 92.603 174.2039
172.500000 92.604 173.0352
175.000000 92.594 171.7212
177.500000 92.563 170.2771
180.000000 92.502 168.8596
182.500000 92.414 167.4557
185.000000 92.314 166.0413
187.500000 92.199 164.7279
190.000000 92.075 163.5758
192.500000 91.941 162.5276
195.000000 91.792 161.5930
197.500000 91.629 160.8633
200.000000 91.470 160.0772
203.000000 91.304 159.1380
206.000000 91.140 158.3755
209.000000 90.967 157.6246
212.000000 90.791 156.9824
214.000000 90.671 156.6484
218.000000 90.428 156.2263
220.000000 90.319 156.0987
224.000000 90.117 155.7621
227.000000 89.971 155.4339
230.000000 89.841 155.0840
233.000000 89.712 154.6832
236.000000 89.572 154.4242
240.000000 89.367 154.1249
243.000000 89.190 153.7480
247.000000 88.946 153.3912
250.000000 88.765 153.3564
254.000000 88.528 153.5746
258.000000 88.315 153.9008
262.000000 88.119 154.2286
265.000000 87.975 154.5628
269.000000 87.798 155.1151
272.000000 87.675 155.5458
276.000000 87.524 156.1837
280.000000 87.401 156.8672
285.000000 87.289 157.5622
290.000000 87.184 158.1227
295.000000 87.086 158.5284
300.000000 86.973 158.9741
304.000000 86.861 159.2410
307.000000 86.770 159.3948
311.000000 86.652 159.7185
315.000000 86.540 160.2050
320.000000 86.391 160.7831
325.000000 86.241 161.3467
330.000000 86.090 162.1143
335.000000 85.949 162.9519
340.000000 85.818 163.9913
345.000000 85.706 165.1429
350.000000 85.619 166.3232
355.000000 85.557 167.5128
360.000000 85.521 168.7650
365.000000 85.497 170.0878
370.000000 85.489 171.3715
375.000000 85.504 172.5873
382.000000 85.564 174.1589
387.000000 85.654 175.3352
395.000000 85.861 176.8409
400.000000 85.998 177.2603
406.000000 86.147 177.4979
412.000000 86.280 177.4937
418.000000 86.404 177.2681
425.000000 86.496 176.6454
431.000000 86.515 176.1053
437.000000 86.513 175.6666
444.000000 86.493 175.2330
450.000000 86.459 174.9375
455.000000 86.416 174.7481
462.000000 86.320 174.5618
468.000000 86.226 174.5370
475.000000 86.128 174.6823
482.000000 86.019 174.9794
487.000000 85.937 175.2773
494.000000 85.834 175.7892
500.000000 85.762 176.3301
508.000000 85.683 177.1109
515.000000 85.630 177.8336
522.000000 85.583 178.6224
530.000000 85.545 179.6146
538.000000 85.535 -179.3447
545.000000 85.543 -178.5070
552.000000 85.568 -177.7319
560.000000 85.608 -176.9383
570.000000 85.656 -176.0604
580.000000 85.680 -175.2902
590.000000 85.704 -174.3788
600.000000 85.746 -173.3409
608.000000 85.797 -172.4552
615.000000 85.856 -171.6413
622.000000 85.940 -170.8473
630.000000 86.069 -170.0478
640.000000 86.259 -169.3169
650.000000 86.443 -168.9519
660.000000 86.604 -168.7467
670.000000 86.776 -168.6543
680.000000 86.951 -168.8243
690.000000 87.102 -169.3058
700.000000 87.209 -169.9456
710.000000 87.267 -170.5561
720.000000 87.294 -171.0730
730.000000 87.305 -171.3841
740.000000 87.314 -171.5077
750.000000 87.336 -171.5355
762.000000 87.393 -171.5846
775.000000 87.461 -171.7843
788.000000 87.512 -172.1685
800.000000 87.544 -172.6003
812.000000 87.559 -172.9374
825.000000 87.573 -173.2082
838.000000 87.591 -173.4879
850.000000 87.605 -173.7866
862.000000 87.604 -174.1181
875.000000 87.597 -174.4416
885.000000 87.590 -174.6568
900.000000 87.577 -174.9409
912.000000 87.561 -175.1906
925.000000 87.528 -175.4852
938.000000 87.481 -175.7216
950.000000 87.440 -175.7989
962.000000 87.409 -175.7847
975.000000 87.396 -175.7376
988.000000 87.400 -175.7247
1000.000000 87.409 -175.7647
1015.000000 87.433 -176.0716
1030.000000 87.445 -176.8269
1044.000000 87.386 -177.8103
1060.000000 87.192 -178.7645
1075.000000 86.933 -178.8288
1090.000000 86.729 -178.0079
1106.000000 86.615 -176.9537
1120.000000 86.569 -176.2592
1138.000000 86.528 -175.6099
1150.000000 86.496 -175.2174
1172.000000 86.430 -174.5134
1180.000000 86.404 -174.2315
1206.000000 86.343 -173.0972
1220.000000 86.331 -172.4802
1241.000000 86.325 -171.6327
1250.000000 86.323 -171.2696
1265.000000 86.338 -170.6353
1280.000000 86.378 -170.0406
1315.000000 86.496 -169.2250
1320.000000 86.511 -169.1683
1340.000000 86.557 -169.0335
1360.000000 86.583 -168.9701
1380.000000 86.592 -168.9355
1400.000000 86.589 -168.9187
1430.000000 86.558 -168.9215
1450.000000 86.511 -168.9278
1475.000000 86.428 -168.8342
1500.000000 86.320 -168.5938
1525.000000 86.193 -168.1095
1550.000000 86.068 -167.3246
1575.000000 85.977 -166.3236
1600.000000 85.920 -165.4798
1625.000000 85.821 -164.8873
1650.000000 85.647 -163.8547
1675.000000 85.504 -161.8981
1700.000000 85.475 -159.7639
1725.000000 85.502 -157.9337
1750.000000 85.543 -156.2457
1775.000000 85.599 -154.5715
1800.000000 85.675 -152.9021
1825.000000 85.773 -151.2730
1850.000000 85.890 -149.7257
1875.000000 86.017 -148.2917
1900.000000 86.147 -146.9190
1925.000000 86.281 -145.5607
1950.000000 86.421 -144.1779
1975.000000 86.573 -142.7567
2000.000000 86.745 -141.2983
2030.000000 86.992 -139.5298
2060.000000 87.291 -137.9244
2090.000000 87.622 -136.6873
2120.000000 87.940 -135.8188
2140.000000 88.133 -135.3182
2180.000000 88.499 -134.1562
2200.000000 88.696 -133.4827
2240.000000 89.146 -132.1640
2270.000000 89.524 -131.3662
2300.000000 89.926 -130.7844
2330.000000 90.347 -130.4365
2360.000000 90.784 -130.3346
2400.000000 91.388 -130.6855
2430.000000 91.832 -131.3814
2470.000000 92.393 -132.6508
2500.000000 92.802 -133.8461
2540.000000 93.325 -135.8218
2580.000000 93.815 -138.2452
2620.000000 94.251 -141.1206
2650.000000 94.531 -143.5454
2690.000000 94.820 -147.0253
2720.000000 94.972 -149.6761
2760.000000 95.100 -153.1091
2800.000000 95.159 -156.3475
2850.000000 95.153 -160.0643
2900.000000 95.086 -163.3503
2950.000000 94.978 -166.1896
3000.000000 94.839 -168.5737
3040.000000 94.721 -170.0591
3070.000000 94.650 -170.8895
3110.000000 94.609 -171.7429
3150.000000 94.647 -172.6534
3200.000000 94.753 -174.3188
3250.000000 94.858 -176.5224
3300.000000 94.950 -179.1805
3350.000000 94.998 177.5127
3400.000000 94.925 173.7210
3450.000000 94.705 169.9958
3500.000000 94.378 166.6976
3550.000000 93.988 163.8919
3600.000000 93.555 161.5572
3650.000000 93.094 159.6647
3700.000000 92.616 158.1859
3750.000000 92.130 157.0957
3820.000000 91.435 156.1629
3870.000000 90.932 155.9110
3950.000000 90.121 156.2588
4000.000000 89.611 156.9914
4060.000000 88.996 158.5516
4120.000000 88.419 161.2197
4180.000000 88.035 165.0223
4250.000000 87.905 168.2654
4310.000000 87.669 169.2630
4370.000000 87.175 171.1293
4440.000000 86.519 175.9434
4500.000000 86.081 -177.3779
4550.000000 85.967 -169.7783
4620.000000 86.623 -156.8336
4680.000000 88.172 -147.4400
4750.000000 90.529 -144.6774
4820.000000 92.359 -150.7716
4870.000000 93.029 -157.3373
4940.000000 93.256 -165.3577
5000.000000 93.178 -169.7367
5080.000000 93.130 -173.1330
5150.000000 93.192 -175.6409
5220.000000 93.203 -178.2850
5300.000000 93.086 179.7037
