* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 9:27:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (UniLP) L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.092 -114.0821
20.600000 73.119 -114.7398
20.900000 73.138 -115.4015
21.200001 73.156 -115.9715
21.400000 73.171 -116.2905
21.799999 73.221 -116.8031
22.000000 73.257 -117.0198
22.400000 73.347 -117.4497
22.700001 73.425 -117.8306
23.000000 73.504 -118.3093
23.299999 73.578 -118.9101
23.600000 73.641 -119.6328
24.000000 73.702 -120.7314
24.299999 73.730 -121.5812
24.700001 73.753 -122.6133
25.000000 73.768 -123.2370
25.400000 73.804 -123.8236
25.799999 73.867 -124.1760
26.200001 73.955 -124.4079
26.500000 74.028 -124.5757
26.900000 74.119 -124.8654
27.200001 74.174 -125.1656
27.600000 74.218 -125.7018
28.000000 74.221 -126.3778
28.500000 74.169 -127.2879
29.000000 74.094 -128.0457
29.500000 74.074 -128.5802
30.000000 74.158 -129.1401
30.400000 74.267 -129.7665
30.700001 74.335 -130.2810
31.100000 74.375 -130.7679
31.500000 74.358 -130.7011
32.000000 74.339 -129.7050
32.500000 74.426 -128.4262
33.000000 74.607 -128.0632
33.500000 74.763 -129.0582
34.000000 74.820 -130.8298
34.500000 74.807 -132.5299
35.000000 74.791 -133.7616
35.500000 74.778 -134.6188
36.000000 74.717 -135.1897
36.500000 74.602 -135.3070
37.000000 74.512 -134.8867
37.500000 74.548 -134.3076
38.200001 74.773 -134.2285
38.700001 74.900 -134.6655
39.500000 74.897 -135.0289
40.000000 74.851 -134.9445
40.599998 74.862 -135.2255
41.200001 74.957 -136.1366
41.799999 75.109 -136.8392
42.500000 75.338 -136.4752
43.099998 75.477 -135.7043
43.700001 75.403 -135.2992
44.400002 75.043 -135.4109
45.000000 74.785 -135.9613
45.500000 74.798 -136.8961
46.200001 75.093 -138.5067
46.799999 75.358 -139.0438
47.500000 75.539 -138.1366
48.200001 75.604 -137.0383
48.700001 75.588 -137.0450
49.400002 75.528 -138.0197
50.000000 75.539 -138.8727
50.799999 75.673 -139.1962
51.500000 75.737 -138.9764
52.200001 75.627 -138.7383
53.000000 75.414 -138.8136
53.799999 75.393 -139.4758
54.500000 75.613 -140.4918
55.200001 75.895 -141.7386
56.000000 76.044 -143.0988
57.000000 75.876 -143.7506
58.000000 75.668 -142.9686
59.000000 75.647 -142.4190
60.000000 75.657 -142.7386
60.799999 75.650 -143.3754
61.500000 75.632 -143.9297
62.200001 75.628 -144.1353
63.000000 75.671 -144.0217
64.000000 75.703 -143.9396
65.000000 75.669 -143.7087
66.000000 75.715 -143.4633
67.000000 75.825 -143.6682
68.000000 75.885 -143.9919
69.000000 75.845 -144.2678
70.000000 75.765 -144.3017
71.000000 75.782 -144.0868
72.000000 75.855 -143.8635
73.000000 75.884 -143.5780
74.000000 75.886 -143.4092
75.000000 75.910 -143.2957
76.199997 75.966 -143.0112
77.500000 76.007 -143.0559
78.800003 76.074 -143.1217
80.000000 76.246 -142.3672
81.199997 76.320 -142.4535
82.500000 76.243 -143.3274
83.800003 76.256 -144.0847
85.000000 76.282 -144.0961
86.199997 76.284 -143.7670
87.500000 76.300 -143.7038
88.500000 76.328 -143.8017
90.000000 76.392 -143.8025
91.199997 76.418 -143.7533
92.500000 76.438 -143.8628
93.800003 76.505 -144.0764
95.000000 76.581 -144.0826
96.199997 76.622 -143.9672
97.500000 76.651 -143.9515
98.800003 76.670 -144.1605
100.000000 76.683 -144.3058
101.500000 76.720 -144.3682
103.000000 76.741 -144.1869
104.400002 76.757 -144.0836
106.000000 76.793 -144.1270
107.500000 76.811 -144.0736
109.000000 76.843 -144.0612
110.599998 76.883 -144.1682
112.000000 76.904 -144.2175
113.800003 76.939 -144.1855
115.000000 76.952 -144.2076
117.199997 76.953 -144.2412
118.000000 76.916 -144.2438
120.599998 76.835 -144.2167
122.000000 76.987 -144.0125
124.099998 77.096 -143.8291
125.000000 77.115 -143.8697
126.500000 77.148 -143.8849
128.000000 77.169 -143.7840
131.500000 77.215 -143.7492
132.000000 77.220 -143.7550
134.000000 77.238 -143.7247
136.000000 77.282 -143.6446
138.000000 77.329 -143.5144
140.000000 77.345 -143.2610
143.000000 77.357 -142.9292
145.000000 77.377 -142.8089
147.500000 77.402 -142.5104
150.000000 77.426 -142.1494
152.500000 77.472 -141.7031
155.000000 77.552 -141.3090
157.500000 77.634 -140.9665
160.000000 77.696 -140.6645
162.500000 77.755 -140.3741
165.000000 77.812 -140.1248
167.500000 77.874 -139.9036
170.000000 77.949 -139.7815
172.500000 78.026 -139.6343
175.000000 78.093 -139.3631
177.500000 78.164 -139.3119
180.000000 78.231 -139.1564
182.500000 78.294 -138.8600
185.000000 78.351 -138.7257
187.500000 78.435 -138.7216
190.000000 78.534 -138.7441
192.500000 78.612 -138.7749
195.000000 78.671 -138.8016
197.500000 78.719 -138.8932
200.000000 78.752 -138.9649
203.000000 78.803 -139.0028
206.000000 78.856 -138.8232
209.000000 78.877 -138.3893
212.000000 78.929 -138.4111
214.000000 78.979 -138.4913
218.000000 79.059 -138.2867
220.000000 79.093 -138.1929
224.000000 79.165 -138.0564
227.000000 79.214 -137.9819
230.000000 79.265 -137.9181
233.000000 79.317 -137.8244
236.000000 79.377 -137.6901
240.000000 79.469 -137.4402
243.000000 79.515 -137.3205
247.000000 79.569 -137.1467
250.000000 79.619 -136.9567
254.000000 79.701 -136.7162
258.000000 79.777 -136.4708
262.000000 79.849 -136.3473
265.000000 79.910 -136.2482
269.000000 79.987 -136.1533
272.000000 80.044 -136.0681
276.000000 80.127 -135.9629
280.000000 80.211 -135.8724
285.000000 80.297 -135.7279
290.000000 80.387 -135.5722
295.000000 80.475 -135.4676
300.000000 80.560 -135.3060
304.000000 80.635 -135.1817
307.000000 80.686 -135.0864
311.000000 80.756 -134.9849
315.000000 80.829 -134.8930
320.000000 80.926 -134.6892
325.000000 81.035 -134.5260
330.000000 81.149 -134.4574
335.000000 81.235 -134.5557
340.000000 81.301 -134.4730
345.000000 81.372 -134.3091
350.000000 81.451 -134.1742
355.000000 81.529 -134.0081
360.000000 81.620 -133.8222
365.000000 81.729 -133.6791
370.000000 81.838 -133.5428
375.000000 81.932 -133.4316
382.000000 82.057 -133.2301
387.000000 82.161 -133.1925
395.000000 82.336 -133.2106
400.000000 82.434 -133.1542
406.000000 82.552 -133.3123
412.000000 82.668 -133.5790
418.000000 82.753 -133.7122
425.000000 82.845 -133.6155
431.000000 82.954 -133.5263
437.000000 83.061 -133.5572
444.000000 83.170 -133.5674
450.000000 83.288 -133.4452
455.000000 83.407 -133.3971
462.000000 83.569 -133.4792
468.000000 83.697 -133.6610
475.000000 83.847 -133.8078
482.000000 84.005 -134.0212
487.000000 84.117 -134.2615
494.000000 84.269 -134.6521
500.000000 84.407 -135.0806
508.000000 84.570 -135.8647
515.000000 84.673 -136.6948
522.000000 84.730 -137.4666
530.000000 84.781 -137.9115
538.000000 84.862 -138.2275
545.000000 84.943 -138.5003
552.000000 85.032 -138.7718
560.000000 85.148 -139.1740
570.000000 85.299 -139.8662
580.000000 85.435 -140.5415
590.000000 85.577 -141.3103
600.000000 85.706 -142.3655
608.000000 85.777 -143.2294
615.000000 85.833 -143.9402
622.000000 85.885 -144.7227
630.000000 85.921 -145.6331
640.000000 85.951 -146.6313
650.000000 85.959 -147.7003
660.000000 85.931 -148.6852
670.000000 85.887 -149.3923
680.000000 85.848 -149.9505
690.000000 85.815 -150.3869
700.000000 85.793 -150.7079
710.000000 85.783 -151.0233
720.000000 85.776 -151.3447
730.000000 85.771 -151.6028
740.000000 85.773 -151.8619
750.000000 85.772 -152.2355
762.000000 85.752 -152.6849
775.000000 85.716 -153.0191
788.000000 85.670 -153.0788
800.000000 85.643 -152.9593
812.000000 85.649 -152.8473
825.000000 85.662 -152.7072
838.000000 85.689 -152.4479
850.000000 85.740 -152.2138
862.000000 85.811 -152.0180
875.000000 85.925 -151.7550
885.000000 86.049 -151.6327
900.000000 86.272 -152.0128
912.000000 86.437 -152.7930
925.000000 86.580 -153.9178
938.000000 86.690 -155.2079
950.000000 86.750 -156.6032
962.000000 86.755 -158.0811
975.000000 86.703 -159.6412
988.000000 86.585 -161.1076
1000.000000 86.420 -162.0605
1015.000000 86.222 -162.3655
1030.000000 86.126 -162.3118
1044.000000 86.088 -162.5551
1060.000000 86.053 -163.1297
1075.000000 85.993 -163.9197
1090.000000 85.893 -164.7860
1106.000000 85.724 -165.6003
1120.000000 85.553 -165.9710
1138.000000 85.344 -166.1926
1150.000000 85.197 -166.2417
1172.000000 84.921 -165.9664
1180.000000 84.823 -165.7487
1206.000000 84.566 -164.5140
1220.000000 84.500 -163.8272
1241.000000 84.417 -163.5515
1250.000000 84.342 -163.5511
1265.000000 84.177 -163.2982
1280.000000 84.005 -162.6654
1315.000000 83.696 -160.3514
1320.000000 83.661 -160.0004
1340.000000 83.532 -158.5237
1360.000000 83.430 -156.8978
1380.000000 83.363 -155.2001
1400.000000 83.323 -153.4227
1430.000000 83.334 -150.7786
1450.000000 83.373 -149.1007
1475.000000 83.452 -147.1347
1500.000000 83.561 -145.2529
1525.000000 83.710 -143.5919
1550.000000 83.860 -142.3747
1575.000000 83.950 -141.6194
1600.000000 83.900 -140.6801
1625.000000 83.833 -138.1271
1650.000000 84.008 -135.0756
1675.000000 84.236 -133.3662
1700.000000 84.343 -131.4579
1725.000000 84.540 -128.2611
1750.000000 84.975 -125.2397
1775.000000 85.501 -123.4838
1800.000000 85.997 -122.6025
1825.000000 86.449 -122.1512
1850.000000 86.864 -121.9722
1875.000000 87.240 -121.9273
1900.000000 87.605 -121.8148
1925.000000 87.980 -121.8110
1950.000000 88.348 -122.0384
1975.000000 88.696 -122.4051
2000.000000 89.032 -122.8099
2030.000000 89.437 -123.3832
2060.000000 89.830 -124.1913
2090.000000 90.203 -125.1008
2120.000000 90.567 -126.0907
2140.000000 90.809 -126.8026
2180.000000 91.290 -128.4801
2200.000000 91.520 -129.4667
2240.000000 91.942 -131.6537
2270.000000 92.232 -133.3853
2300.000000 92.502 -135.2598
2330.000000 92.739 -137.2228
2360.000000 92.948 -139.1646
2400.000000 93.209 -141.7130
2430.000000 93.395 -143.7233
2470.000000 93.610 -146.5532
2500.000000 93.741 -148.7481
2540.000000 93.877 -151.7013
2580.000000 93.967 -154.6810
2620.000000 94.002 -157.5837
2650.000000 94.000 -159.6361
2690.000000 93.976 -162.1872
2720.000000 93.951 -163.9775
2760.000000 93.916 -166.2894
2800.000000 93.871 -168.5983
2850.000000 93.784 -171.4664
2900.000000 93.663 -174.2057
2950.000000 93.512 -176.8246
3000.000000 93.334 -179.2745
3040.000000 93.178 178.8842
3070.000000 93.054 177.5591
3110.000000 92.880 175.8403
3150.000000 92.688 174.1655
3200.000000 92.411 172.2298
3250.000000 92.103 170.6273
3300.000000 91.789 169.4117
3350.000000 91.495 168.5449
3400.000000 91.245 167.8860
3450.000000 91.041 167.0752
3500.000000 90.823 165.9668
3550.000000 90.563 164.8887
3600.000000 90.290 163.9344
3650.000000 90.003 162.9010
3700.000000 89.661 161.8539
3750.000000 89.258 161.0888
3820.000000 88.638 160.7823
3870.000000 88.189 161.0839
3950.000000 87.483 162.3297
4000.000000 87.052 163.5741
4060.000000 86.552 165.5764
4120.000000 86.089 168.2097
4180.000000 85.689 171.3906
4250.000000 85.312 175.5591
4310.000000 85.039 179.4048
4370.000000 84.782 -176.1269
4440.000000 84.591 -169.4657
4500.000000 84.641 -162.4597
4550.000000 84.930 -155.8472
4620.000000 85.899 -146.3178
4680.000000 87.339 -139.9452
4750.000000 89.422 -138.2473
4820.000000 91.125 -144.0327
4870.000000 91.706 -150.5810
4940.000000 91.657 -157.9995
