* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Oct 29, 2024 9:26:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ZMF Atticus (UniLP) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.244 -118.4169
20.600000 73.254 -118.9849
20.900000 73.261 -119.4761
21.200001 73.273 -119.8130
21.400000 73.289 -119.9635
21.799999 73.355 -120.2017
22.000000 73.405 -120.3592
22.400000 73.526 -120.9035
22.700001 73.618 -121.5648
23.000000 73.696 -122.4153
23.299999 73.755 -123.3728
23.600000 73.796 -124.3351
24.000000 73.843 -125.4734
24.299999 73.887 -126.1585
24.700001 73.973 -126.8500
25.000000 74.059 -127.2481
25.400000 74.190 -127.7050
25.799999 74.314 -128.1514
26.200001 74.406 -128.6176
26.500000 74.440 -128.9657
26.900000 74.436 -129.3758
27.200001 74.399 -129.6044
27.600000 74.328 -129.7825
28.000000 74.260 -129.8791
28.500000 74.217 -130.1301
29.000000 74.211 -130.7706
29.500000 74.196 -131.6751
30.000000 74.152 -132.3004
30.400000 74.127 -132.2616
30.700001 74.143 -131.9174
31.100000 74.228 -131.2990
31.500000 74.358 -130.9025
32.000000 74.474 -131.1024
32.500000 74.430 -131.8349
33.000000 74.233 -132.3805
33.500000 74.059 -132.3253
34.000000 74.111 -132.2223
34.500000 74.405 -133.0645
35.000000 74.746 -134.9610
35.500000 74.952 -136.8944
36.000000 74.992 -137.6988
36.500000 74.964 -137.1104
37.000000 74.943 -136.0139
37.500000 74.893 -135.5052
38.200001 74.685 -136.0480
38.700001 74.581 -136.7401
39.500000 74.855 -138.5139
40.000000 75.149 -140.2655
40.599998 75.301 -141.9483
41.200001 75.201 -141.8811
41.799999 75.075 -140.5058
42.500000 75.091 -139.9899
43.099998 75.189 -141.4266
43.700001 75.329 -143.5340
44.400002 75.489 -145.2689
45.000000 75.507 -145.3980
45.500000 75.438 -144.4568
46.200001 75.392 -142.7795
46.799999 75.456 -142.7577
47.500000 75.470 -144.1709
48.200001 75.407 -144.3296
48.700001 75.439 -143.1465
49.400002 75.567 -141.5020
50.000000 75.544 -141.2665
50.799999 75.302 -141.8478
51.500000 75.246 -142.5828
52.200001 75.439 -143.8538
53.000000 75.648 -145.2714
53.799999 75.689 -145.6888
54.500000 75.634 -145.5156
55.200001 75.536 -145.1684
56.000000 75.437 -144.5324
57.000000 75.359 -143.9533
58.000000 75.281 -144.3396
59.000000 75.286 -145.2140
60.000000 75.441 -145.4302
60.799999 75.599 -145.2839
61.500000 75.652 -145.3340
62.200001 75.618 -145.4115
63.000000 75.590 -145.3557
64.000000 75.653 -145.3436
65.000000 75.677 -145.3487
66.000000 75.607 -145.3100
67.000000 75.552 -145.2487
68.000000 75.618 -145.0940
69.000000 75.690 -145.0411
70.000000 75.668 -145.1558
71.000000 75.612 -145.4044
72.000000 75.586 -145.0166
73.000000 75.635 -143.9700
74.000000 75.686 -143.4211
75.000000 75.703 -143.4364
76.199997 75.770 -143.6106
77.500000 75.884 -143.6983
78.800003 76.007 -143.9273
80.000000 76.000 -144.0137
81.199997 75.943 -144.0820
82.500000 76.061 -144.1684
83.800003 76.328 -143.6552
85.000000 76.449 -142.3857
86.199997 76.440 -142.3214
87.500000 76.340 -142.8912
88.500000 76.359 -142.9866
90.000000 76.376 -143.4620
91.199997 76.382 -143.8897
92.500000 76.418 -144.2395
93.800003 76.436 -144.3576
95.000000 76.480 -144.3118
96.199997 76.531 -144.0250
97.500000 76.548 -143.7747
98.800003 76.571 -143.9899
100.000000 76.631 -144.2963
101.500000 76.701 -144.2001
103.000000 76.750 -144.0050
104.400002 76.769 -144.0768
106.000000 76.797 -144.3164
107.500000 76.844 -144.4012
109.000000 76.892 -144.2797
110.599998 76.944 -144.1450
112.000000 76.955 -144.3156
113.800003 76.961 -144.5774
115.000000 77.011 -144.6738
117.199997 77.051 -145.0229
118.000000 77.051 -145.1495
120.599998 77.075 -145.0695
122.000000 77.069 -145.0230
124.099998 77.045 -145.0468
125.000000 77.041 -145.0179
126.500000 77.031 -144.8278
128.000000 77.022 -144.5523
131.500000 77.030 -144.1368
132.000000 77.030 -144.0744
134.000000 77.030 -143.7182
136.000000 77.048 -143.2802
138.000000 77.112 -142.8921
140.000000 77.184 -142.6299
143.000000 77.255 -142.1683
145.000000 77.281 -141.7769
147.500000 77.374 -141.4861
150.000000 77.458 -141.2156
152.500000 77.515 -140.8358
155.000000 77.575 -140.6393
157.500000 77.636 -140.3572
160.000000 77.719 -140.0209
162.500000 77.790 -139.9135
165.000000 77.862 -139.7348
167.500000 77.943 -139.3871
170.000000 78.019 -139.0669
172.500000 78.107 -138.8739
175.000000 78.199 -138.7997
177.500000 78.281 -138.8869
180.000000 78.364 -139.0166
182.500000 78.442 -139.1385
185.000000 78.489 -139.1484
187.500000 78.513 -138.9948
190.000000 78.559 -138.8902
192.500000 78.610 -138.8616
195.000000 78.655 -138.8171
197.500000 78.707 -138.6628
200.000000 78.766 -138.4367
203.000000 78.843 -138.1745
206.000000 78.926 -138.0016
209.000000 79.003 -137.9076
212.000000 79.068 -137.8688
214.000000 79.112 -137.8460
218.000000 79.211 -137.7600
220.000000 79.263 -137.7150
224.000000 79.352 -137.6119
227.000000 79.417 -137.5356
230.000000 79.482 -137.4808
233.000000 79.543 -137.4505
236.000000 79.612 -137.5268
240.000000 79.705 -137.5871
243.000000 79.759 -137.5653
247.000000 79.834 -137.5236
250.000000 79.893 -137.5191
254.000000 79.962 -137.5153
258.000000 80.028 -137.4767
262.000000 80.095 -137.4633
265.000000 80.150 -137.4581
269.000000 80.216 -137.4217
272.000000 80.260 -137.3522
276.000000 80.324 -137.2698
280.000000 80.390 -137.3013
285.000000 80.464 -137.2591
290.000000 80.543 -137.1002
295.000000 80.629 -137.0732
300.000000 80.711 -137.0466
304.000000 80.773 -137.0680
307.000000 80.817 -137.0816
311.000000 80.873 -137.0545
315.000000 80.929 -137.0244
320.000000 81.004 -136.9638
325.000000 81.080 -137.0115
330.000000 81.153 -137.1733
335.000000 81.207 -137.2831
340.000000 81.233 -137.2511
345.000000 81.249 -137.1109
350.000000 81.280 -136.8633
355.000000 81.328 -136.5603
360.000000 81.397 -136.2898
365.000000 81.465 -136.1330
370.000000 81.525 -135.9602
375.000000 81.580 -135.7558
382.000000 81.647 -135.3859
387.000000 81.702 -135.1404
395.000000 81.787 -134.5587
400.000000 81.851 -134.1189
406.000000 81.938 -133.5647
412.000000 82.059 -132.9765
418.000000 82.196 -132.4888
425.000000 82.375 -131.8801
431.000000 82.557 -131.5285
437.000000 82.730 -131.5431
444.000000 82.898 -131.5701
450.000000 83.044 -131.5205
455.000000 83.162 -131.6159
462.000000 83.304 -131.7776
468.000000 83.411 -131.8041
475.000000 83.544 -131.6086
482.000000 83.712 -131.3034
487.000000 83.855 -131.1710
494.000000 84.075 -131.1190
500.000000 84.283 -131.2505
508.000000 84.560 -131.8185
515.000000 84.770 -132.6981
522.000000 84.920 -133.6558
530.000000 85.064 -134.4785
538.000000 85.221 -135.2868
545.000000 85.350 -136.0904
552.000000 85.470 -136.8992
560.000000 85.603 -137.9062
570.000000 85.738 -139.3792
580.000000 85.809 -140.8240
590.000000 85.862 -141.9752
600.000000 85.905 -143.1865
608.000000 85.912 -144.1190
615.000000 85.908 -144.8484
622.000000 85.896 -145.5338
630.000000 85.866 -146.2090
640.000000 85.828 -146.7726
650.000000 85.804 -147.2037
660.000000 85.787 -147.6034
670.000000 85.763 -147.8857
680.000000 85.748 -148.0404
690.000000 85.747 -148.0265
700.000000 85.777 -147.9843
710.000000 85.819 -148.0324
720.000000 85.868 -148.0811
730.000000 85.927 -148.1376
740.000000 85.999 -148.2500
750.000000 86.077 -148.4720
762.000000 86.149 -148.8533
775.000000 86.212 -149.0378
788.000000 86.316 -149.0703
800.000000 86.448 -149.2155
812.000000 86.609 -149.5755
825.000000 86.780 -150.3480
838.000000 86.929 -151.3563
850.000000 87.051 -152.4198
862.000000 87.144 -153.6883
875.000000 87.194 -155.1142
885.000000 87.203 -156.0874
900.000000 87.220 -157.3108
912.000000 87.252 -158.3079
925.000000 87.276 -159.5847
938.000000 87.274 -160.8820
950.000000 87.263 -162.1040
962.000000 87.235 -163.3855
975.000000 87.188 -164.8157
988.000000 87.112 -166.4266
1000.000000 86.985 -167.9372
1015.000000 86.758 -169.5511
1030.000000 86.475 -170.7415
1044.000000 86.191 -171.2569
1060.000000 85.914 -171.2422
1075.000000 85.730 -171.0925
1090.000000 85.585 -171.1637
1106.000000 85.407 -171.4633
1120.000000 85.219 -171.6140
1138.000000 84.973 -171.4870
1150.000000 84.821 -171.2938
1172.000000 84.549 -170.8984
1180.000000 84.445 -170.7166
1206.000000 84.124 -169.7004
1220.000000 83.984 -169.0312
1241.000000 83.791 -168.2159
1250.000000 83.698 -167.9002
1265.000000 83.531 -167.2510
1280.000000 83.362 -166.4113
1315.000000 82.998 -163.9926
1320.000000 82.951 -163.5996
1340.000000 82.774 -161.9255
1360.000000 82.615 -160.0753
1380.000000 82.480 -158.0161
1400.000000 82.387 -155.7820
1430.000000 82.313 -152.3273
1450.000000 82.317 -149.9458
1475.000000 82.380 -147.1392
1500.000000 82.459 -144.4555
1525.000000 82.585 -141.6978
1550.000000 82.756 -139.0580
1575.000000 82.966 -136.5114
1600.000000 83.214 -134.1553
1625.000000 83.488 -131.9687
1650.000000 83.788 -129.9545
1675.000000 84.112 -128.0814
1700.000000 84.470 -126.4088
1725.000000 84.846 -125.1087
1750.000000 85.211 -124.0832
1775.000000 85.566 -123.1653
1800.000000 85.931 -122.3852
1825.000000 86.286 -121.8288
1850.000000 86.630 -121.3226
1875.000000 86.973 -120.8318
1900.000000 87.334 -120.3274
1925.000000 87.725 -120.0327
1950.000000 88.110 -120.0630
1975.000000 88.469 -120.2555
2000.000000 88.814 -120.3729
2030.000000 89.269 -120.5212
2060.000000 89.743 -121.1148
2090.000000 90.195 -121.9943
2120.000000 90.639 -123.0799
2140.000000 90.930 -123.9480
2180.000000 91.489 -126.1205
2200.000000 91.743 -127.4182
2240.000000 92.176 -130.2496
2270.000000 92.447 -132.3315
2300.000000 92.701 -134.3727
2330.000000 92.938 -136.5021
2360.000000 93.147 -138.7166
2400.000000 93.379 -141.6826
2430.000000 93.525 -143.9115
2470.000000 93.675 -146.8742
2500.000000 93.762 -149.0154
2540.000000 93.853 -151.7987
2580.000000 93.913 -154.5077
2620.000000 93.950 -157.1147
2650.000000 93.965 -159.0223
2690.000000 93.966 -161.5213
2720.000000 93.952 -163.3407
2760.000000 93.918 -165.6947
2800.000000 93.865 -167.9753
2850.000000 93.778 -170.6968
2900.000000 93.668 -173.3000
2950.000000 93.538 -175.7576
3000.000000 93.393 -178.0682
3040.000000 93.271 -179.8338
3070.000000 93.175 178.8806
3110.000000 93.040 177.2373
3150.000000 92.907 175.6724
3200.000000 92.747 173.7263
3250.000000 92.592 171.6887
3300.000000 92.425 169.3903
3350.000000 92.192 166.8242
3400.000000 91.867 164.3566
3450.000000 91.474 162.2770
3500.000000 91.050 160.6168
3550.000000 90.612 159.2798
3600.000000 90.159 158.1949
3650.000000 89.690 157.3645
3700.000000 89.201 156.7895
3750.000000 88.689 156.5241
3820.000000 87.942 156.7925
3870.000000 87.398 157.4600
3950.000000 86.508 159.4088
4000.000000 85.942 161.3249
4060.000000 85.274 164.6163
4120.000000 84.701 169.3671
4180.000000 84.407 174.9595
4250.000000 84.270 179.4835
4310.000000 83.902 -177.0708
4370.000000 83.423 -170.9108
4440.000000 83.202 -160.0502
4500.000000 83.579 -148.8853
4550.000000 84.407 -139.4925
4620.000000 86.362 -128.7800
4680.000000 88.567 -124.3145
4750.000000 91.191 -126.7159
4820.000000 93.110 -136.6398
4870.000000 93.741 -145.8620
4940.000000 93.651 -157.0017
